"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4th week, 2018",,,,,,"Data collected as of January 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,728022,147.46,5853,1.86,3929,1.25,25759,8.18,62978,19.99,4457,1.41,2533,0.8,975,0.31,3914,1.24,241,0.08,2214,0.7,24,0.03,1901,2.73,31,0.06,45,0.09,439,0.92,15,0.03,95,0.2
Hokkaido,14062,63.63,507,3.67,323,2.34,1890,13.7,1040,7.54,237,1.72,31,0.22,14,0.1,99,0.72,5,0.04,28,0.2,-,-,54,1.86,1,0.04,2,0.09,17,0.74,-,-,4,0.17
Aomori,6913,106.35,46,1.1,31,0.74,260,6.19,478,11.38,62,1.48,108,2.57,4,0.1,50,1.19,14,0.33,90,2.14,-,-,14,1.27,1,0.17,1,0.17,13,2.17,-,-,5,0.83
Iwate,7567,116.42,108,2.7,39,0.98,595,14.88,604,15.1,61,1.53,71,1.78,36,0.9,57,1.43,1,0.03,121,3.03,-,-,29,2.07,3,0.16,-,-,28,1.47,2,0.11,-,-
Miyagi,10840,114.11,157,2.66,69,1.17,627,10.63,1050,17.8,119,2.02,75,1.27,10,0.17,93,1.58,5,0.08,14,0.24,-,-,12,1,-,-,-,-,18,1.5,-,-,1,0.08
Akita,5358,101.09,54,1.59,33,0.97,145,4.26,356,10.47,30,0.88,16,0.47,3,0.09,26,0.76,6,0.18,41,1.21,-,-,7,1,-,-,-,-,59,7.38,-,-,1,0.13
Yamagata,4823,102.62,81,2.79,65,2.24,518,17.86,493,17,70,2.41,95,3.28,18,0.62,45,1.55,9,0.31,19,0.66,-,-,6,0.75,1,0.1,1,0.1,23,2.3,-,-,-,-
Fukushima,10715,139.16,135,2.93,75,1.63,435,9.46,463,10.07,68,1.48,61,1.33,22,0.48,89,1.93,4,0.09,47,1.02,-,-,82,6.83,1,0.14,-,-,5,0.71,-,-,1,0.14
Ibaraki,18554,154.62,139,1.85,79,1.05,734,9.79,1204,16.05,103,1.37,32,0.43,15,0.2,48,0.64,6,0.08,21,0.28,1,0.06,85,5,1,0.08,2,0.15,16,1.23,-,-,-,-
