"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6th week, 2018",,,,,,"Data collected as of February 14, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1221456,247.26,8561,2.72,5807,1.84,42324,13.42,94088,29.84,5990,1.9,3565,1.13,1378,0.44,5827,1.85,349,0.11,3111,0.99,43,0.06,2757,3.96,54,0.11,65,0.14,599,1.25,21,0.04,190,0.4
Hokkaido,36553,165.4,824,5.97,456,3.3,3475,25.18,1601,11.6,304,2.2,60,0.43,21,0.15,154,1.12,7,0.05,48,0.35,-,-,79,2.72,1,0.04,3,0.13,28,1.22,-,-,15,0.65
Aomori,13396,206.09,62,1.48,51,1.21,415,9.88,781,18.6,74,1.76,152,3.62,7,0.17,75,1.79,15,0.36,126,3,-,-,24,2.18,1,0.17,1,0.17,20,3.33,-,-,7,1.17
Iwate,14657,225.49,135,3.38,65,1.63,1001,25.03,927,23.18,83,2.08,101,2.53,52,1.3,75,1.88,1,0.03,155,3.88,-,-,43,3.07,3,0.16,-,-,39,2.05,2,0.11,-,-
Miyagi,20600,216.84,211,3.58,103,1.75,1060,17.97,1490,25.25,158,2.68,87,1.47,13,0.22,126,2.14,7,0.12,21,0.36,1,0.08,21,1.75,-,-,-,-,23,1.92,-,-,3,0.25
Akita,10041,189.45,82,2.41,43,1.26,251,7.38,526,15.47,46,1.35,21,0.62,3,0.09,41,1.21,7,0.21,58,1.71,2,0.29,8,1.14,-,-,-,-,75,9.38,-,-,1,0.13
Yamagata,9137,194.4,109,3.76,106,3.66,819,28.24,789,27.21,112,3.86,122,4.21,28,0.97,63,2.17,11,0.38,23,0.79,-,-,7,0.88,3,0.3,1,0.1,28,2.8,-,-,3,0.3
Fukushima,18927,245.81,195,4.24,96,2.09,721,15.67,703,15.28,86,1.87,84,1.83,41,0.89,135,2.93,6,0.13,68,1.48,-,-,119,9.92,1,0.14,-,-,6,0.86,1,0.14,1,0.14
Ibaraki,29542,246.18,180,2.4,128,1.71,1180,15.73,1850,24.67,134,1.79,41,0.55,22,0.29,70,0.93,7,0.09,33,0.44,2,0.12,135,7.94,1,0.08,2,0.15,21,1.62,-,-,1,0.08
Tochigi,14795,194.67,96,2,41,0.85,282,5.88,767,15.98,93,1.94,34,0.71,67,1.4,94,1.96,1,0.02,13,0.27,-,-,76,6.33,-,-,-,-,16,2.29,-,-,-,-
Gunma,20515,233.13,82,1.52,176,3.26,840,15.56,1655,30.65,104,1.93,46,0.85,23,0.43,110,2.04,9,0.17,91,1.69,1,0.07,120,8,-,-,1,0.11,22,2.44,-,-,3,0.33
Saitama,75122,295.76,347,2.16,244,1.52,2666,16.56,5459,33.91,403,2.5,53,0.33,120,0.75,325,2.02,13,0.08,72,0.45,5,0.13,151,3.78,-,-,5,0.5,9,0.9,1,0.1,1,0.1
Chiba,60283,284.35,198,1.48,172,1.28,2055,15.34,3864,28.84,217,1.62,70,0.52,33,0.25,186,1.39,7,0.05,81,0.6,3,0.09,132,3.88,3,0.33,6,0.67,7,0.78,1,0.11,1,0.11
Tokyo,95360,230.9,413,1.59,328,1.26,3500,13.46,8537,32.83,488,1.88,114,0.44,183,0.7,589,2.27,18,0.07,114,0.44,-,-,86,2.26,3,0.12,4,0.16,6,0.24,5,0.2,12,0.48
Kanagawa,92375,266.98,222,1.03,246,1.14,2573,11.97,6147,28.59,481,2.24,120,0.56,417,1.94,399,1.86,11,0.05,166,0.77,3,0.06,451,9.02,1,0.09,2,0.18,6,0.55,-,-,7,0.64
Niigata,19828,220.31,155,2.72,300,5.26,969,17,1309,22.96,176,3.09,70,1.23,52,0.91,134,2.35,12,0.21,134,2.35,2,0.2,78,7.8,-,-,-,-,15,1.15,-,-,1,0.08
Toyama,8165,170.1,88,3.03,217,7.48,287,9.9,1011,34.86,69,2.38,70,2.41,3,0.1,57,1.97,2,0.07,11,0.38,-,-,12,1.71,1,0.2,-,-,11,2.2,-,-,1,0.2
Ishikawa,8591,178.98,82,2.83,142,4.9,691,23.83,853,29.41,119,4.1,26,0.9,20,0.69,54,1.86,-,-,18,0.62,-,-,13,1.86,1,0.2,1,0.2,21,4.2,-,-,1,0.2
Fukui,7607,237.72,43,1.95,43,1.95,463,21.05,978,44.45,21,0.95,49,2.23,1,0.05,41,1.86,4,0.18,11,0.5,-,-,4,1.33,2,0.33,-,-,1,0.17,1,0.17,-,-
Yamanashi,10494,255.95,44,1.83,22,0.92,279,11.63,742,30.92,29,1.21,29,1.21,3,0.13,12,0.5,2,0.08,19,0.79,-,-,24,2.67,-,-,-,-,10,1,1,0.1,1,0.1
Nagano,21060,244.88,156,2.94,28,0.53,708,13.36,1525,28.77,106,2,51,0.96,10,0.19,66,1.25,4,0.08,71,1.34,2,0.18,27,2.45,-,-,-,-,11,1,-,-,2,0.18
Gifu,17747,206.36,106,2.04,102,1.96,313,6.02,1182,22.73,53,1.02,52,1,4,0.08,74,1.42,-,-,64,1.23,-,-,22,2,1,0.2,-,-,8,1.6,-,-,3,0.6
Shizuoka,37331,268.57,150,1.69,96,1.08,959,10.78,2885,32.42,76,0.85,27,0.3,12,0.13,114,1.28,5,0.06,140,1.57,-,-,95,4.32,-,-,3,0.3,9,0.9,1,0.1,1,0.1
Aichi,55850,286.41,371,2.04,226,1.24,1810,9.95,5271,28.96,279,1.53,104,0.57,30,0.16,255,1.4,10,0.05,148,0.81,1,0.03,99,2.83,2,0.13,-,-,19,1.27,1,0.07,5,0.33
Mie,19226,267.03,190,4.22,133,2.96,463,10.29,1541,34.24,61,1.36,20,0.44,3,0.07,88,1.96,7,0.16,29,0.64,-,-,6,0.5,2,0.22,2,0.22,6,0.67,1,0.11,-,-
Shiga,11824,227.38,60,1.94,34,1.1,211,6.81,579,18.68,51,1.65,27,0.87,5,0.16,43,1.39,6,0.19,48,1.55,-,-,17,2.13,1,0.14,1,0.14,-,-,-,-,2,0.29
Kyoto,27250,216.27,127,1.65,68,0.88,543,7.05,1958,25.43,94,1.22,57,0.74,7,0.09,96,1.25,13,0.17,37,0.48,1,0.06,33,1.94,-,-,-,-,15,2.14,-,-,1,0.14
Osaka,61817,203.35,834,4.21,233,1.18,1999,10.1,5651,28.54,324,1.64,72,0.36,70,0.35,326,1.65,30,0.15,153,0.77,4,0.08,95,1.83,-,-,3,0.18,12,0.71,1,0.06,13,0.76
Hyogo,45691,230.76,522,4.08,251,1.96,990,7.73,4250,33.2,253,1.98,57,0.45,22,0.17,198,1.55,10,0.08,65,0.51,4,0.11,92,2.63,8,0.57,5,0.36,18,1.29,1,0.07,11,0.79
Nara,11014,203.96,140,4.12,39,1.15,335,9.85,993,29.21,64,1.88,19,0.56,5,0.15,67,1.97,10,0.29,17,0.5,-,-,12,1.2,-,-,1,0.17,6,1,-,-,6,1
Wakayama,10432,212.9,93,3.1,67,2.23,161,5.37,637,21.23,29,0.97,5,0.17,5,0.17,51,1.7,6,0.2,35,1.17,2,0.5,9,2.25,-,-,2,0.18,7,0.64,1,0.09,14,1.27
Tottori,6963,240.1,23,1.21,40,2.11,756,39.79,474,24.95,30,1.58,20,1.05,3,0.16,30,1.58,2,0.11,1,0.05,-,-,4,0.8,1,0.2,1,0.2,3,0.6,-,-,1,0.2
Shimane,6537,172.03,32,1.39,30,1.3,409,17.78,679,29.52,18,0.78,45,1.96,2,0.09,48,2.09,2,0.09,45,1.96,-,-,2,0.67,1,0.13,1,0.13,4,0.5,-,-,3,0.38
