"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8th week, 2018",,,,,,"Data collected as of February 28, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,112070,22.64,1141,0.36,901,0.28,8396,2.65,15217,4.81,676,0.21,341,0.11,198,0.06,999,0.32,43,0.01,460,0.15,10,0.01,420,0.6,14,0.03,11,0.02,61,0.13,2,0,125,0.26
Hokkaido,6947,31.29,100,0.72,59,0.42,654,4.71,174,1.25,29,0.21,3,0.02,1,0.01,22,0.16,-,-,5,0.04,-,-,13,0.45,1,0.04,2,0.09,3,0.13,-,-,8,0.35
Aomori,1471,22.63,4,0.1,6,0.14,77,1.83,108,2.57,19,0.45,19,0.45,1,0.02,15,0.36,1,0.02,9,0.21,-,-,1,0.09,1,0.17,-,-,4,0.67,-,-,-,-
Iwate,1695,26.08,13,0.33,13,0.33,162,4.05,150,3.75,4,0.1,7,0.18,12,0.3,10,0.25,-,-,13,0.33,-,-,6,0.43,-,-,-,-,1,0.05,-,-,-,-
Miyagi,2459,25.88,27,0.46,14,0.24,221,3.75,194,3.29,15,0.25,9,0.15,6,0.1,18,0.31,-,-,4,0.07,-,-,6,0.5,-,-,-,-,2,0.17,-,-,-,-
Akita,1348,24.96,7,0.2,6,0.17,69,1.97,103,2.94,8,0.23,1,0.03,1,0.03,4,0.11,-,-,5,0.14,-,-,5,0.71,1,0.13,-,-,6,0.75,-,-,-,-
Yamagata,1012,21.08,6,0.2,17,0.57,171,5.7,139,4.63,7,0.23,11,0.37,4,0.13,13,0.43,1,0.03,4,0.13,-,-,-,-,-,-,1,0.1,1,0.1,-,-,-,-
Fukushima,1939,25.18,20,0.43,22,0.48,112,2.43,114,2.48,12,0.26,10,0.22,7,0.15,23,0.5,-,-,13,0.28,-,-,17,1.42,-,-,1,0.14,1,0.14,-,-,1,0.14
Ibaraki,2600,21.67,22,0.29,22,0.29,204,2.72,279,3.72,12,0.16,4,0.05,2,0.03,10,0.13,-,-,6,0.08,-,-,16,0.94,-,-,-,-,3,0.23,-,-,-,-
Tochigi,1422,18.71,9,0.19,9,0.19,83,1.73,118,2.46,10,0.21,1,0.02,3,0.06,13,0.27,-,-,4,0.08,-,-,15,1.25,-,-,-,-,1,0.14,-,-,1,0.14
Gunma,1979,22.49,9,0.17,25,0.46,147,2.72,247,4.57,14,0.26,4,0.07,1,0.02,19,0.35,1,0.02,27,0.5,1,0.07,12,0.8,-,-,-,-,2,0.22,-,-,3,0.33
Saitama,5374,20.91,60,0.37,35,0.21,542,3.33,842,5.17,57,0.35,2,0.01,8,0.05,57,0.35,3,0.02,16,0.1,3,0.07,15,0.37,-,-,2,0.2,1,0.1,-,-,-,-
Chiba,4733,22.12,22,0.16,15,0.11,402,2.98,527,3.9,41,0.3,1,0.01,6,0.04,39,0.29,1,0.01,13,0.1,1,0.03,11,0.31,-,-,-,-,-,-,-,-,1,0.11
Tokyo,6963,16.82,55,0.21,40,0.15,677,2.59,1290,4.94,53,0.2,8,0.03,18,0.07,93,0.36,3,0.01,20,0.08,-,-,12,0.32,1,0.04,1,0.04,3,0.12,-,-,1,0.04
