"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9th week, 2018",,,,,,"Data collected as of March 7, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,86179,17.42,1191,0.38,870,0.28,8232,2.6,15288,4.84,655,0.21,380,0.12,206,0.07,1058,0.33,37,0.01,389,0.12,8,0.01,413,0.59,9,0.02,5,0.01,54,0.11,4,0.01,149,0.31
Hokkaido,6036,27.19,106,0.76,38,0.27,651,4.68,211,1.52,23,0.17,5,0.04,4,0.03,33,0.24,-,-,6,0.04,-,-,12,0.41,-,-,-,-,3,0.13,-,-,5,0.22
Aomori,1138,17.51,7,0.17,5,0.12,92,2.19,154,3.67,4,0.1,12,0.29,1,0.02,7,0.17,-,-,9,0.21,-,-,6,0.55,1,0.17,-,-,-,-,-,-,3,0.5
Iwate,1528,23.51,8,0.2,10,0.25,162,4.05,151,3.78,7,0.18,4,0.1,12,0.3,14,0.35,-,-,12,0.3,-,-,9,0.64,-,-,-,-,1,0.05,-,-,1,0.05
Miyagi,2265,23.84,23,0.39,10,0.17,220,3.73,232,3.93,14,0.24,10,0.17,3,0.05,20,0.34,-,-,1,0.02,-,-,2,0.17,-,-,-,-,1,0.08,-,-,-,-
Akita,1376,25.48,7,0.2,5,0.14,78,2.23,84,2.4,4,0.11,-,-,1,0.03,3,0.09,-,-,11,0.31,-,-,-,-,1,0.13,-,-,5,0.63,-,-,-,-
Yamagata,1001,20.85,3,0.1,25,0.83,145,4.83,136,4.53,4,0.13,13,0.43,6,0.2,15,0.5,1,0.03,1,0.03,-,-,4,0.5,-,-,-,-,1,0.1,-,-,3,0.3
Fukushima,1686,21.9,35,0.76,23,0.5,124,2.7,114,2.48,5,0.11,6,0.13,6,0.13,18,0.39,-,-,9,0.2,-,-,12,1,-,-,-,-,2,0.29,-,-,1,0.14
Ibaraki,2114,17.62,11,0.15,26,0.35,185,2.47,261,3.48,13,0.17,-,-,-,-,13,0.17,-,-,4,0.05,-,-,7,0.41,-,-,-,-,3,0.23,-,-,-,-
Tochigi,1191,15.67,12,0.25,10,0.21,63,1.31,91,1.9,10,0.21,-,-,5,0.1,12,0.25,-,-,1,0.02,-,-,6,0.5,-,-,-,-,2,0.29,-,-,-,-
Gunma,1672,19,10,0.19,20,0.37,135,2.5,230,4.26,8,0.15,10,0.19,3,0.06,30,0.56,1,0.02,19,0.35,-,-,20,1.33,-,-,-,-,2,0.22,-,-,2,0.22
Saitama,3725,14.61,67,0.41,25,0.15,544,3.36,968,5.98,46,0.28,4,0.02,13,0.08,48,0.3,2,0.01,15,0.09,1,0.02,17,0.41,-,-,1,0.1,1,0.1,2,0.2,1,0.1
Chiba,3263,15.25,23,0.17,37,0.27,433,3.21,513,3.8,33,0.24,1,0.01,9,0.07,42,0.31,-,-,12,0.09,1,0.03,17,0.49,1,0.11,-,-,1,0.11,-,-,1,0.11
Tokyo,4988,12.05,75,0.29,31,0.12,685,2.62,1321,5.06,78,0.3,6,0.02,18,0.07,100,0.38,6,0.02,17,0.07,1,0.03,10,0.27,-,-,-,-,-,-,-,-,5,0.2
Kanagawa,4822,13.74,52,0.24,25,0.11,517,2.36,837,3.82,47,0.21,14,0.06,45,0.21,71,0.32,-,-,25,0.11,-,-,68,1.33,1,0.09,1,0.09,-,-,-,-,5,0.45
Niigata,2012,22.36,26,0.46,30,0.53,260,4.56,158,2.77,18,0.32,3,0.05,8,0.14,14,0.25,1,0.02,5,0.09,1,0.1,19,1.9,-,-,-,-,1,0.08,-,-,1,0.08
Toyama,1227,25.56,24,0.83,19,0.66,44,1.52,149,5.14,3,0.1,6,0.21,9,0.31,12,0.41,-,-,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,1,0.2
Ishikawa,1103,22.98,5,0.17,18,0.62,168,5.79,129,4.45,13,0.45,5,0.17,7,0.24,9,0.31,-,-,1,0.03,-,-,-,-,-,-,-,-,6,1.2,-,-,-,-
Fukui,618,19.31,6,0.27,10,0.45,76,3.45,99,4.5,5,0.23,3,0.14,-,-,7,0.32,-,-,1,0.05,-,-,-,-,-,-,-,-,-,-,-,-,1,0.17
Yamanashi,766,18.68,2,0.08,2,0.08,57,2.38,66,2.75,2,0.08,6,0.25,3,0.13,3,0.13,-,-,2,0.08,-,-,3,0.33,1,0.1,1,0.1,-,-,-,-,-,-
Nagano,2127,24.45,12,0.22,5,0.09,150,2.78,285,5.28,10,0.19,6,0.11,1,0.02,13,0.24,-,-,5,0.09,-,-,1,0.09,-,-,-,-,1,0.09,-,-,8,0.73
