"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12th week, 2018",,,,,,"Data collected as of March 28, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1697566,343.29,15934,5.05,11045,3.5,89650,28.4,183221,58.04,10557,3.34,5969,1.89,2520,0.8,12213,3.87,573,0.18,5568,1.76,103,0.15,5075,7.28,100,0.21,121,0.25,997,2.08,47,0.1,1100,2.3
Hokkaido,68158,308.41,1512,10.96,807,5.85,7433,53.86,2883,20.89,494,3.58,125,0.91,30,0.22,320,2.32,7,0.05,102,0.74,3,0.1,139,4.79,2,0.09,8,0.35,46,2,-,-,48,2.09
Aomori,20620,317.23,102,2.43,93,2.21,850,20.24,1666,39.67,124,2.95,244,5.81,12,0.29,157,3.74,19,0.45,204,4.86,-,-,47,4.27,3,0.5,1,0.17,37,6.17,-,-,24,4
Iwate,23201,356.94,200,5,111,2.78,1927,48.18,1830,45.75,125,3.13,131,3.28,108,2.7,136,3.4,3,0.08,225,5.63,-,-,90,6.43,3,0.16,-,-,51,2.68,3,0.16,3,0.16
Miyagi,32093,337.82,360,6.1,196,3.32,2285,38.73,2795,47.37,260,4.41,162,2.75,40,0.68,249,4.22,9,0.15,33,0.56,3,0.25,36,3,-,-,-,-,41,3.42,-,-,7,0.58
Akita,17773,335.34,117,3.44,76,2.24,584,17.18,1020,30,95,2.79,28,0.82,9,0.26,73,2.15,8,0.24,96,2.82,2,0.29,16,2.29,2,0.25,-,-,101,12.63,-,-,4,0.5
Yamagata,14392,306.21,144,4.97,189,6.52,1608,55.45,1553,53.55,161,5.55,203,7,50,1.72,157,5.41,24,0.83,35,1.21,-,-,14,1.75,4,0.4,2,0.2,38,3.8,-,-,10,1
Fukushima,28333,367.96,383,8.33,205,4.46,1400,30.43,1295,28.15,156,3.39,139,3.02,73,1.59,261,5.67,6,0.13,128,2.78,-,-,197,16.42,2,0.29,1,0.14,14,2,1,0.14,4,0.57
Ibaraki,40546,337.88,256,3.41,294,3.92,2354,31.39,3486,46.48,228,3.04,50,0.67,29,0.39,145,1.93,9,0.12,61,0.81,3,0.18,234,13.76,1,0.08,2,0.15,56,4.31,-,-,8,0.62
Tochigi,20799,273.67,151,3.15,82,1.71,697,14.52,1395,29.06,164,3.42,40,0.83,94,1.96,181,3.77,1,0.02,26,0.54,-,-,119,9.92,1,0.14,2,0.29,25,3.57,-,-,10,1.43
Gunma,28948,328.95,151,2.8,311,5.76,1682,31.15,3055,56.57,164,3.04,95,1.76,38,0.7,236,4.37,15,0.28,193,3.57,2,0.13,219,14.6,-,-,1,0.11,30,3.33,-,-,17,1.89
Saitama,96039,376.62,745,4.63,454,2.82,5880,36.52,10520,65.34,765,4.75,88,0.55,170,1.06,665,4.13,22,0.14,157,0.98,10,0.25,249,6.23,-,-,12,1.2,14,1.4,3,0.3,4,0.4
Chiba,78832,370.1,339,2.53,311,2.32,4338,32.37,6971,52.02,441,3.29,85,0.63,98,0.73,423,3.16,14,0.1,153,1.14,6,0.17,233,6.66,4,0.44,7,0.78,13,1.44,3,0.33,8,0.89
Tokyo,123158,298.2,834,3.2,565,2.16,7340,28.12,16030,61.42,914,3.5,167,0.64,311,1.19,1195,4.58,31,0.12,233,0.89,3,0.08,140,3.78,5,0.2,7,0.28,17,0.68,13,0.52,47,1.88
Kanagawa,118553,340.67,523,2.42,407,1.88,5291,24.5,11061,51.21,811,3.75,181,0.84,654,3.03,880,4.07,19,0.09,307,1.42,4,0.08,872,17.1,3,0.27,6,0.55,15,1.36,-,-,24,2.18
Niigata,31177,346.41,288,5.05,503,8.82,2314,40.6,2236,39.23,271,4.75,126,2.21,109,1.91,259,4.54,15,0.26,193,3.39,9,0.9,187,18.7,-,-,-,-,23,1.77,2,0.15,3,0.23
