"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13th week, 2018",,,,,,"Data collected as of April 4, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1714327,346.68,17075,5.41,11923,3.78,96174,30.46,197432,62.54,11408,3.61,6449,2.04,2773,0.88,13436,4.26,614,0.19,5948,1.88,121,0.17,5514,7.91,106,0.22,137,0.29,1071,2.24,50,0.1,1298,2.71
Hokkaido,69662,315.21,1611,11.67,872,6.32,7950,57.61,3108,22.52,528,3.83,140,1.01,30,0.22,354,2.57,8,0.06,107,0.78,3,0.1,148,5.1,2,0.09,8,0.35,50,2.17,-,-,59,2.57
Aomori,21173,325.74,105,2.5,103,2.45,937,22.31,1924,45.81,132,3.14,252,6,13,0.31,172,4.1,19,0.45,218,5.19,-,-,50,4.55,3,0.5,2,0.33,42,7,-,-,34,5.67
Iwate,23825,366.54,207,5.18,119,2.98,2022,50.55,1957,48.93,131,3.28,133,3.33,118,2.95,151,3.78,4,0.1,233,5.83,-,-,99,7.07,3,0.16,-,-,51,2.68,3,0.16,5,0.26
Miyagi,32621,343.38,387,6.56,201,3.41,2425,41.1,2971,50.36,284,4.81,167,2.83,45,0.76,274,4.64,10,0.17,35,0.59,3,0.25,40,3.33,-,-,-,-,47,3.92,-,-,8,0.67
Akita,18353,346.28,118,3.47,78,2.29,617,18.15,1072,31.53,97,2.85,31,0.91,9,0.26,83,2.44,8,0.24,101,2.97,2,0.29,18,2.57,2,0.25,-,-,103,12.88,-,-,5,0.63
Yamagata,14878,316.55,152,5.24,196,6.76,1688,58.21,1704,58.76,168,5.79,204,7.03,57,1.97,168,5.79,25,0.86,37,1.28,-,-,14,1.75,4,0.4,2,0.2,40,4,-,-,11,1.1
Fukushima,28949,375.96,414,9,223,4.85,1471,31.98,1369,29.76,176,3.83,143,3.11,77,1.67,275,5.98,7,0.15,132,2.87,2,0.17,209,17.42,2,0.29,2,0.29,15,2.14,1,0.14,6,0.86
Ibaraki,40779,339.83,268,3.57,313,4.17,2497,33.29,3738,49.84,241,3.21,51,0.68,31,0.41,168,2.24,11,0.15,62,0.83,3,0.18,253,14.88,1,0.08,2,0.15,65,5,-,-,10,0.77
Tochigi,21026,276.66,158,3.29,84,1.75,768,16,1504,31.33,180,3.75,43,0.9,100,2.08,194,4.04,1,0.02,31,0.65,-,-,121,10.08,1,0.14,2,0.29,27,3.86,-,-,13,1.86
Gunma,29173,331.51,160,2.96,333,6.17,1838,34.04,3292,60.96,175,3.24,111,2.06,39,0.72,255,4.72,17,0.31,207,3.83,2,0.13,238,15.87,1,0.11,3,0.33,31,3.44,-,-,18,2
Saitama,96527,378.54,791,4.91,497,3.09,6305,39.16,11307,70.23,825,5.12,106,0.66,182,1.13,749,4.65,25,0.16,166,1.03,10,0.25,275,6.88,-,-,13,1.3,14,1.4,3,0.3,7,0.7
Chiba,79244,372.04,361,2.69,350,2.61,4630,34.55,7423,55.4,481,3.59,87,0.65,116,0.87,473,3.53,16,0.12,162,1.21,6,0.17,253,7.23,4,0.44,7,0.78,14,1.56,3,0.33,12,1.33
Tokyo,123946,300.11,901,3.45,616,2.36,7893,30.24,17214,65.95,998,3.82,176,0.67,359,1.38,1318,5.05,32,0.12,247,0.95,3,0.08,148,4,6,0.24,8,0.32,20,0.8,14,0.56,54,2.16
Kanagawa,119126,342.32,580,2.69,441,2.04,5622,26.03,11878,54.99,881,4.08,187,0.87,707,3.27,968,4.48,21,0.1,323,1.5,4,0.08,970,19.02,3,0.27,6,0.55,16,1.45,-,-,27,2.45
Niigata,32338,359.31,311,5.46,536,9.4,2564,44.98,2369,41.56,278,4.88,138,2.42,120,2.11,277,4.86,17,0.3,204,3.58,12,1.2,202,20.2,-,-,-,-,26,2,2,0.15,4,0.31
Toyama,14681,305.85,215,7.41,388,13.38,621,21.41,1911,65.9,106,3.66,109,3.76,41,1.41,134,4.62,3,0.1,16,0.55,-,-,15,2.14,3,0.6,-,-,15,3,-,-,4,0.8
Ishikawa,14388,299.75,169,5.83,261,9,1790,61.72,1685,58.1,184,6.34,47,1.62,74,2.55,117,4.03,-,-,27,0.93,-,-,27,3.86,1,0.2,1,0.2,41,8.2,-,-,3,0.6
Fukui,11138,348.06,101,4.59,107,4.86,1062,48.27,1681,76.41,64,2.91,82,3.73,5,0.23,98,4.45,4,0.18,44,2,-,-,5,1.67,4,0.67,-,-,4,0.67,3,0.5,26,4.33
Yamanashi,14650,357.32,55,2.29,39,1.63,648,27,1266,52.75,51,2.13,75,3.13,15,0.63,55,2.29,2,0.08,35,1.46,2,0.22,46,5.11,1,0.1,1,0.1,14,1.4,1,0.1,1,0.1
Nagano,32108,373.35,231,4.36,66,1.25,1559,29.42,3171,59.83,199,3.75,71,1.34,18,0.34,145,2.74,4,0.08,125,2.36,4,0.36,43,3.91,1,0.09,-,-,23,2.09,-,-,34,3.09
Gifu,25158,292.53,172,3.31,169,3.25,726,13.96,2480,47.69,88,1.69,67,1.29,7,0.13,159,3.06,1,0.02,124,2.38,-,-,36,3.27,1,0.2,-,-,13,2.6,-,-,43,8.6
Shizuoka,49601,359.43,348,3.91,210,2.36,2010,22.58,5481,61.58,161,1.81,46,0.52,46,0.52,277,3.11,10,0.11,291,3.27,-,-,132,6,1,0.1,6,0.6,16,1.6,2,0.2,2,0.2
Aichi,78299,401.53,619,3.4,427,2.35,4051,22.26,10543,57.93,450,2.47,163,0.9,63,0.35,590,3.24,21,0.12,299,1.64,1,0.03,164,4.69,4,0.27,2,0.13,37,2.47,1,0.07,58,3.87
Mie,26348,365.94,342,7.6,273,6.07,1172,26.04,3069,68.2,143,3.18,31,0.69,8,0.18,188,4.18,9,0.2,66,1.47,-,-,10,0.83,2,0.22,5,0.56,13,1.44,1,0.11,5,0.56
Shiga,17288,332.46,108,3.48,74,2.39,494,15.94,1370,44.19,82,2.65,49,1.58,9,0.29,126,4.06,9,0.29,100,3.23,-,-,38,4.75,1,0.14,4,0.57,-,-,-,-,3,0.43
Kyoto,39188,313.5,212,2.75,163,2.12,1318,17.12,4250,55.19,162,2.1,84,1.09,23,0.3,206,2.68,16,0.21,65,0.84,2,0.12,67,3.94,1,0.14,-,-,18,2.57,-,-,18,2.57
Osaka,87573,288.07,1550,7.83,542,2.74,4688,23.68,12693,64.11,754,3.81,132,0.67,122,0.62,810,4.09,56,0.28,298,1.51,9,0.17,240,4.62,4,0.24,6,0.35,24,1.41,1,0.06,62,3.65
