"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14th week, 2018",,,,,,"Data collected as of April 11, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,9859,2,1001,0.32,798,0.25,5887,1.87,13525,4.29,1117,0.35,533,0.17,256,0.08,1337,0.42,60,0.02,443,0.14,17,0.02,506,0.72,10,0.02,10,0.02,60,0.13,8,0.02,203,0.42
Hokkaido,1072,4.81,92,0.66,43,0.31,462,3.3,258,1.84,60,0.43,17,0.12,1,0.01,42,0.3,3,0.02,12,0.09,-,-,23,0.79,-,-,-,-,1,0.04,-,-,5,0.22
Aomori,384,5.91,13,0.31,6,0.14,57,1.36,233,5.55,5,0.12,5,0.12,1,0.02,9,0.21,1,0.02,27,0.64,1,0.09,3,0.27,-,-,-,-,2,0.33,-,-,7,1.17
Iwate,430,6.62,4,0.1,14,0.35,117,2.93,112,2.8,8,0.2,7,0.18,16,0.4,19,0.48,1,0.03,14,0.35,-,-,10,0.71,-,-,-,-,3,0.16,2,0.11,2,0.11
Miyagi,291,3.06,27,0.46,12,0.2,131,2.22,181,3.07,31,0.53,8,0.14,3,0.05,31,0.53,2,0.03,8,0.14,-,-,4,0.33,-,-,-,-,2,0.17,1,0.08,3,0.25
Akita,339,6.28,3,0.09,8,0.23,40,1.14,66,1.89,4,0.11,1,0.03,-,-,6,0.17,1,0.03,9,0.26,-,-,1,0.14,-,-,-,-,8,1,1,0.13,1,0.13
Yamagata,341,7.1,23,0.77,5,0.17,59,1.97,136,4.53,7,0.23,8,0.27,6,0.2,12,0.4,1,0.03,2,0.07,-,-,-,-,-,-,-,-,4,0.4,-,-,-,-
Fukushima,470,5.66,29,0.58,15,0.3,95,1.9,109,2.18,24,0.48,13,0.26,4,0.08,25,0.5,1,0.02,15,0.3,-,-,20,1.54,-,-,1,0.14,-,-,1,0.14,2,0.29
Ibaraki,140,1.17,8,0.11,24,0.32,135,1.8,223,2.97,22,0.29,5,0.07,-,-,22,0.29,1,0.01,8,0.11,-,-,27,1.59,-,-,-,-,2,0.15,-,-,1,0.08
