"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17th week, 2018",,,,,,"Data collected as of May 2, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1747242,353.48,21843,6.92,16000,5.07,126529,40.08,267749,84.81,15567,4.93,9466,3,4099,1.3,19972,6.33,968,0.31,7816,2.48,212,0.3,7679,11.02,156,0.33,190,0.4,1332,2.78,67,0.14,2148,4.48
Hokkaido,73501,331.09,2161,15.55,1086,7.81,10137,72.93,4417,31.78,721,5.19,203,1.46,37,0.27,522,3.76,12,0.09,168,1.21,5,0.18,201,7.18,2,0.09,9,0.39,68,2.96,-,-,89,3.87
Aomori,22649,348.45,142,3.38,152,3.62,1261,30.02,3302,78.62,163,3.88,282,6.71,17,0.4,247,5.88,21,0.5,310,7.38,1,0.09,76,6.91,3,0.5,2,0.33,56,9.33,-,-,92,15.33
Iwate,25659,394.75,240,6,187,4.68,2578,64.45,2566,64.15,164,4.1,150,3.75,177,4.43,226,5.65,7,0.18,284,7.1,-,-,131,9.36,3,0.16,1,0.05,60,3.16,5,0.26,19,1
Miyagi,33741,355.17,519,8.8,244,4.14,3131,53.07,3974,67.36,381,6.46,181,3.07,61,1.03,407,6.9,13,0.22,54,0.92,5,0.42,50,4.17,-,-,-,-,55,4.58,1,0.08,18,1.5
Akita,19545,368.77,137,4.03,113,3.32,797,23.44,1598,47,108,3.18,33,0.97,11,0.32,121,3.56,10,0.29,123,3.62,2,0.29,22,3.14,2,0.25,-,-,140,17.5,3,0.38,32,4
Yamagata,16018,340.81,261,9,234,8.07,2052,70.76,2441,84.17,210,7.24,238,8.21,78,2.69,240,8.28,31,1.07,49,1.69,-,-,16,2,4,0.4,3,0.3,48,4.8,-,-,16,1.6
Fukushima,30711,393.73,596,12.96,287,6.24,1964,42.7,1968,42.78,244,5.3,180,3.91,105,2.28,396,8.61,14,0.3,174,3.78,2,0.17,280,23.33,2,0.33,3,0.5,17,2.83,1,0.17,16,2.67
Ibaraki,41155,342.96,320,4.27,418,5.57,3272,43.63,4828,64.37,323,4.31,75,1,37,0.49,278,3.71,19,0.25,95,1.27,4,0.24,369,21.71,1,0.08,2,0.15,86,6.62,-,-,14,1.08
Tochigi,21349,280.91,202,4.21,119,2.48,1142,23.79,2302,47.96,244,5.08,59,1.23,153,3.19,285,5.94,1,0.02,39,0.81,-,-,142,11.83,3,0.43,3,0.43,33,4.71,-,-,20,2.86
Gunma,29537,335.65,207,3.83,406,7.52,2548,47.19,4429,82.02,251,4.65,156,2.89,41,0.76,372,6.89,28,0.52,254,4.7,3,0.2,324,21.6,1,0.11,3,0.33,33,3.67,-,-,31,3.44
Saitama,97360,381.8,1010,6.23,718,4.43,8493,52.43,15209,93.88,1216,7.51,146,0.9,251,1.55,1105,6.82,32,0.2,223,1.38,16,0.4,393,9.83,2,0.2,15,1.5,16,1.6,3,0.3,17,1.7
Chiba,79838,376.59,471,3.54,538,4.05,5960,44.81,9466,71.17,699,5.26,112,0.84,180,1.35,713,5.36,40,0.3,221,1.66,7,0.21,324,9.53,7,0.78,8,0.89,17,1.89,3,0.33,25,2.78
Tokyo,125426,303.69,1210,4.65,865,3.33,10686,41.1,23282,89.55,1307,5.03,256,0.98,650,2.5,1919,7.38,46,0.18,340,1.31,3,0.08,231,6.24,9,0.36,10,0.4,27,1.08,17,0.68,78,3.12
Kanagawa,120044,346.95,745,3.45,623,2.88,7473,34.6,15779,73.05,1219,5.64,251,1.16,1041,4.82,1426,6.6,30,0.14,436,2.02,8,0.16,1379,27.04,4,0.36,8,0.73,19,1.73,-,-,38,3.45
Niigata,34550,383.89,546,9.58,677,11.88,3563,62.51,3320,58.25,352,6.18,163,2.86,144,2.53,407,7.14,18,0.32,277,4.86,16,1.6,286,28.6,-,-,2,0.15,29,2.23,3,0.23,7,0.54
Toyama,15193,316.52,274,9.45,466,16.07,867,29.9,2534,87.38,142,4.9,112,3.86,62,2.14,179,6.17,3,0.1,22,0.76,5,0.71,18,2.57,3,0.6,-,-,15,3,-,-,12,2.4
Ishikawa,15055,313.65,210,7.24,322,11.1,2189,75.48,2283,78.72,220,7.59,52,1.79,99,3.41,174,6,3,0.1,34,1.17,-,-,40,5.71,1,0.2,1,0.2,51,10.2,-,-,6,1.2
Fukui,11540,360.63,139,6.32,154,7,1452,66,2217,100.77,76,3.45,96,4.36,16,0.73,140,6.36,5,0.23,60,2.73,-,-,6,2,7,1.17,2,0.33,4,0.67,3,0.5,63,10.5
Yamanashi,15017,366.27,62,2.58,59,2.46,876,36.5,1660,69.17,78,3.25,80,3.33,20,0.83,97,4.04,3,0.13,40,1.67,3,0.33,81,9,2,0.2,1,0.1,17,1.7,1,0.1,7,0.7
Nagano,33151,385.48,266,5.02,103,1.94,2142,40.42,4299,81.11,251,4.74,81,1.53,29,0.55,229,4.32,10,0.19,158,2.98,5,0.45,60,5.45,4,0.4,-,-,31,3.1,1,0.1,55,5.5
Gifu,25578,297.42,203,3.9,222,4.27,920,17.69,3562,68.5,103,1.98,68,1.31,11,0.21,236,4.54,7,0.13,139,2.67,1,0.09,47,4.27,1,0.2,1,0.2,19,3.8,-,-,78,15.6
Shizuoka,50087,362.95,441,4.96,284,3.19,2656,29.84,6956,78.16,218,2.45,67,0.75,77,0.87,426,4.79,28,0.31,384,4.31,2,0.09,169,7.68,2,0.22,9,1,16,1.78,4,0.44,16,1.78
Aichi,79298,406.66,755,4.15,564,3.1,5327,29.27,13940,76.59,625,3.43,187,1.03,90,0.49,902,4.96,24,0.13,356,1.96,1,0.03,225,6.62,4,0.27,4,0.27,43,2.87,1,0.07,105,7
Mie,26534,373.72,378,8.59,342,7.77,1703,38.7,4068,92.45,179,4.07,53,1.2,12,0.27,276,6.27,10,0.23,90,2.05,3,0.25,12,1,3,0.33,5,0.56,15,1.67,1,0.11,9,1
Shiga,17462,335.81,136,4.39,108,3.48,602,19.42,1919,61.9,141,4.55,67,2.16,21,0.68,179,5.77,15,0.48,132,4.26,1,0.13,47,5.88,1,0.14,5,0.71,-,-,-,-,5,0.71
Kyoto,39567,316.54,240,3.16,217,2.86,1751,23.04,5802,76.34,211,2.78,122,1.61,38,0.5,332,4.37,22,0.29,79,1.04,2,0.12,96,5.65,2,0.29,-,-,18,2.57,-,-,31,4.43
Osaka,88378,290.72,1915,9.67,753,3.8,6299,31.81,18159,91.71,1047,5.29,176,0.89,170,0.86,1231,6.22,69,0.35,402,2.03,20,0.38,337,6.48,5,0.29,8,0.47,30,1.76,1,0.06,131,7.71
Hyogo,64833,327.44,950,7.42,727,5.68,3039,23.74,12102,94.55,630,4.92,100,0.78,58,0.45,680,5.31,23,0.18,191,1.49,22,0.65,300,8.82,13,0.93,9,0.64,34,2.43,2,0.14,82,5.86
Nara,15620,289.26,239,7.03,153,4.5,1009,29.68,2910,85.59,140,4.12,47,1.38,52,1.53,215,6.32,26,0.76,26,0.76,1,0.1,48,4.8,7,1.17,3,0.5,17,2.83,-,-,44,7.33
Wakayama,14504,296,168,5.6,130,4.33,476,15.87,1540,51.33,117,3.9,10,0.33,13,0.43,169,5.63,17,0.57,65,2.17,35,8.75,12,3,2,0.18,5,0.45,15,1.36,4,0.36,41,3.73
Tottori,10688,368.55,71,3.74,112,5.89,1872,98.53,1968,103.58,67,3.53,28,1.47,16,0.84,117,6.16,4,0.21,9,0.47,2,0.4,13,2.6,2,0.4,3,0.6,7,1.4,-,-,37,7.4
Shimane,9876,259.89,105,4.57,77,3.35,1059,46.04,2424,105.39,58,2.52,75,3.26,4,0.17,178,7.74,7,0.3,82,3.57,-,-,4,1.33,2,0.25,2,0.25,5,0.63,-,-,37,4.63
Okayama,28254,336.36,127,2.35,161,2.98,1643,30.43,5865,108.61,234,4.33,91,1.69,31,0.57,288,5.33,14,0.26,72,1.33,11,0.92,89,7.42,2,0.4,-,-,5,1,-,-,20,4
Hiroshima,33960,297.89,415,5.85,449,6.32,2594,36.54,9892,139.32,275,3.87,128,1.8,18,0.25,371,5.23,51,0.72,92,1.3,8,0.42,248,13.05,5,0.25,2,0.1,16,0.8,1,0.05,327,16.35
Yamaguchi,26612,397.19,683,14.53,321,6.83,2249,47.85,4235,90.11,189,4.02,109,2.32,15,0.32,348,7.4,8,0.17,160,3.4,-,-,84,9.33,3,0.33,3,0.33,15,1.67,-,-,89,9.89
Tokushima,11838,319.95,287,12.48,147,6.39,669,29.09,1677,72.91,68,2.96,40,1.74,21,0.91,243,10.57,7,0.3,68,2.96,-,-,18,4.5,1,0.14,1,0.14,6,0.86,-,-,1,0.14
Kagawa,15117,321.64,150,5.36,141,5.04,880,31.43,2713,96.89,117,4.18,39,1.39,10,0.36,202,7.21,16,0.57,47,1.68,2,0.4,52,10.4,2,0.4,1,0.2,19,3.8,-,-,18,3.6
Ehime,23109,378.84,333,9,104,2.81,1994,53.89,4793,129.54,124,3.35,40,1.08,14,0.38,338,9.14,7,0.19,140,3.78,-,-,196,24.5,-,-,-,-,38,6.33,-,-,21,3.5
Kochi,20828,433.92,171,5.7,72,2.4,682,22.73,1911,63.7,73,2.43,162,5.4,17,0.57,130,4.33,7,0.23,14,0.47,-,-,11,3.67,2,0.25,1,0.13,26,3.25,10,1.25,19,2.38
Fukuoka,89656,452.81,1511,12.59,794,6.62,6745,56.21,15014,125.12,853,7.11,1159,9.66,69,0.58,1236,10.3,53,0.44,423,3.53,3,0.12,404,15.54,14,0.93,8,0.53,65,4.33,-,-,58,3.87
Saga,15425,405.92,136,6.18,220,10,641,29.14,1677,76.23,101,4.59,259,11.77,6,0.27,254,11.55,3,0.14,17,0.77,2,0.5,45,11.25,2,0.33,2,0.33,10,1.67,-,-,42,7
Nagasaki,26782,382.6,273,6.2,182,4.14,2035,46.25,3805,86.48,234,5.32,751,17.07,17,0.39,252,5.73,19,0.43,31,0.7,5,0.63,55,6.88,1,0.08,7,0.58,32,2.67,-,-,55,4.58
Kumamoto,29573,369.66,323,6.46,370,7.4,1111,22.22,5914,118.28,173,3.46,451,9.02,20,0.4,524,10.48,94,1.88,73,1.46,-,-,163,18.11,7,0.47,8,0.53,14,0.93,-,-,30,2
Oita,26921,464.16,209,5.81,111,3.08,1092,30.33,7563,210.08,255,7.08,228,6.33,10,0.28,349,9.69,7,0.19,190,5.28,-,-,76,15.2,1,0.09,1,0.09,21,1.91,-,-,25,2.27
Miyazaki,27489,465.92,527,14.64,431,11.97,1148,31.89,6412,178.11,208,5.78,957,26.58,21,0.58,459,12.75,38,1.06,464,12.89,-,-,207,34.5,1,0.14,-,-,4,0.57,-,-,149,21.29
Kagoshima,40461,439.79,764,14.15,909,16.83,2676,49.56,7115,131.76,378,7,837,15.5,27,0.5,322,5.96,27,0.5,642,11.89,1,0.14,107,15.29,1,0.08,2,0.17,6,0.5,-,-,9,0.75
Okinawa,27753,486.89,615,18.09,128,3.76,1074,31.59,1939,57.03,380,11.18,309,9.09,32,0.94,232,6.82,19,0.56,67,1.97,5,0.56,185,20.56,10,1.43,27,3.86,14,2,2,0.29,14,2
