"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20th week, 2018",,,,,,"Data collected as of May 23, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1957,0.4,951,0.3,2011,0.64,9888,3.13,23306,7.38,1105,0.35,2405,0.76,809,0.26,1818,0.58,255,0.08,565,0.18,21,0.03,766,1.1,5,0.01,12,0.03,84,0.18,2,0,134,0.28
Hokkaido,228,1.02,132,0.94,109,0.77,679,4.82,578,4.1,63,0.45,21,0.15,2,0.01,35,0.25,1,0.01,18,0.13,1,0.03,16,0.55,-,-,-,-,5,0.22,-,-,15,0.65
Aomori,44,0.68,8,0.19,9,0.21,94,2.24,298,7.1,3,0.07,17,0.4,2,0.05,20,0.48,-,-,38,0.9,-,-,6,0.55,-,-,-,-,1,0.17,-,-,4,0.67
Iwate,97,1.49,8,0.2,17,0.43,139,3.48,210,5.25,12,0.3,5,0.13,30,0.75,16,0.4,1,0.03,9,0.23,-,-,11,0.79,1,0.05,-,-,1,0.05,-,-,5,0.26
Miyagi,51,0.54,42,0.71,34,0.58,251,4.25,437,7.41,24,0.41,12,0.2,22,0.37,38,0.64,2,0.03,7,0.12,-,-,7,0.58,-,-,-,-,5,0.42,-,-,1,0.08
Akita,55,1.02,12,0.34,15,0.43,33,0.94,208,5.94,6,0.17,-,-,-,-,10,0.29,-,-,5,0.14,-,-,2,0.29,-,-,-,-,14,1.75,-,-,6,0.75
Yamagata,25,0.52,8,0.27,30,1,130,4.33,336,11.2,4,0.13,9,0.3,22,0.73,14,0.47,4,0.13,4,0.13,-,-,1,0.13,-,-,-,-,2,0.2,-,-,1,0.1
Fukushima,86,1.04,45,0.9,47,0.94,138,2.76,321,6.42,10,0.2,12,0.24,6,0.12,39,0.78,-,-,9,0.18,-,-,22,1.69,-,-,-,-,2,0.29,-,-,2,0.29
Ibaraki,21,0.18,4,0.05,37,0.49,258,3.44,427,5.69,22,0.29,5,0.07,14,0.19,23,0.31,2,0.03,6,0.08,-,-,27,1.59,-,-,-,-,8,0.62,-,-,4,0.31
Tochigi,35,0.46,9,0.19,4,0.08,139,2.9,245,5.1,6,0.13,5,0.1,54,1.13,33,0.69,-,-,9,0.19,-,-,11,0.92,-,-,-,-,2,0.29,-,-,-,-
Gunma,12,0.14,14,0.26,26,0.48,200,3.7,429,7.94,19,0.35,75,1.39,3,0.06,33,0.61,3,0.06,6,0.11,-,-,20,1.33,-,-,-,-,2,0.22,-,-,3,0.33
Saitama,27,0.1,28,0.17,130,0.8,811,4.98,1324,8.12,99,0.61,36,0.22,42,0.26,95,0.58,1,0.01,19,0.12,1,0.03,47,1.18,-,-,1,0.09,1,0.09,-,-,7,0.64
Chiba,51,0.24,27,0.2,81,0.61,472,3.58,689,5.22,54,0.41,20,0.15,50,0.38,85,0.64,22,0.17,17,0.13,-,-,19,0.54,1,0.11,-,-,2,0.22,-,-,3,0.33
Tokyo,74,0.18,71,0.27,157,0.6,923,3.51,2067,7.86,83,0.32,52,0.2,187,0.71,173,0.66,11,0.04,22,0.08,1,0.03,35,0.92,-,-,-,-,3,0.12,1,0.04,2,0.08
Kanagawa,71,0.21,41,0.19,100,0.47,651,3.07,1203,5.67,101,0.48,46,0.22,222,1.05,138,0.65,17,0.08,34,0.16,2,0.04,143,2.86,-,-,-,-,1,0.1,-,-,2,0.2
Niigata,43,0.48,63,1.11,94,1.65,350,6.14,473,8.3,13,0.23,2,0.04,10,0.18,25,0.44,3,0.05,23,0.4,2,0.2,29,2.9,-,-,-,-,2,0.15,-,-,2,0.15
Toyama,12,0.25,15,0.52,25,0.86,69,2.38,204,7.03,6,0.21,-,-,8,0.28,10,0.34,-,-,1,0.03,2,0.29,-,-,-,-,-,-,1,0.2,-,-,-,-
Ishikawa,61,1.27,5,0.17,27,0.93,117,4.03,224,7.72,8,0.28,1,0.03,1,0.03,22,0.76,1,0.03,5,0.17,-,-,3,0.43,-,-,-,-,2,0.4,-,-,1,0.2
Fukui,28,0.8,8,0.36,15,0.68,113,5.14,163,7.41,4,0.18,13,0.59,2,0.09,4,0.18,-,-,3,0.14,-,-,1,0.33,-,-,-,-,-,-,-,-,-,-
Yamanashi,17,0.41,1,0.04,7,0.29,55,2.29,144,6,9,0.38,3,0.13,-,-,10,0.42,-,-,1,0.04,-,-,17,1.89,-,-,2,0.2,-,-,-,-,4,0.4
