"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2018",,,,,,"Data collected as of May 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1315,0.27,949,0.3,2667,0.85,9544,3.02,22808,7.23,1868,0.59,2486,0.79,641,0.2,1933,0.61,433,0.14,480,0.15,19,0.03,660,0.94,11,0.02,14,0.03,69,0.14,2,0,99,0.21
Hokkaido,153,0.68,143,1.01,130,0.92,659,4.67,590,4.18,65,0.46,28,0.2,1,0.01,33,0.23,2,0.01,19,0.13,1,0.03,8,0.28,-,-,-,-,6,0.26,-,-,13,0.57
Aomori,13,0.2,4,0.1,15,0.36,82,1.95,293,6.98,15,0.36,22,0.52,2,0.05,24,0.57,-,-,12,0.29,-,-,9,0.82,-,-,-,-,2,0.33,-,-,7,1.17
Iwate,36,0.55,8,0.2,44,1.1,126,3.15,198,4.95,12,0.3,10,0.25,11,0.28,19,0.48,-,-,5,0.13,-,-,22,1.57,-,-,-,-,1,0.05,-,-,2,0.11
Miyagi,29,0.31,47,0.8,44,0.75,251,4.25,451,7.64,29,0.49,18,0.31,12,0.2,44,0.75,4,0.07,5,0.08,-,-,4,0.33,2,0.17,-,-,1,0.08,-,-,-,-
Akita,23,0.43,7,0.2,15,0.43,35,1,192,5.49,8,0.23,-,-,-,-,10,0.29,1,0.03,-,-,-,-,2,0.29,-,-,-,-,8,1,-,-,6,0.75
Yamagata,16,0.33,8,0.27,43,1.43,138,4.6,347,11.57,36,1.2,14,0.47,14,0.47,17,0.57,24,0.8,6,0.2,-,-,4,0.5,-,-,-,-,3,0.3,-,-,-,-
Fukushima,66,0.8,43,0.86,45,0.9,123,2.46,329,6.58,26,0.52,10,0.2,5,0.1,37,0.74,1,0.02,10,0.2,-,-,17,1.31,-,-,-,-,4,0.57,-,-,1,0.14
Ibaraki,27,0.23,3,0.04,57,0.76,221,2.95,406,5.41,25,0.33,1,0.01,4,0.05,29,0.39,2,0.03,3,0.04,-,-,17,1,-,-,-,-,4,0.31,-,-,-,-
Tochigi,18,0.24,15,0.31,16,0.33,109,2.27,149,3.1,20,0.42,7,0.15,28,0.58,37,0.77,1,0.02,5,0.1,-,-,12,1,-,-,-,-,1,0.14,-,-,-,-
Gunma,5,0.06,11,0.2,30,0.56,144,2.67,393,7.28,42,0.78,59,1.09,1,0.02,43,0.8,6,0.11,5,0.09,-,-,20,1.33,-,-,1,0.11,1,0.11,-,-,2,0.22
Saitama,29,0.11,17,0.1,174,1.07,798,4.9,1345,8.25,257,1.58,46,0.28,34,0.21,111,0.68,6,0.04,24,0.15,5,0.12,44,1.07,-,-,2,0.18,1,0.09,-,-,1,0.09
Chiba,18,0.08,12,0.09,145,1.1,441,3.34,787,5.96,127,0.96,18,0.14,21,0.16,92,0.7,15,0.11,10,0.08,2,0.06,25,0.71,-,-,1,0.11,-,-,-,-,-,-
Tokyo,66,0.16,46,0.18,204,0.78,833,3.19,2017,7.73,165,0.63,42,0.16,160,0.61,181,0.69,26,0.1,33,0.13,-,-,23,0.61,1,0.04,2,0.08,1,0.04,-,-,3,0.12
Kanagawa,57,0.17,30,0.14,149,0.69,723,3.36,1183,5.5,170,0.79,25,0.12,203,0.94,165,0.77,18,0.08,32,0.15,1,0.02,124,2.43,-,-,-,-,-,-,-,-,1,0.1
Niigata,15,0.17,67,1.18,97,1.7,322,5.65,429,7.53,22,0.39,6,0.11,8,0.14,27,0.47,8,0.14,9,0.16,2,0.2,35,3.5,-,-,1,0.08,-,-,-,-,2,0.15
Toyama,4,0.08,10,0.34,23,0.79,57,1.97,186,6.41,14,0.48,4,0.14,7,0.24,9,0.31,-,-,2,0.07,-,-,-,-,-,-,-,-,-,-,1,0.2,-,-
Ishikawa,49,1.02,4,0.14,48,1.66,107,3.69,237,8.17,16,0.55,5,0.17,5,0.17,16,0.55,-,-,4,0.14,-,-,3,0.43,-,-,-,-,2,0.4,-,-,2,0.4
Fukui,14,0.4,9,0.41,31,1.41,106,4.82,183,8.32,5,0.23,5,0.23,-,-,9,0.41,2,0.09,6,0.27,-,-,-,-,-,-,-,-,-,-,-,-,1,0.17
Yamanashi,8,0.2,-,-,11,0.46,58,2.42,186,7.75,7,0.29,1,0.04,1,0.04,17,0.71,2,0.08,3,0.13,-,-,7,0.78,-,-,-,-,2,0.2,-,-,2,0.2
Nagano,16,0.18,2,0.04,18,0.33,191,3.54,337,6.24,20,0.37,14,0.26,3,0.06,18,0.33,14,0.26,4,0.07,-,-,2,0.18,-,-,-,-,4,0.36,-,-,3,0.27
Gifu,25,0.29,9,0.17,30,0.57,60,1.13,255,4.81,7,0.13,4,0.08,-,-,22,0.42,2,0.04,4,0.08,-,-,-,-,-,-,-,-,-,-,-,-,5,1
Shizuoka,10,0.07,14,0.16,27,0.3,183,2.06,532,5.98,45,0.51,17,0.19,18,0.2,44,0.49,9,0.1,20,0.22,1,0.05,15,0.68,-,-,1,0.1,4,0.4,-,-,-,-
Aichi,30,0.15,33,0.18,97,0.53,426,2.34,1011,5.55,111,0.61,16,0.09,6,0.03,93,0.51,5,0.03,26,0.14,-,-,9,0.26,-,-,1,0.07,2,0.13,-,-,8,0.53
Mie,39,0.54,13,0.29,43,0.96,130,2.89,304,6.76,16,0.36,6,0.13,5,0.11,36,0.8,6,0.13,6,0.13,-,-,3,0.25,1,0.11,1,0.11,-,-,-,-,4,0.44
Shiga,6,0.11,3,0.09,21,0.66,50,1.56,197,6.16,21,0.66,18,0.56,-,-,6,0.19,6,0.19,5,0.16,-,-,3,0.38,-,-,-,-,1,0.14,-,-,1,0.14
Kyoto,11,0.09,10,0.13,56,0.73,131,1.7,528,6.86,27,0.35,24,0.31,6,0.08,40,0.52,9,0.12,11,0.14,-,-,8,0.44,-,-,1,0.14,-,-,-,-,5,0.71
Osaka,49,0.16,44,0.22,200,1.02,612,3.11,1843,9.36,125,0.63,38,0.19,29,0.15,127,0.64,30,0.15,30,0.15,-,-,23,0.44,-,-,-,-,-,-,-,-,7,0.41
Hyogo,24,0.12,18,0.14,90,0.7,223,1.74,1054,8.23,66,0.52,17,0.13,2,0.02,63,0.49,9,0.07,16,0.13,1,0.03,19,0.54,1,0.07,-,-,3,0.21,-,-,1,0.07
Nara,5,0.09,2,0.06,27,0.79,92,2.71,354,10.41,20,0.59,13,0.38,9,0.26,16,0.47,12,0.35,4,0.12,-,-,7,0.7,1,0.17,1,0.17,-,-,-,-,3,0.5
Wakayama,3,0.06,-,-,24,0.8,48,1.6,135,4.5,27,0.9,4,0.13,2,0.07,10,0.33,13,0.43,4,0.13,4,1,2,0.5,-,-,-,-,2,0.18,-,-,-,-
Tottori,25,0.86,4,0.21,18,0.95,89,4.68,224,11.79,8,0.42,3,0.16,1,0.05,9,0.47,-,-,3,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shimane,19,0.5,9,0.39,20,0.87,42,1.83,168,7.3,12,0.52,15,0.65,2,0.09,23,1,9,0.39,4,0.17,-,-,-,-,-,-,-,-,-,-,-,-,2,0.25
Okayama,4,0.05,9,0.17,18,0.33,109,2.02,499,9.24,25,0.46,12,0.22,3,0.06,33,0.61,16,0.3,8,0.15,2,0.17,18,1.5,1,0.2,-,-,-,-,-,-,-,-
Hiroshima,14,0.12,20,0.28,69,0.96,185,2.57,463,6.43,23,0.32,70,0.97,3,0.04,37,0.51,41,0.57,9,0.13,-,-,27,1.42,-,-,-,-,2,0.1,-,-,1,0.05
