"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21st week, 2018",,,,,,"Data collected as of May 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1755670,355.11,25264,8.01,23662,7.5,159603,50.57,347002,109.95,21095,6.68,16609,5.26,6274,1.99,26861,8.51,1930,0.61,9849,3.12,290,0.42,10319,14.8,193,0.4,230,0.48,1598,3.34,79,0.16,2709,5.66
Hokkaido,74504,335.6,2654,19.09,1485,10.68,12415,89.32,6411,46.12,938,6.75,281,2.02,46,0.33,663,4.77,17,0.12,223,1.6,9,0.32,250,8.93,2,0.09,10,0.43,86,3.74,-,-,136,5.91
Aomori,22946,353.02,165,3.93,197,4.69,1550,36.9,4368,104,207,4.93,341,8.12,22,0.52,320,7.62,21,0.5,403,9.6,1,0.09,101,9.18,4,0.67,2,0.33,64,10.67,-,-,111,18.5
Iwate,26188,402.89,271,6.78,274,6.85,3019,75.48,3241,81.03,206,5.15,168,4.2,241,6.03,288,7.2,12,0.3,323,8.08,-,-,185,13.21,4,0.21,1,0.05,65,3.42,5,0.26,39,2.05
Miyagi,33951,357.38,653,11.07,354,6,3960,67.12,5464,92.61,493,8.36,221,3.75,111,1.88,558,9.46,21,0.36,72,1.22,5,0.42,69,5.75,2,0.17,-,-,70,5.83,1,0.08,25,2.08
Akita,19886,375.21,163,4.79,175,5.15,924,27.18,2286,67.24,132,3.88,33,0.97,11,0.32,161,4.74,12,0.35,135,3.97,2,0.29,33,4.71,2,0.25,-,-,173,21.63,3,0.38,50,6.25
Yamagata,16162,343.87,296,10.21,355,12.24,2467,85.07,3521,121.41,271,9.34,273,9.41,130,4.48,302,10.41,64,2.21,62,2.14,-,-,33,4.71,4,0.4,3,0.3,56,5.6,-,-,19,1.9
Fukushima,31095,393.61,758,16.13,429,9.13,2423,51.55,3031,64.49,330,7.02,227,4.83,124,2.64,531,11.3,17,0.36,216,4.6,2,0.17,354,29.5,2,0.33,3,0.5,27,4.5,1,0.17,20,3.33
Ibaraki,41261,343.84,348,4.64,582,7.76,4071,54.28,6219,82.92,436,5.81,89,1.19,55,0.73,397,5.29,26,0.35,116,1.55,4,0.24,451,26.53,1,0.08,2,0.15,105,8.08,-,-,19,1.46
Tochigi,21419,281.83,235,4.9,156,3.25,1567,32.65,3010,62.71,300,6.25,73,1.52,274,5.71,395,8.23,2,0.04,60,1.25,-,-,185,15.42,3,0.43,3,0.43,37,5.29,-,-,20,2.86
Gunma,29597,340.2,247,4.57,502,9.3,3221,59.65,5755,106.57,343,6.35,320,5.93,50,0.93,502,9.3,43,0.8,281,5.2,3,0.21,397,28.36,1,0.11,4,0.44,37,4.11,-,-,42,4.67
Saitama,97548,381.05,1118,6.9,1159,7.15,11131,68.71,19720,121.73,1829,11.29,267,1.65,366,2.26,1487,9.18,48,0.3,306,1.89,25,0.63,552,13.8,4,0.4,19,1.9,22,2.2,3,0.3,36,3.6
Chiba,79990,377.31,531,3.99,884,6.65,7506,56.44,11797,88.7,1014,7.62,158,1.19,276,2.08,1009,7.59,88,0.66,276,2.08,12,0.35,406,11.94,8,0.89,9,1,19,2.11,4,0.44,32,3.56
Tokyo,125758,304.5,1401,5.39,1410,5.42,13715,52.75,30038,115.53,1737,6.68,394,1.52,1168,4.49,2595,9.98,99,0.38,435,1.67,5,0.14,336,9.08,10,0.4,13,0.52,33,1.32,20,0.8,97,3.88
Kanagawa,120309,348.72,867,4.03,1023,4.76,9755,45.37,19785,92.02,1741,8.1,365,1.7,1667,7.75,1954,9.09,77,0.36,577,2.68,12,0.24,1894,37.14,5,0.45,8,0.73,24,2.18,-,-,44,4
Niigata,34798,386.64,766,13.44,1004,17.61,4650,81.58,4634,81.3,422,7.4,193,3.39,169,2.96,514,9.02,32,0.56,346,6.07,22,2.2,402,40.2,1,0.08,3,0.23,33,2.54,4,0.31,12,0.92
Toyama,15281,318.35,307,10.59,556,19.17,1087,37.48,3229,111.34,194,6.69,118,4.07,87,3,221,7.62,3,0.1,28,0.97,10,1.43,18,2.57,3,0.6,-,-,16,3.2,1,0.2,13,2.6
Ishikawa,15263,317.98,223,7.69,423,14.59,2575,88.79,3078,106.14,259,8.93,61,2.1,114,3.93,240,8.28,5,0.17,47,1.62,-,-,49,7,1,0.2,1,0.2,60,12,-,-,9,1.8
Fukui,11644,352.85,169,7.68,223,10.14,1809,82.23,2778,126.27,89,4.05,131,5.95,20,0.91,172,7.82,7,0.32,78,3.55,-,-,8,2.67,8,1.33,2,0.33,4,0.67,3,0.5,72,12
Yamanashi,15062,367.37,64,2.67,90,3.75,1063,44.29,2174,90.58,101,4.21,86,3.58,21,0.88,139,5.79,6,0.25,47,1.96,3,0.33,126,14,3,0.3,3,0.3,21,2.1,1,0.1,23,2.3
Nagano,33295,387.15,280,5.28,154,2.91,2840,53.58,5553,104.77,313,5.91,110,2.08,45,0.85,301,5.68,43,0.81,178,3.36,12,1.2,70,7,4,0.36,-,-,45,4.09,1,0.09,73,6.64
Gifu,25691,298.73,219,4.21,303,5.83,1154,22.19,4490,86.35,130,2.5,74,1.42,15,0.29,293,5.63,11,0.21,160,3.08,2,0.18,52,4.73,1,0.2,1,0.2,20,4,-,-,91,18.2
Shizuoka,50182,363.64,489,5.49,415,4.66,3276,36.81,8716,97.93,320,3.6,130,1.46,137,1.54,566,6.36,68,0.76,489,5.49,4,0.18,234,10.64,3,0.33,13,1.44,23,2.56,4,0.44,17,1.89
Aichi,79471,407.54,871,4.79,811,4.46,6789,37.3,17503,96.17,965,5.3,263,1.45,119,0.65,1226,6.74,35,0.19,454,2.49,3,0.09,291,8.31,6,0.4,6,0.4,49,3.27,1,0.07,136,9.07
Mie,26626,375.01,417,9.48,452,10.27,2221,50.48,5116,116.27,226,5.14,79,1.8,20,0.45,398,9.05,21,0.48,113,2.57,3,0.25,19,1.58,4,0.44,7,0.78,17,1.89,2,0.22,15,1.67
Shiga,17529,337.1,148,4.77,171,5.52,772,24.9,2597,83.77,202,6.52,123,3.97,25,0.81,219,7.06,29,0.94,154,4.97,1,0.13,61,7.63,1,0.14,6,0.86,3,0.43,-,-,11,1.57
Kyoto,39677,317.42,268,3.53,344,4.53,2276,29.95,7647,100.62,303,3.99,169,2.22,49,0.64,465,6.12,43,0.57,108,1.42,3,0.18,134,7.88,3,0.43,1,0.14,18,2.57,-,-,46,6.57
