"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2018",,,,,,"Data collected as of June 6, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,932,0.19,911,0.29,2628,0.83,9854,3.12,22929,7.26,2165,0.69,3020,0.96,704,0.22,1835,0.58,570,0.18,589,0.19,17,0.02,765,1.09,13,0.03,9,0.02,68,0.14,2,0,103,0.22
Hokkaido,59,0.26,121,0.86,146,1.04,585,4.15,605,4.29,67,0.48,47,0.33,-,-,42,0.3,1,0.01,18,0.13,-,-,20,0.69,1,0.04,-,-,5,0.22,-,-,13,0.57
Aomori,9,0.14,8,0.19,15,0.36,82,1.95,284,6.76,14,0.33,20,0.48,-,-,24,0.57,2,0.05,33,0.79,1,0.09,3,0.27,-,-,-,-,1,0.17,-,-,-,-
Iwate,5,0.08,11,0.28,37,0.93,160,4,276,6.9,13,0.33,17,0.43,19,0.48,20,0.5,1,0.03,18,0.45,-,-,9,0.64,1,0.05,-,-,-,-,-,-,7,0.37
Miyagi,17,0.18,34,0.58,41,0.69,234,3.97,512,8.68,28,0.47,30,0.51,10,0.17,24,0.41,10,0.17,8,0.14,-,-,8,0.67,-,-,-,-,5,0.42,-,-,2,0.17
Akita,22,0.41,12,0.34,14,0.4,44,1.26,171,4.89,4,0.11,1,0.03,1,0.03,8,0.23,-,-,4,0.11,-,-,3,0.43,-,-,-,-,7,0.88,-,-,2,0.25
Yamagata,6,0.13,12,0.4,42,1.4,143,4.77,276,9.2,22,0.73,10,0.33,26,0.87,19,0.63,17,0.57,2,0.07,-,-,7,0.88,1,0.1,-,-,4,0.4,-,-,-,-
Fukushima,30,0.36,36,0.72,41,0.82,136,2.72,300,6,19,0.38,13,0.26,6,0.12,28,0.56,1,0.02,14,0.28,-,-,29,2.23,-,-,-,-,3,0.43,-,-,1,0.14
Ibaraki,15,0.13,7,0.09,64,0.85,197,2.63,371,4.95,16,0.21,6,0.08,6,0.08,27,0.36,1,0.01,3,0.04,-,-,29,1.71,-,-,-,-,5,0.38,-,-,-,-
Tochigi,12,0.16,13,0.27,25,0.52,127,2.65,177,3.69,26,0.54,7,0.15,23,0.48,24,0.5,5,0.1,2,0.04,-,-,6,0.5,-,-,-,-,2,0.29,-,-,2,0.29
Gunma,4,0.05,7,0.13,38,0.7,202,3.74,365,6.76,17,0.31,80,1.48,7,0.13,35,0.65,15,0.28,8,0.15,-,-,18,1.2,-,-,-,-,1,0.11,-,-,1,0.11
Saitama,37,0.14,32,0.2,171,1.05,834,5.12,1434,8.8,98,0.6,51,0.31,36,0.22,139,0.85,18,0.11,24,0.15,5,0.12,52,1.27,-,-,1,0.09,-,-,-,-,4,0.36
Chiba,27,0.13,16,0.12,149,1.11,480,3.58,708,5.28,64,0.48,24,0.18,31,0.23,66,0.49,24,0.18,27,0.2,1,0.03,16,0.46,1,0.11,2,0.22,2,0.22,-,-,1,0.11
Tokyo,63,0.15,46,0.18,193,0.74,929,3.55,1925,7.35,66,0.25,65,0.25,164,0.63,197,0.75,32,0.12,30,0.11,-,-,23,0.61,1,0.04,-,-,3,0.12,1,0.04,4,0.16
Kanagawa,43,0.13,35,0.16,152,0.7,649,3,1361,6.3,108,0.5,43,0.2,209,0.97,162,0.75,19,0.09,38,0.18,1,0.02,165,3.24,-,-,-,-,-,-,-,-,2,0.2
Niigata,7,0.08,81,1.42,112,1.96,290,5.09,435,7.63,20,0.35,3,0.05,13,0.23,34,0.6,12,0.21,16,0.28,-,-,39,3.9,-,-,-,-,1,0.08,-,-,-,-
Toyama,10,0.21,14,0.48,30,1.03,50,1.72,179,6.17,6,0.21,9,0.31,18,0.62,15,0.52,-,-,4,0.14,1,0.14,1,0.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,27,0.56,2,0.07,31,1.07,119,4.1,184,6.34,11,0.38,4,0.14,1,0.03,21,0.72,-,-,6,0.21,-,-,1,0.14,-,-,2,0.4,2,0.4,-,-,1,0.2
Fukui,23,0.66,5,0.23,18,0.82,109,4.95,176,8,4,0.18,4,0.18,-,-,6,0.27,-,-,2,0.09,-,-,-,-,-,-,-,-,-,-,-,-,10,1.67
Yamanashi,3,0.07,1,0.04,14,0.58,53,2.21,155,6.46,6,0.25,7,0.29,1,0.04,13,0.54,1,0.04,-,-,-,-,9,1,-,-,-,-,1,0.1,-,-,-,-
Nagano,13,0.15,3,0.06,22,0.41,205,3.8,405,7.5,7,0.13,7,0.13,11,0.2,18,0.33,13,0.24,7,0.13,1,0.09,-,-,-,-,-,-,1,0.09,-,-,6,0.55
Gifu,10,0.11,5,0.09,27,0.51,102,1.92,276,5.21,10,0.19,1,0.02,1,0.02,15,0.28,1,0.02,4,0.08,-,-,3,0.27,-,-,-,-,-,-,-,-,-,-
