"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22nd week, 2018",,,,,,"Data collected as of June 6, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1756602,355.3,26181,8.29,26279,8.32,169479,53.68,369961,117.19,23260,7.37,19633,6.22,6978,2.21,28699,9.09,2501,0.79,10438,3.31,307,0.44,11089,15.91,206,0.43,240,0.5,1667,3.48,81,0.17,2815,5.88
Hokkaido,74565,335.88,2777,19.98,1633,11.75,13004,93.55,7027,50.55,1005,7.23,331,2.38,46,0.33,706,5.08,18,0.13,241,1.73,9,0.32,270,9.64,3,0.13,10,0.43,91,3.96,-,-,149,6.48
Aomori,22955,353.15,173,4.12,212,5.05,1632,38.86,4652,110.76,221,5.26,361,8.6,22,0.52,344,8.19,23,0.55,436,10.38,2,0.18,104,9.45,4,0.67,2,0.33,65,10.83,-,-,111,18.5
Iwate,26193,402.97,282,7.05,311,7.78,3179,79.48,3517,87.93,219,5.48,185,4.63,260,6.5,308,7.7,13,0.33,341,8.53,-,-,194,13.86,5,0.26,1,0.05,65,3.42,5,0.26,46,2.42
Miyagi,33968,357.56,687,11.64,395,6.69,4194,71.08,5976,101.29,521,8.83,251,4.25,121,2.05,582,9.86,31,0.53,80,1.36,5,0.42,77,6.42,2,0.17,-,-,75,6.25,1,0.08,27,2.25
Akita,19908,375.62,175,5.15,189,5.56,968,28.47,2457,72.26,136,4,34,1,12,0.35,169,4.97,12,0.35,139,4.09,2,0.29,36,5.14,2,0.25,-,-,180,22.5,3,0.38,52,6.5
Yamagata,16168,344,308,10.62,397,13.69,2610,90,3797,130.93,293,10.1,283,9.76,156,5.38,321,11.07,81,2.79,64,2.21,-,-,40,5.71,5,0.5,3,0.3,60,6,-,-,19,1.9
Fukushima,31125,393.99,794,16.89,470,10,2559,54.45,3331,70.87,349,7.43,240,5.11,130,2.77,559,11.89,18,0.38,230,4.89,2,0.17,383,31.92,2,0.33,3,0.5,30,5,1,0.17,21,3.5
Ibaraki,41276,343.97,355,4.73,646,8.61,4268,56.91,6590,87.87,452,6.03,95,1.27,61,0.81,424,5.65,27,0.36,119,1.59,4,0.24,480,28.24,1,0.08,2,0.15,110,8.46,-,-,19,1.46
Tochigi,21431,281.99,248,5.17,181,3.77,1694,35.29,3187,66.4,326,6.79,80,1.67,297,6.19,419,8.73,7,0.15,62,1.29,-,-,191,15.92,3,0.43,3,0.43,39,5.57,-,-,22,3.14
Gunma,29601,340.24,254,4.7,540,10,3423,63.39,6120,113.33,360,6.67,400,7.41,57,1.06,537,9.94,58,1.07,289,5.35,3,0.21,415,29.64,1,0.11,4,0.44,38,4.22,-,-,43,4.78
Saitama,97585,381.19,1150,7.1,1330,8.21,11965,73.86,21154,130.58,1927,11.9,318,1.96,402,2.48,1626,10.04,66,0.41,330,2.04,30,0.75,604,15.1,4,0.4,20,2,22,2.2,3,0.3,40,4
Chiba,80017,377.44,547,4.11,1033,7.77,7986,60.05,12505,94.02,1078,8.11,182,1.37,307,2.31,1075,8.08,112,0.84,303,2.28,13,0.38,422,12.41,9,1,11,1.22,21,2.33,4,0.44,33,3.67
Tokyo,125821,304.65,1447,5.54,1603,6.14,14644,56.11,31963,122.46,1803,6.91,459,1.76,1332,5.1,2792,10.7,131,0.5,465,1.78,5,0.14,359,9.7,11,0.44,13,0.52,36,1.44,21,0.84,101,4.04
Kanagawa,120352,348.85,902,4.18,1175,5.44,10404,48.17,21146,97.9,1849,8.56,408,1.89,1876,8.69,2116,9.8,96,0.44,615,2.85,13,0.25,2064,40.47,5,0.45,8,0.73,24,2.18,-,-,46,4.18
Niigata,34805,386.72,847,14.86,1116,19.58,4940,86.67,5069,88.93,442,7.75,196,3.44,182,3.19,548,9.61,44,0.77,362,6.35,22,2.2,441,44.1,1,0.08,3,0.23,34,2.62,4,0.31,12,0.92
Toyama,15291,318.56,321,11.07,586,20.21,1137,39.21,3408,117.52,200,6.9,127,4.38,105,3.62,236,8.14,3,0.1,32,1.1,11,1.57,19,2.71,3,0.6,-,-,16,3.2,1,0.2,13,2.6
Ishikawa,15290,318.54,225,7.76,454,15.66,2694,92.9,3262,112.48,270,9.31,65,2.24,115,3.97,261,9,5,0.17,53,1.83,-,-,50,7.14,1,0.2,3,0.6,62,12.4,-,-,10,2
Fukui,11667,353.55,174,7.91,241,10.95,1918,87.18,2954,134.27,93,4.23,135,6.14,20,0.91,178,8.09,7,0.32,80,3.64,-,-,8,2.67,8,1.33,2,0.33,4,0.67,3,0.5,82,13.67
Yamanashi,15065,367.44,65,2.71,104,4.33,1116,46.5,2329,97.04,107,4.46,93,3.88,22,0.92,152,6.33,7,0.29,47,1.96,3,0.33,135,15,3,0.3,3,0.3,22,2.2,1,0.1,23,2.3
Nagano,33308,387.3,283,5.34,176,3.32,3045,57.45,5958,112.42,320,6.04,117,2.21,56,1.06,319,6.02,56,1.06,185,3.49,13,1.3,70,7,4,0.36,-,-,46,4.18,1,0.09,79,7.18
Gifu,25697,298.8,224,4.31,330,6.35,1256,24.15,4766,91.65,140,2.69,75,1.44,16,0.31,308,5.92,12,0.23,164,3.15,2,0.18,55,5,1,0.2,1,0.2,20,4,-,-,91,18.2
Shizuoka,50184,363.65,499,5.61,480,5.39,3464,38.92,9245,103.88,342,3.84,151,1.7,160,1.8,613,6.89,86,0.97,514,5.78,5,0.23,247,11.23,3,0.33,13,1.44,24,2.67,4,0.44,17,1.89
