"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2018",,,,,,"Data collected as of June 13, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,569,0.12,944,0.3,2904,0.92,9720,3.08,21924,6.94,1595,0.51,3517,1.11,843,0.27,1890,0.6,886,0.28,581,0.18,11,0.02,720,1.03,8,0.02,12,0.03,82,0.17,-,-,46,0.1
Hokkaido,23,0.1,117,0.83,129,0.91,486,3.45,603,4.28,50,0.35,54,0.38,3,0.02,37,0.26,4,0.03,20,0.14,-,-,30,1.03,-,-,-,-,2,0.09,-,-,7,0.3
Aomori,8,0.12,9,0.21,18,0.43,44,1.05,288,6.86,15,0.36,23,0.55,1,0.02,26,0.62,3,0.07,31,0.74,-,-,8,0.73,-,-,-,-,4,0.67,-,-,-,-
Iwate,3,0.05,16,0.4,50,1.25,126,3.15,156,3.9,9,0.23,22,0.55,29,0.73,17,0.43,5,0.13,4,0.1,-,-,9,0.64,-,-,1,0.05,9,0.47,-,-,-,-
Miyagi,2,0.02,38,0.64,66,1.12,205,3.47,396,6.71,23,0.39,29,0.49,21,0.36,39,0.66,9,0.15,7,0.12,-,-,3,0.25,-,-,-,-,3,0.25,-,-,1,0.08
Akita,3,0.06,10,0.29,22,0.65,34,1,121,3.56,6,0.18,-,-,-,-,8,0.24,3,0.09,6,0.18,-,-,2,0.29,-,-,-,-,11,1.38,-,-,3,0.38
Yamagata,3,0.06,12,0.4,36,1.2,132,4.4,238,7.93,31,1.03,21,0.7,22,0.73,22,0.73,21,0.7,3,0.1,-,-,7,0.88,-,-,-,-,-,-,-,-,1,0.1
Fukushima,15,0.18,30,0.6,69,1.38,129,2.58,322,6.44,18,0.36,2,0.04,3,0.06,44,0.88,3,0.06,19,0.38,-,-,31,2.38,-,-,-,-,1,0.14,-,-,1,0.14
Ibaraki,14,0.12,10,0.13,82,1.09,254,3.39,475,6.33,20,0.27,21,0.28,10,0.13,30,0.4,3,0.04,4,0.05,-,-,26,1.53,-,-,-,-,1,0.08,-,-,-,-
Tochigi,7,0.09,15,0.31,28,0.58,113,2.35,165,3.44,18,0.38,18,0.38,35,0.73,40,0.83,5,0.1,7,0.15,-,-,6,0.5,-,-,-,-,1,0.14,-,-,-,-
Gunma,-,-,7,0.13,42,0.78,178,3.3,373,6.91,16,0.3,91,1.69,5,0.09,33,0.61,7,0.13,10,0.19,-,-,14,0.93,1,0.11,-,-,1,0.11,-,-,2,0.22
Saitama,10,0.04,31,0.19,205,1.27,821,5.07,1269,7.83,186,1.15,55,0.34,47,0.29,151,0.93,25,0.15,31,0.19,1,0.02,53,1.29,-,-,2,0.18,1,0.09,-,-,-,-
Chiba,19,0.09,18,0.13,165,1.22,490,3.63,748,5.54,95,0.7,27,0.2,44,0.33,96,0.71,42,0.31,18,0.13,-,-,27,0.77,-,-,-,-,4,0.44,-,-,1,0.11
Tokyo,50,0.12,51,0.19,232,0.88,949,3.61,1988,7.56,127,0.48,90,0.34,199,0.76,177,0.67,60,0.23,28,0.11,2,0.05,19,0.5,-,-,-,-,2,0.08,-,-,-,-
Kanagawa,36,0.11,34,0.16,148,0.69,615,2.89,1314,6.17,161,0.76,37,0.17,252,1.18,131,0.62,21,0.1,41,0.19,-,-,143,2.8,-,-,3,0.3,-,-,-,-,1,0.1
Niigata,11,0.12,58,1.02,138,2.42,278,4.88,414,7.26,15,0.26,11,0.19,19,0.33,17,0.3,76,1.33,18,0.32,2,0.2,19,1.9,-,-,-,-,1,0.08,-,-,3,0.23
Toyama,15,0.31,11,0.38,26,0.9,57,1.97,204,7.03,12,0.41,5,0.17,13,0.45,13,0.45,3,0.1,3,0.1,2,0.29,-,-,-,-,-,-,-,-,-,-,-,-
Ishikawa,6,0.13,4,0.14,32,1.1,100,3.45,195,6.72,18,0.62,21,0.72,3,0.1,17,0.59,2,0.07,1,0.03,-,-,-,-,-,-,2,0.4,5,1,-,-,-,-
Fukui,7,0.2,14,0.64,23,1.05,112,5.09,162,7.36,5,0.23,16,0.73,3,0.14,13,0.59,3,0.14,1,0.05,-,-,-,-,-,-,-,-,-,-,-,-,1,0.17
Yamanashi,-,-,-,-,15,0.63,53,2.21,135,5.63,11,0.46,2,0.08,4,0.17,12,0.5,2,0.08,3,0.13,-,-,19,2.11,-,-,-,-,1,0.1,-,-,-,-
Nagano,3,0.03,8,0.15,29,0.54,222,4.11,344,6.37,29,0.54,12,0.22,4,0.07,20,0.37,16,0.3,3,0.06,1,0.09,3,0.27,-,-,-,-,3,0.27,-,-,2,0.18
Gifu,5,0.06,5,0.09,28,0.53,82,1.55,303,5.72,13,0.25,13,0.25,-,-,27,0.51,2,0.04,3,0.06,-,-,2,0.18,-,-,-,-,-,-,-,-,1,0.2
Shizuoka,11,0.08,5,0.06,44,0.49,223,2.51,622,6.99,36,0.4,29,0.33,18,0.2,38,0.43,18,0.2,19,0.21,-,-,11,0.5,-,-,-,-,-,-,-,-,-,-
Aichi,11,0.06,18,0.1,95,0.52,434,2.38,1007,5.53,109,0.6,35,0.19,14,0.08,101,0.55,20,0.11,20,0.11,-,-,22,0.63,-,-,-,-,2,0.13,-,-,2,0.13
Mie,1,0.01,8,0.18,26,0.58,126,2.8,321,7.13,18,0.4,10,0.22,1,0.02,32,0.71,29,0.64,6,0.13,-,-,2,0.17,-,-,-,-,2,0.22,-,-,-,-
Shiga,4,0.08,1,0.03,17,0.53,91,2.84,155,4.84,36,1.13,28,0.88,2,0.06,9,0.28,12,0.38,9,0.28,-,-,4,0.5,-,-,-,-,1,0.14,-,-,-,-
Kyoto,6,0.05,13,0.17,58,0.75,162,2.1,592,7.69,31,0.4,44,0.57,5,0.06,22,0.29,40,0.52,9,0.12,-,-,2,0.11,-,-,-,-,1,0.14,-,-,1,0.14
Osaka,15,0.05,45,0.23,225,1.14,640,3.23,1529,7.72,117,0.59,44,0.22,28,0.14,123,0.62,19,0.1,30,0.15,-,-,20,0.38,2,0.12,-,-,4,0.24,-,-,3,0.18
Hyogo,14,0.07,14,0.11,128,1,268,2.09,1150,8.98,75,0.59,40,0.31,3,0.02,56,0.44,14,0.11,26,0.2,-,-,13,0.37,-,-,-,-,1,0.07,-,-,-,-
Nara,1,0.02,1,0.03,30,0.88,96,2.82,254,7.47,9,0.26,11,0.32,8,0.24,22,0.65,7,0.21,4,0.12,-,-,1,0.1,-,-,-,-,-,-,-,-,1,0.17
Wakayama,2,0.04,1,0.03,18,0.6,61,2.03,151,5.03,20,0.67,3,0.1,1,0.03,21,0.7,33,1.1,4,0.13,1,0.25,1,0.25,-,-,-,-,2,0.18,-,-,1,0.09
Tottori,5,0.17,5,0.26,23,1.21,78,4.11,233,12.26,5,0.26,2,0.11,-,-,16,0.84,2,0.11,1,0.05,-,-,1,0.2,2,0.4,-,-,1,0.2,-,-,1,0.2
Shimane,6,0.16,9,0.39,12,0.52,68,2.96,147,6.39,4,0.17,32,1.39,1,0.04,13,0.57,10,0.43,5,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,-,-,4,0.07,32,0.59,112,2.07,459,8.5,20,0.37,17,0.31,12,0.22,26,0.48,24,0.44,7,0.13,-,-,12,1,-,-,-,-,-,-,-,-,-,-
Hiroshima,6,0.05,19,0.26,67,0.93,169,2.35,489,6.79,10,0.14,108,1.5,2,0.03,24,0.33,70,0.97,12,0.17,2,0.11,28,1.47,-,-,-,-,1,0.05,-,-,-,-
Yamaguchi,2,0.03,41,0.87,27,0.57,204,4.34,267,5.68,13,0.28,105,2.23,1,0.02,34,0.72,50,1.06,1,0.02,-,-,3,0.33,-,-,-,-,5,0.56,-,-,-,-
Tokushima,-,-,2,0.09,16,0.7,71,3.09,157,6.83,5,0.22,30,1.3,9,0.39,18,0.78,3,0.13,3,0.13,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-
Kagawa,1,0.02,5,0.18,24,0.86,85,3.04,332,11.86,8,0.29,23,0.82,-,-,19,0.68,29,1.04,5,0.18,-,-,2,0.4,-,-,-,-,1,0.2,-,-,-,-
Ehime,3,0.05,7,0.19,24,0.65,129,3.49,415,11.22,12,0.32,9,0.24,-,-,30,0.81,18,0.49,7,0.19,-,-,13,1.63,-,-,-,-,5,0.83,-,-,5,0.83
Kochi,1,0.02,-,-,19,0.63,43,1.43,135,4.5,9,0.3,26,0.87,3,0.1,13,0.43,3,0.1,1,0.03,-,-,-,-,-,-,-,-,2,0.25,-,-,1,0.13
Fukuoka,27,0.14,51,0.43,147,1.23,445,3.71,956,7.97,70,0.58,633,5.28,5,0.04,97,0.81,39,0.33,43,0.36,-,-,78,3,-,-,2,0.13,2,0.13,-,-,3,0.2
Saga,4,0.1,10,0.43,51,2.22,45,1.96,145,6.3,6,0.26,62,2.7,1,0.04,20,0.87,43,1.87,2,0.09,-,-,4,1,-,-,-,-,2,0.33,-,-,-,-
Nagasaki,4,0.06,15,0.34,19,0.43,145,3.3,273,6.2,10,0.23,149,3.39,-,-,28,0.64,25,0.57,4,0.09,-,-,8,1,-,-,-,-,-,-,-,-,1,0.08
Kumamoto,18,0.23,10,0.2,25,0.5,92,1.84,463,9.26,16,0.32,274,5.48,1,0.02,36,0.72,21,0.42,5,0.1,-,-,26,2.89,-,-,-,-,-,-,-,-,-,-
Oita,9,0.16,8,0.22,11,0.31,96,2.67,515,14.31,31,0.86,416,11.56,3,0.08,28,0.78,19,0.53,8,0.22,-,-,5,1,-,-,-,-,-,-,-,-,-,-
Miyazaki,2,0.03,11,0.31,45,1.29,94,2.69,382,10.91,17,0.49,363,10.37,4,0.11,35,1,9,0.26,43,1.23,-,-,13,2.17,-,-,-,-,-,-,-,-,-,-
Kagoshima,29,0.32,19,0.35,101,1.87,198,3.67,444,8.22,20,0.37,370,6.85,4,0.07,43,0.8,5,0.09,38,0.7,-,-,11,1.57,1,0.08,-,-,-,-,-,-,1,0.08
Okinawa,147,2.58,124,3.65,37,1.09,65,1.91,118,3.47,10,0.29,84,2.47,-,-,16,0.47,9,0.26,8,0.24,-,-,19,2.11,1,0.14,2,0.29,-,-,-,-,2,0.29
