"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23rd week, 2018",,,,,,"Data collected as of June 13, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1757177,355.34,27132,8.59,29186,9.24,179220,56.77,391962,124.16,23869,7.56,23151,7.33,7827,2.48,30593,9.69,3387,1.07,11019,3.49,318,0.46,11819,16.96,214,0.45,252,0.53,1749,3.65,81,0.17,2861,5.97
Hokkaido,74588,335.98,2895,20.83,1764,12.69,13491,97.06,7630,54.89,1055,7.59,386,2.78,49,0.35,743,5.35,22,0.16,261,1.88,9,0.32,305,10.89,3,0.13,10,0.43,93,4.04,-,-,156,6.78
Aomori,22963,353.28,182,4.33,230,5.48,1676,39.9,4940,117.62,236,5.62,384,9.14,23,0.55,370,8.81,26,0.62,467,11.12,2,0.18,112,10.18,4,0.67,2,0.33,69,11.5,-,-,111,18.5
Iwate,26196,403.02,298,7.45,361,9.03,3305,82.63,3673,91.83,228,5.7,207,5.18,289,7.23,325,8.13,18,0.45,345,8.63,-,-,203,14.5,5,0.26,2,0.11,74,3.89,5,0.26,46,2.42
Miyagi,33970,357.58,725,12.29,461,7.81,4399,74.56,6372,108,544,9.22,280,4.75,142,2.41,621,10.53,40,0.68,87,1.47,5,0.42,80,6.67,2,0.17,-,-,78,6.5,1,0.08,28,2.33
Akita,19911,375.68,185,5.44,211,6.21,1002,29.47,2578,75.82,142,4.18,34,1,12,0.35,177,5.21,15,0.44,145,4.26,2,0.29,38,5.43,2,0.25,-,-,191,23.88,3,0.38,55,6.88
Yamagata,16171,344.06,320,11.03,433,14.93,2742,94.55,4035,139.14,324,11.17,304,10.48,178,6.14,343,11.83,102,3.52,67,2.31,-,-,47,6.71,5,0.5,3,0.3,60,6,-,-,20,2
Fukushima,31140,394.18,824,17.53,539,11.47,2688,57.19,3653,77.72,367,7.81,242,5.15,133,2.83,603,12.83,21,0.45,249,5.3,2,0.17,414,34.5,2,0.33,3,0.5,31,5.17,1,0.17,22,3.67
Ibaraki,41290,344.08,368,4.91,728,9.71,4522,60.29,7065,94.2,472,6.29,116,1.55,71,0.95,454,6.05,30,0.4,123,1.64,4,0.24,506,29.76,1,0.08,2,0.15,111,8.54,-,-,19,1.46
Tochigi,21438,282.08,263,5.48,209,4.35,1807,37.65,3352,69.83,344,7.17,98,2.04,332,6.92,459,9.56,12,0.25,69,1.44,-,-,197,16.42,3,0.43,3,0.43,40,5.71,-,-,22,3.14
Gunma,29601,340.24,261,4.83,582,10.78,3601,66.69,6493,120.24,376,6.96,491,9.09,62,1.15,570,10.56,65,1.2,299,5.54,3,0.21,429,30.64,2,0.22,4,0.44,39,4.33,-,-,45,5
Saitama,97595,381.23,1181,7.29,1535,9.48,12786,78.93,22423,138.41,2113,13.04,373,2.3,449,2.77,1777,10.97,91,0.56,361,2.23,31,0.78,657,16.43,4,0.4,22,2.2,23,2.3,3,0.3,40,4
Chiba,80036,377.53,565,4.25,1198,9.01,8476,63.73,13253,99.65,1173,8.82,209,1.57,351,2.64,1171,8.8,154,1.16,321,2.41,13,0.38,449,13.21,9,1,11,1.22,25,2.78,4,0.44,34,3.78
Tokyo,125871,304.04,1498,5.74,1835,7.03,15593,59.74,33951,130.08,1930,7.39,549,2.1,1531,5.87,2969,11.38,191,0.73,493,1.89,7,0.19,378,10.22,11,0.44,13,0.52,38,1.52,21,0.84,101,4.04
Kanagawa,120389,348.95,937,4.36,1324,6.16,11025,51.28,22472,104.52,2010,9.35,445,2.07,2132,9.92,2247,10.45,117,0.54,656,3.05,13,0.25,2209,43.31,5,0.45,11,1,24,2.18,-,-,47,4.27
Niigata,34816,386.84,905,15.88,1254,22,5218,91.54,5483,96.19,457,8.02,207,3.63,201,3.53,565,9.91,120,2.11,380,6.67,24,2.4,460,46,1,0.08,3,0.23,35,2.69,4,0.31,15,1.15
Toyama,15306,318.88,332,11.45,612,21.1,1194,41.17,3612,124.55,212,7.31,132,4.55,118,4.07,249,8.59,6,0.21,35,1.21,13,1.86,19,2.71,3,0.6,-,-,16,3.2,1,0.2,13,2.6
Ishikawa,15296,318.67,229,7.9,486,16.76,2794,96.34,3457,119.21,288,9.93,86,2.97,118,4.07,278,9.59,7,0.24,54,1.86,-,-,50,7.14,1,0.2,5,1,67,13.4,-,-,10,2
Fukui,11674,353.76,188,8.55,264,12,2030,92.27,3116,141.64,98,4.45,151,6.86,23,1.05,191,8.68,10,0.45,81,3.68,-,-,8,2.67,8,1.33,2,0.33,4,0.67,3,0.5,83,13.83
Yamanashi,15065,367.44,65,2.71,119,4.96,1169,48.71,2464,102.67,118,4.92,95,3.96,26,1.08,164,6.83,9,0.38,50,2.08,3,0.33,154,17.11,3,0.3,3,0.3,23,2.3,1,0.1,23,2.3
Nagano,33311,387.34,291,5.49,205,3.87,3267,61.64,6302,118.91,349,6.58,129,2.43,60,1.13,339,6.4,72,1.36,188,3.55,14,1.4,73,7.3,4,0.36,-,-,49,4.45,1,0.09,81,7.36
Gifu,25702,298.86,229,4.4,358,6.88,1338,25.73,5069,97.48,153,2.94,88,1.69,16,0.31,335,6.44,14,0.27,167,3.21,2,0.18,57,5.18,1,0.2,1,0.2,20,4,-,-,92,18.4
Shizuoka,50195,363.73,504,5.66,524,5.89,3687,41.43,9867,110.87,378,4.25,180,2.02,178,2,651,7.31,104,1.17,533,5.99,5,0.23,258,11.73,3,0.33,13,1.44,24,2.67,4,0.44,17,1.89
Aichi,79497,407.68,918,5.04,959,5.27,7713,42.38,19698,108.23,1147,6.3,321,1.76,143,0.79,1398,7.68,74,0.41,502,2.76,3,0.09,334,9.54,6,0.4,8,0.53,51,3.4,1,0.07,141,9.4
Mie,26652,375.38,440,10,519,11.8,2472,56.18,5747,130.61,251,5.7,94,2.14,22,0.5,462,10.5,58,1.32,126,2.86,3,0.25,23,1.92,5,0.56,7,0.78,19,2.11,2,0.22,15,1.67
Shiga,17539,337.29,150,4.84,205,6.61,927,29.9,2945,95,254,8.19,180,5.81,27,0.87,241,7.77,43,1.39,169,5.45,1,0.13,68,8.5,3,0.43,6,0.86,4,0.57,-,-,11,1.57
Kyoto,39690,317.52,299,3.93,451,5.93,2583,33.99,8838,116.29,353,4.64,235,3.09,57,0.75,519,6.83,114,1.5,128,1.68,3,0.18,142,8.35,3,0.43,1,0.14,19,2.71,-,-,51,7.29
Osaka,88575,292.33,2171,11.02,1788,9.08,9540,48.43,27384,139.01,1637,8.31,375,1.9,309,1.57,1953,9.91,154,0.78,591,3,23,0.44,471,9.06,9,0.53,12,0.71,39,2.29,2,0.12,173,10.18
Hyogo,65044,328.51,1057,8.26,1246,9.73,4319,33.74,18088,141.31,963,7.52,222,1.73,73,0.57,1044,8.16,58,0.45,294,2.3,29,0.83,477,13.63,19,1.36,12,0.86,40,2.86,2,0.14,102,7.29
Nara,15647,289.76,247,7.26,294,8.65,1494,43.94,4554,133.94,215,6.32,99,2.91,109,3.21,311,9.15,64,1.88,43,1.26,1,0.1,74,7.4,10,1.67,4,0.67,18,3,-,-,54,9
