"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2018",,,,,,"Data collected as of June 20, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,411,0.08,1060,0.34,2628,0.83,9099,2.88,20248,6.4,1182,0.37,3897,1.23,712,0.23,1711,0.54,1545,0.49,567,0.18,12,0.02,701,1,10,0.02,10,0.02,66,0.14,3,0.01,41,0.09
Hokkaido,21,0.09,74,0.52,129,0.91,591,4.19,541,3.84,37,0.26,52,0.37,1,0.01,31,0.22,4,0.03,13,0.09,1,0.03,24,0.83,1,0.04,-,-,4,0.17,-,-,7,0.3
Aomori,2,0.03,7,0.17,22,0.52,73,1.74,255,6.07,7,0.17,24,0.57,-,-,18,0.43,1,0.02,22,0.52,-,-,7,0.64,-,-,-,-,6,1,-,-,-,-
Iwate,-,-,16,0.4,33,0.83,124,3.1,220,5.5,9,0.23,12,0.3,21,0.53,24,0.6,1,0.03,2,0.05,-,-,12,0.86,-,-,-,-,1,0.05,-,-,2,0.11
Miyagi,-,-,57,0.97,36,0.61,197,3.34,408,6.92,22,0.37,33,0.56,13,0.22,42,0.71,18,0.31,6,0.1,-,-,1,0.08,-,-,-,-,2,0.17,-,-,2,0.17
Akita,1,0.02,6,0.17,13,0.37,38,1.09,154,4.4,4,0.11,4,0.11,-,-,6,0.17,1,0.03,1,0.03,-,-,2,0.29,-,-,-,-,14,1.75,-,-,1,0.13
Yamagata,-,-,6,0.2,35,1.17,99,3.3,223,7.43,20,0.67,24,0.8,15,0.5,16,0.53,28,0.93,3,0.1,-,-,2,0.25,-,-,-,-,2,0.2,-,-,-,-
Fukushima,7,0.08,27,0.54,50,1,134,2.68,323,6.46,21,0.42,2,0.04,2,0.04,31,0.62,4,0.08,9,0.18,-,-,18,1.38,-,-,-,-,-,-,-,-,4,0.57
Ibaraki,23,0.19,2,0.03,46,0.61,220,2.93,387,5.16,19,0.25,13,0.17,3,0.04,22,0.29,6,0.08,11,0.15,1,0.06,24,1.41,-,-,-,-,2,0.15,-,-,-,-
Tochigi,3,0.04,11,0.23,17,0.35,107,2.23,139,2.9,14,0.29,9,0.19,24,0.5,26,0.54,12,0.25,4,0.08,-,-,1,0.08,-,-,-,-,-,-,-,-,1,0.14
Gunma,2,0.02,11,0.2,38,0.7,174,3.22,315,5.83,12,0.22,105,1.94,3,0.06,32,0.59,12,0.22,7,0.13,-,-,14,0.93,-,-,-,-,-,-,-,-,1,0.11
Saitama,7,0.03,58,0.36,177,1.09,744,4.56,1390,8.53,106,0.65,54,0.33,37,0.23,98,0.6,37,0.23,22,0.13,2,0.05,54,1.32,-,-,-,-,1,0.09,-,-,-,-
Chiba,27,0.13,26,0.19,139,1.04,426,3.18,728,5.43,66,0.49,36,0.27,27,0.2,60,0.45,51,0.38,18,0.13,-,-,23,0.66,-,-,-,-,1,0.11,-,-,-,-
Tokyo,29,0.07,62,0.24,207,0.79,876,3.34,1742,6.65,113,0.43,90,0.34,170,0.65,180,0.69,118,0.45,46,0.18,-,-,25,0.66,1,0.04,2,0.08,1,0.04,1,0.04,2,0.08
Kanagawa,8,0.02,53,0.25,166,0.77,615,2.86,1277,5.94,105,0.49,60,0.28,244,1.13,142,0.66,31,0.14,29,0.13,1,0.02,147,2.83,-,-,-,-,-,-,-,-,-,-
Niigata,4,0.04,58,1.02,100,1.75,244,4.28,436,7.65,38,0.67,18,0.32,18,0.32,36,0.63,193,3.39,20,0.35,1,0.1,9,0.9,-,-,-,-,3,0.23,-,-,1,0.08
Toyama,3,0.06,7,0.24,24,0.83,47,1.62,180,6.21,7,0.24,3,0.1,6,0.21,15,0.52,-,-,3,0.1,-,-,2,0.29,-,-,-,-,-,-,1,0.2,-,-
Ishikawa,3,0.06,4,0.14,29,1,100,3.45,186,6.41,7,0.24,9,0.31,3,0.1,17,0.59,2,0.07,2,0.07,-,-,3,0.43,-,-,-,-,3,0.6,-,-,-,-
Fukui,2,0.06,4,0.18,28,1.27,81,3.68,141,6.41,7,0.32,3,0.14,-,-,6,0.27,7,0.32,5,0.23,-,-,-,-,1,0.17,-,-,1,0.17,1,0.17,1,0.17
Yamanashi,-,-,-,-,23,0.96,35,1.46,137,5.71,3,0.13,12,0.5,5,0.21,7,0.29,3,0.13,4,0.17,-,-,24,2.67,-,-,-,-,1,0.1,-,-,1,0.1
Nagano,1,0.01,5,0.09,23,0.43,223,4.13,356,6.59,8,0.15,14,0.26,1,0.02,17,0.31,16,0.3,8,0.15,-,-,4,0.36,1,0.09,-,-,-,-,-,-,-,-
Gifu,1,0.01,8,0.15,36,0.68,76,1.43,220,4.15,14,0.26,7,0.13,2,0.04,26,0.49,13,0.25,7,0.13,-,-,3,0.27,-,-,-,-,1,0.2,-,-,-,-
