"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24th week, 2018",,,,,,"Data collected as of June 20, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1757588,355.43,28193,8.93,31818,10.08,188331,59.66,412263,130.59,25055,7.94,27048,8.57,8542,2.71,32308,10.23,4932,1.56,11586,3.67,330,0.47,12520,17.96,224,0.47,263,0.55,1815,3.79,84,0.18,2902,6.06
Hokkaido,74609,336.08,2969,21.36,1896,13.64,14082,101.31,8171,58.78,1092,7.86,438,3.15,50,0.36,774,5.57,26,0.19,274,1.97,10,0.36,329,11.75,4,0.17,10,0.43,97,4.22,-,-,163,7.09
Aomori,22965,353.31,189,4.5,252,6,1749,41.64,5195,123.69,243,5.79,408,9.71,23,0.55,388,9.24,27,0.64,489,11.64,2,0.18,119,10.82,4,0.67,2,0.33,75,12.5,-,-,111,18.5
Iwate,26196,403.02,314,7.85,394,9.85,3432,85.8,3915,97.88,237,5.93,219,5.48,310,7.75,350,8.75,19,0.48,347,8.68,-,-,215,15.36,5,0.26,2,0.11,75,3.95,5,0.26,48,2.53
Miyagi,33970,357.58,782,13.25,497,8.42,4596,77.9,6780,114.92,566,9.59,313,5.31,155,2.63,663,11.24,58,0.98,93,1.58,5,0.42,81,6.75,2,0.17,-,-,80,6.67,1,0.08,30,2.5
Akita,19912,375.7,191,5.62,224,6.59,1040,30.59,2736,80.47,146,4.29,38,1.12,12,0.35,183,5.38,16,0.47,146,4.29,2,0.29,40,5.71,2,0.25,-,-,205,25.63,3,0.38,56,7
Yamagata,16171,344.06,326,11.24,468,16.14,2841,97.97,4258,146.83,344,11.86,328,11.31,193,6.66,359,12.38,130,4.48,70,2.41,-,-,49,7,5,0.5,3,0.3,62,6.2,-,-,20,2
Fukushima,31147,394.27,851,18.11,589,12.53,2822,60.04,3976,84.6,388,8.26,244,5.19,135,2.87,634,13.49,25,0.53,258,5.49,2,0.17,432,36,2,0.33,3,0.5,31,5.17,1,0.17,26,4.33
Ibaraki,41313,344.28,370,4.93,774,10.32,4742,63.23,7464,99.52,491,6.55,129,1.72,74,0.99,476,6.35,36,0.48,134,1.79,5,0.29,530,31.18,1,0.08,2,0.15,113,8.69,-,-,19,1.46
Tochigi,21441,282.12,274,5.71,226,4.71,1914,39.88,3491,72.73,358,7.46,107,2.23,356,7.42,485,10.1,24,0.5,73,1.52,-,-,198,16.5,3,0.43,3,0.43,40,5.71,-,-,23,3.29
Gunma,29603,340.26,272,5.04,620,11.48,3775,69.91,6808,126.07,388,7.19,596,11.04,65,1.2,602,11.15,77,1.43,306,5.67,3,0.21,443,31.64,2,0.22,4,0.44,39,4.33,-,-,46,5.11
Saitama,97602,381.26,1239,7.65,1712,10.57,13530,83.52,23813,146.99,2219,13.7,427,2.64,486,3,1875,11.57,128,0.79,383,2.36,33,0.83,711,17.78,4,0.4,22,2.2,24,2.4,3,0.3,40,4
Chiba,80063,377.66,591,4.44,1337,10.05,8903,66.94,13981,105.12,1239,9.32,245,1.84,378,2.84,1232,9.26,205,1.54,339,2.55,13,0.38,472,13.88,9,1,11,1.22,26,2.89,4,0.44,34,3.78
Tokyo,125900,304.11,1560,5.98,2042,7.82,16469,63.1,35693,136.75,2043,7.83,639,2.45,1701,6.52,3149,12.07,309,1.18,539,2.07,7,0.19,403,10.89,12,0.48,15,0.6,39,1.56,22,0.88,103,4.12
Kanagawa,120397,348.98,990,4.6,1491,6.93,11643,54.15,23750,110.47,2119,9.86,505,2.35,2379,11.07,2390,11.12,148,0.69,685,3.19,14,0.27,2356,46.2,5,0.45,11,1,24,2.18,-,-,47,4.27
Niigata,34820,386.89,963,16.89,1354,23.75,5462,95.82,5919,103.84,495,8.68,225,3.95,219,3.84,601,10.54,313,5.49,400,7.02,25,2.5,469,46.9,1,0.08,3,0.23,38,2.92,4,0.31,16,1.23
Toyama,15309,318.94,339,11.69,636,21.93,1241,42.79,3792,130.76,219,7.55,135,4.66,124,4.28,264,9.1,6,0.21,38,1.31,13,1.86,21,3,3,0.6,-,-,16,3.2,2,0.4,13,2.6
