"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26th week, 2018",,,,,,"Data collected as of July 4, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,422,0.09,1247,0.39,2413,0.76,8329,2.64,18093,5.73,1153,0.36,5053,1.6,1254,0.4,1783,0.56,3161,1,642,0.2,17,0.02,666,0.95,14,0.03,18,0.04,111,0.23,4,0.01,20,0.04
Hokkaido,6,0.03,84,0.6,179,1.27,571,4.05,503,3.57,57,0.4,127,0.9,1,0.01,40,0.28,6,0.04,13,0.09,1,0.03,26,0.9,-,-,1,0.04,14,0.61,-,-,3,0.13
Aomori,1,0.02,13,0.31,7,0.17,55,1.31,244,5.81,11,0.26,43,1.02,1,0.02,16,0.38,7,0.17,27,0.64,-,-,8,0.73,-,-,-,-,7,1.17,-,-,-,-
Iwate,-,-,13,0.33,36,0.9,134,3.35,213,5.33,5,0.13,17,0.43,37,0.93,21,0.53,2,0.05,2,0.05,-,-,14,1,-,-,-,-,3,0.16,-,-,2,0.11
Miyagi,16,0.17,48,0.81,53,0.9,186,3.15,357,6.05,37,0.63,65,1.1,23,0.39,43,0.73,22,0.37,5,0.08,-,-,1,0.08,-,-,-,-,4,0.33,-,-,-,-
Akita,-,-,3,0.09,19,0.54,28,0.8,109,3.11,10,0.29,1,0.03,1,0.03,15,0.43,3,0.09,5,0.14,-,-,3,0.43,1,0.13,-,-,14,1.75,-,-,5,0.63
Yamagata,-,-,9,0.3,30,1,126,4.2,158,5.27,17,0.57,44,1.47,26,0.87,20,0.67,40,1.33,3,0.1,-,-,5,0.63,1,0.1,-,-,3,0.3,-,-,-,-
Fukushima,53,0.64,51,1.02,63,1.26,128,2.56,278,5.56,18,0.36,9,0.18,9,0.18,27,0.54,10,0.2,13,0.26,-,-,24,1.85,-,-,-,-,2,0.29,-,-,2,0.29
Ibaraki,34,0.28,9,0.12,56,0.75,177,2.36,376,5.01,18,0.24,16,0.21,7,0.09,33,0.44,61,0.81,4,0.05,1,0.06,19,1.12,-,-,-,-,3,0.23,-,-,-,-
