"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28th week, 2018",,,,,,"Data collected as of July 18, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1759237,355.83,34249,10.85,40886,12.95,220120,69.72,480272,152.13,29516,9.35,47930,15.18,13024,4.13,39266,12.44,22378,7.09,14099,4.47,392,0.56,15139,21.72,270,0.56,341,0.71,2178,4.54,95,0.2,2969,6.19
Hokkaido,74642,336.23,3302,23.76,2492,17.93,16186,116.45,10138,72.94,1274,9.17,1052,7.57,67,0.48,937,6.74,85,0.61,326,2.35,17,0.61,426,15.21,4,0.17,11,0.48,134,5.83,-,-,174,7.57
Aomori,22967,353.34,257,6.12,297,7.07,1956,46.57,6125,145.83,281,6.69,582,13.86,30,0.71,457,10.88,68,1.62,607,14.45,2,0.18,145,13.18,4,0.67,2,0.33,100,16.67,-,-,112,18.67
Iwate,26196,403.02,398,9.95,516,12.9,3925,98.13,4653,116.33,257,6.43,324,8.1,460,11.5,450,11.25,36,0.9,367,9.18,-,-,261,18.64,5,0.26,2,0.11,87,4.58,5,0.26,54,2.84
Miyagi,34003,357.93,982,16.64,669,11.34,5287,89.61,8211,139.17,677,11.47,610,10.34,264,4.47,821,13.92,271,4.59,123,2.08,5,0.42,97,8.08,2,0.17,-,-,92,7.67,1,0.08,32,2.67
Akita,19913,375.72,222,6.53,305,8.97,1156,34,3132,92.12,177,5.21,46,1.35,16,0.47,233,6.85,56,1.65,160,4.71,5,0.71,52,7.43,4,0.5,-,-,246,30.75,3,0.38,67,8.38
Yamagata,16171,344.06,353,12.17,594,20.48,3200,110.34,4886,168.48,405,13.97,603,20.79,283,9.76,451,15.55,460,15.86,84,2.9,-,-,62,8.86,7,0.7,4,0.4,71,7.1,-,-,20,2
Fukushima,31305,391.31,1090,22.71,799,16.65,3266,68.04,4932,102.75,468,9.75,292,6.08,155,3.23,767,15.98,192,4,304,6.33,3,0.25,516,43,3,0.5,3,0.5,38,6.33,1,0.17,28,4.67
Ibaraki,41431,345.26,404,5.39,1033,13.77,5459,72.79,8988,119.84,565,7.53,228,3.04,107,1.43,591,7.88,394,5.25,161,2.15,6,0.35,609,35.82,1,0.08,2,0.15,123,9.46,-,-,19,1.46
Tochigi,21458,282.34,343,7.15,296,6.17,2306,48.04,3910,81.46,426,8.88,178,3.71,474,9.88,596,12.42,268,5.58,98,2.04,-,-,211,17.58,5,0.71,6,0.86,47,6.71,1,0.14,23,3.29
Gunma,29604,340.28,316,5.85,748,13.85,4321,80.02,8053,149.13,432,8,1377,25.5,91,1.69,719,13.31,307,5.69,340,6.3,5,0.36,482,34.43,2,0.22,7,0.78,41,4.56,-,-,49,5.44
Saitama,97628,381.36,1471,9.08,2436,15.04,16093,99.34,28503,175.94,2610,16.11,1087,6.71,760,4.69,2294,14.16,1161,7.17,513,3.17,44,1.1,950,23.75,4,0.4,27,2.7,29,2.9,3,0.3,40,4
Chiba,80119,377.92,769,5.78,1971,14.82,10525,79.14,16452,123.7,1500,11.28,728,5.47,618,4.65,1516,11.4,1182,8.89,451,3.39,19,0.56,579,17.03,10,1.11,13,1.44,31,3.44,4,0.44,36,4
Tokyo,125998,304.34,1979,7.58,2763,10.59,19390,74.29,42017,160.98,2409,9.23,1521,5.83,2876,11.02,3856,14.77,2121,8.13,697,2.67,8,0.22,492,13.3,15,0.6,15,0.6,54,2.16,26,1.04,105,4.2
Kanagawa,120443,350.13,1338,6.22,2025,9.42,13762,64.01,27997,130.22,2574,11.97,1064,4.95,3673,17.08,2915,13.56,903,4.2,853,3.97,18,0.35,2812,55.14,6,0.55,16,1.45,38,3.45,-,-,49,4.45
Niigata,34821,386.9,1240,21.75,1762,30.91,6228,109.26,7021,123.18,565,9.91,393,6.89,314,5.51,717,12.58,1969,34.54,449,7.88,29,2.9,522,52.2,5,0.38,4,0.31,49,3.77,5,0.38,16,1.23
Toyama,15324,319.25,373,12.86,718,24.76,1420,48.97,4443,153.21,236,8.14,151,5.21,153,5.28,323,11.14,35,1.21,48,1.66,13,1.86,23,3.29,5,1,-,-,20,4,3,0.6,16,3.2
Ishikawa,15303,318.81,288,9.93,591,20.38,3288,113.38,4305,148.45,329,11.34,145,5,142,4.9,359,12.38,48,1.66,71,2.45,-,-,55,7.86,2,0.4,5,1,80,16,-,-,10,2
Fukui,11678,353.88,216,9.82,365,16.59,2416,109.82,3741,170.05,149,6.77,228,10.36,25,1.14,243,11.05,68,3.09,123,5.59,-,-,8,2.67,11,1.83,2,0.33,8,1.33,5,0.83,84,14
Yamanashi,15067,367.49,75,3.13,219,9.13,1350,56.25,3022,125.92,135,5.63,197,8.21,51,2.13,201,8.38,79,3.29,70,2.92,7,0.78,223,24.78,4,0.4,4,0.4,32,3.2,3,0.3,25,2.5
Nagano,33324,387.49,308,5.81,323,6.09,4196,79.17,7908,149.21,400,7.55,220,4.15,98,1.85,441,8.32,424,8,238,4.49,15,1.5,102,10.2,6,0.55,-,-,56,5.09,1,0.09,82,7.45
Gifu,25709,298.94,282,5.42,469,9.02,1681,32.33,5973,114.87,198,3.81,130,2.5,24,0.46,429,8.25,136,2.62,199,3.83,2,0.18,64,5.82,1,0.2,1,0.2,24,4.8,-,-,95,19
