"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2018",,,,,,"Data collected as of August 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,266,0.05,3057,0.97,1737,0.55,4958,1.57,12695,4.03,797,0.25,5678,1.8,776,0.25,1525,0.48,9733,3.09,563,0.18,12,0.02,658,0.95,12,0.03,18,0.04,110,0.23,2,0,4,0.01
Hokkaido,1,0,77,0.55,124,0.89,337,2.41,308,2.2,34,0.24,527,3.76,6,0.04,49,0.35,131,0.94,10,0.07,-,-,17,0.61,-,-,1,0.04,6,0.26,-,-,-,-
Aomori,-,-,17,0.4,15,0.36,46,1.1,130,3.1,4,0.1,121,2.88,1,0.02,16,0.38,37,0.88,22,0.52,-,-,1,0.09,1,0.17,1,0.17,15,2.5,-,-,-,-
Iwate,1,0.02,65,1.63,12,0.3,78,1.95,96,2.4,3,0.08,40,1,30,0.75,20,0.5,38,0.95,7,0.18,-,-,4,0.29,1,0.05,-,-,5,0.26,-,-,-,-
Miyagi,-,-,69,1.17,23,0.39,113,1.92,259,4.39,27,0.46,124,2.1,31,0.53,39,0.66,358,6.07,6,0.1,-,-,2,0.17,1,0.08,-,-,4,0.33,-,-,-,-
Akita,-,-,24,0.69,24,0.69,21,0.6,60,1.71,5,0.14,4,0.11,1,0.03,9,0.26,100,2.86,3,0.09,-,-,3,0.43,-,-,-,-,12,1.5,-,-,-,-
Yamagata,-,-,5,0.17,18,0.6,41,1.37,93,3.1,13,0.43,95,3.17,4,0.13,26,0.87,252,8.4,3,0.1,-,-,4,0.5,-,-,-,-,-,-,-,-,-,-
Fukushima,13,0.16,79,1.58,33,0.66,72,1.44,102,2.04,12,0.24,27,0.54,-,-,32,0.64,205,4.1,8,0.16,-,-,17,1.31,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,7,0.06,25,0.33,50,0.67,125,1.67,256,3.41,19,0.25,25,0.33,3,0.04,18,0.24,210,2.8,9,0.12,-,-,31,1.82,-,-,1,0.08,2,0.15,-,-,-,-
Tochigi,6,0.08,28,0.58,4,0.08,50,1.04,74,1.54,16,0.33,16,0.33,12,0.25,31,0.65,180,3.75,5,0.1,1,0.08,5,0.42,-,-,-,-,2,0.29,-,-,-,-
Gunma,-,-,12,0.22,24,0.44,57,1.06,197,3.65,27,0.5,264,4.89,2,0.04,27,0.5,155,2.87,6,0.11,1,0.07,18,1.2,-,-,-,-,1,0.11,-,-,1,0.11
Saitama,11,0.04,91,0.55,152,0.93,379,2.31,845,5.15,80,0.49,264,1.61,67,0.41,71,0.43,635,3.87,34,0.21,-,-,66,1.61,1,0.09,1,0.09,2,0.18,-,-,-,-
Chiba,3,0.01,136,1.01,157,1.16,265,1.96,396,2.93,22,0.16,165,1.22,36,0.27,59,0.44,484,3.59,17,0.13,-,-,29,0.83,1,0.11,2,0.22,4,0.44,-,-,-,-
Tokyo,8,0.02,245,0.95,128,0.5,456,1.77,1111,4.31,61,0.24,308,1.19,214,0.83,159,0.62,984,3.81,28,0.11,-,-,34,0.89,1,0.04,1,0.04,2,0.08,-,-,-,-
Kanagawa,5,0.01,224,1.06,94,0.45,298,1.41,772,3.66,61,0.29,216,1.02,210,1,106,0.5,671,3.18,50,0.24,1,0.02,98,2,1,0.09,-,-,3,0.27,-,-,-,-
Niigata,-,-,93,1.63,69,1.21,104,1.82,209,3.67,10,0.18,52,0.91,13,0.23,28,0.49,364,6.39,15,0.26,2,0.2,10,1,-,-,-,-,5,0.38,-,-,-,-
Toyama,-,-,5,0.17,15,0.52,32,1.1,163,5.62,1,0.03,1,0.03,3,0.1,14,0.48,24,0.83,2,0.07,-,-,3,0.43,-,-,-,-,1,0.2,-,-,-,-
Ishikawa,-,-,23,0.79,9,0.31,57,1.97,95,3.28,2,0.07,19,0.66,8,0.28,11,0.38,77,2.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fukui,-,-,20,0.91,14,0.64,41,1.86,111,5.05,2,0.09,25,1.14,-,-,9,0.41,37,1.68,5,0.23,-,-,-,-,1,0.17,-,-,1,0.17,1,0.17,-,-
Yamanashi,-,-,3,0.13,8,0.33,19,0.79,65,2.71,3,0.13,36,1.5,12,0.5,7,0.29,140,5.83,2,0.08,1,0.11,15,1.67,-,-,-,-,3,0.3,-,-,-,-
Nagano,-,-,3,0.06,44,0.81,87,1.61,229,4.24,8,0.15,48,0.89,3,0.06,26,0.48,463,8.57,11,0.2,-,-,1,0.09,-,-,1,0.09,3,0.27,-,-,-,-
