"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30th week, 2018",,,,,,"Data collected as of August 1, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1759756,356.01,39702,12.58,44362,14.06,230017,72.88,504951,160,31193,9.88,59556,18.87,14625,4.63,42275,13.4,39954,12.66,15207,4.82,413,0.59,16358,23.47,290,0.6,387,0.81,2371,4.94,98,0.2,2979,6.21
Hokkaido,74643,336.23,3468,24.95,2738,19.7,16818,120.99,10761,77.42,1370,9.86,1995,14.35,80,0.58,1028,7.4,278,2,346,2.49,17,0.61,464,16.57,4,0.17,12,0.52,144,6.26,-,-,176,7.65
Aomori,22967,353.34,306,7.29,324,7.71,2026,48.24,6367,151.6,294,7,780,18.57,40,0.95,486,11.57,129,3.07,655,15.6,2,0.18,150,13.64,5,0.83,4,0.67,118,19.67,-,-,112,18.67
Iwate,26198,403.05,503,12.58,545,13.63,4094,102.35,4885,122.13,268,6.7,416,10.4,519,12.98,488,12.2,90,2.25,380,9.5,-,-,270,19.29,6,0.32,2,0.11,95,5,5,0.26,55,2.89
Miyagi,34004,357.94,1123,19.03,727,12.32,5521,93.58,8732,148,723,12.25,822,13.93,325,5.51,894,15.15,817,13.85,134,2.27,5,0.42,101,8.42,3,0.25,-,-,97,8.08,1,0.08,32,2.67
Akita,19913,375.72,269,7.91,348,10.24,1193,35.09,3249,95.56,195,5.74,55,1.62,17,0.5,246,7.24,196,5.76,169,4.97,5,0.71,56,8,4,0.5,-,-,272,34,3,0.38,67,8.38
Yamagata,16171,344.06,365,12.59,627,21.62,3300,113.79,5099,175.83,425,14.66,825,28.45,296,10.21,495,17.07,962,33.17,89,3.07,-,-,67,9.57,8,0.8,5,0.5,75,7.5,-,-,20,2
Fukushima,31335,391.69,1253,26.1,886,18.46,3407,70.98,5174,107.79,494,10.29,344,7.17,156,3.25,824,17.17,504,10.5,319,6.65,7,0.58,549,45.75,3,0.5,3,0.5,44,7.33,1,0.17,28,4.67
Ibaraki,41441,345.34,447,5.96,1137,15.16,5695,75.93,9590,127.87,601,8.01,278,3.71,114,1.52,631,8.41,803,10.71,175,2.33,6,0.35,657,38.65,1,0.08,3,0.23,130,10,-,-,19,1.46
Tochigi,21464,282.42,392,8.17,307,6.4,2398,49.96,4049,84.35,455,9.48,214,4.46,506,10.54,652,13.58,573,11.94,111,2.31,1,0.08,217,18.08,5,0.71,6,0.86,50,7.14,1,0.14,23,3.29
Gunma,29604,340.28,337,6.24,795,14.72,4461,82.61,8471,156.87,477,8.83,1948,36.07,95,1.76,778,14.41,559,10.35,354,6.56,6,0.43,511,36.5,2,0.22,7,0.78,42,4.67,-,-,51,5.67
Saitama,97653,381.46,1649,10.18,2742,16.93,16892,104.27,30153,186.13,2748,16.96,1606,9.91,885,5.46,2462,15.2,2333,14.4,569,3.51,44,1.1,1094,27.35,6,0.6,33,3.3,32,3.2,3,0.3,40,4
Chiba,80127,377.96,1007,7.57,2273,17.09,11064,83.19,17241,129.63,1562,11.74,1060,7.97,697,5.24,1623,12.2,2128,16,487,3.66,19,0.56,655,19.26,11,1.22,18,2,35,3.89,4,0.44,36,4
Tokyo,126012,305.11,2403,9.21,3026,11.59,20314,77.83,44196,169.33,2545,9.75,2127,8.15,3289,12.6,4138,15.85,3916,15,774,2.97,9,0.24,552,14.92,17,0.68,19,0.76,56,2.24,26,1.04,106,4.24
Kanagawa,120452,350.15,1681,7.82,2232,10.38,14368,66.83,29545,137.42,2710,12.6,1486,6.91,4107,19.1,3133,14.57,2037,9.47,952,4.43,20,0.39,2999,58.8,8,0.73,16,1.45,42,3.82,-,-,50,4.55
Niigata,34821,386.9,1428,25.05,1888,33.12,6415,112.54,7391,129.67,591,10.37,500,8.77,345,6.05,762,13.37,2711,47.56,472,8.28,31,3.1,547,54.7,6,0.46,4,0.31,56,4.31,6,0.46,16,1.23
Toyama,15329,319.35,383,13.21,752,25.93,1484,51.17,4720,162.76,239,8.24,160,5.52,159,5.48,343,11.83,80,2.76,53,1.83,14,2,26,3.71,5,1,-,-,22,4.4,3,0.6,16,3.2
Ishikawa,15303,318.81,334,11.52,606,20.9,3389,116.86,4536,156.41,340,11.72,186,6.41,158,5.45,382,13.17,165,5.69,73,2.52,-,-,57,8.14,2,0.4,5,1,82,16.4,-,-,10,2
Fukui,11678,353.88,243,11.05,387,17.59,2505,113.86,3929,178.59,158,7.18,274,12.45,25,1.14,268,12.18,125,5.68,136,6.18,-,-,8,2.67,13,2.17,2,0.33,11,1.83,6,1,84,14
Yamanashi,15067,367.49,80,3.33,233,9.71,1390,57.92,3153,131.38,138,5.75,277,11.54,73,3.04,218,9.08,285,11.88,76,3.17,8,0.89,251,27.89,4,0.4,4,0.4,36,3.6,3,0.3,25,2.5
Nagano,33325,387.5,316,5.96,391,7.38,4363,82.32,8333,157.23,416,7.85,315,5.94,111,2.09,490,9.25,1151,21.72,258,4.87,15,1.5,107,10.7,6,0.55,2,0.18,61,5.55,1,0.09,82,7.45
Gifu,25711,298.97,326,6.27,516,9.92,1766,33.96,6254,120.27,203,3.9,180,3.46,28,0.54,461,8.87,347,6.67,207,3.98,2,0.18,71,6.45,1,0.2,1,0.2,24,4.8,-,-,95,19
Shizuoka,50208,363.83,737,8.28,849,9.54,4878,54.81,12929,145.27,528,5.93,840,9.44,384,4.31,938,10.54,2833,31.83,763,8.57,7,0.32,353,16.05,5,0.56,20,2.22,27,3,4,0.44,17,1.89
Aichi,79560,408,1352,7.43,1486,8.16,10066,55.31,25063,137.71,1570,8.63,1295,7.12,289,1.59,1928,10.59,2463,13.53,674,3.7,3,0.09,523,14.94,6,0.4,11,0.73,78,5.2,2,0.13,142,9.47
Mie,26696,376,669,15.2,741,16.84,3140,71.36,7357,167.2,331,7.52,333,7.57,44,1,636,14.45,921,20.93,161,3.66,4,0.33,38,3.17,5,0.56,11,1.22,26,2.89,2,0.22,15,1.67
Shiga,17544,337.38,161,5.19,332,10.71,1239,39.97,4102,132.32,349,11.26,633,20.42,52,1.68,327,10.55,518,16.71,230,7.42,1,0.13,94,11.75,3,0.43,8,1.14,7,1,-,-,11,1.57
Kyoto,39709,317.67,422,5.55,673,8.86,3458,45.5,11472,150.95,455,5.99,976,12.84,96,1.26,729,9.59,754,9.92,172,2.26,3,0.18,183,10.76,4,0.57,2,0.29,27,3.86,-,-,52,7.43
