"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2018",,,,,,"Data collected as of August 8, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,262,0.05,4180,1.33,1594,0.51,4532,1.44,12145,3.86,721,0.23,5389,1.71,919,0.29,1497,0.48,9809,3.12,492,0.16,9,0.01,756,1.09,7,0.01,32,0.07,115,0.24,1,0,4,0.01
Hokkaido,2,0.01,71,0.5,96,0.68,271,1.92,229,1.62,40,0.28,724,5.13,11,0.08,53,0.38,218,1.55,10,0.07,1,0.04,19,0.68,1,0.04,1,0.04,8,0.35,-,-,-,-
Aomori,-,-,26,0.62,4,0.1,43,1.02,128,3.05,9,0.21,130,3.1,3,0.07,12,0.29,79,1.88,24,0.57,-,-,1,0.09,-,-,1,0.17,4,0.67,-,-,-,-
Iwate,-,-,68,1.7,21,0.53,72,1.8,114,2.85,8,0.2,46,1.15,32,0.8,17,0.43,61,1.53,5,0.13,-,-,13,0.93,-,-,-,-,2,0.11,-,-,1,0.05
Miyagi,-,-,108,1.83,15,0.25,74,1.25,214,3.63,18,0.31,122,2.07,41,0.69,33,0.56,419,7.1,8,0.14,-,-,3,0.25,-,-,1,0.08,2,0.17,-,-,-,-
Akita,-,-,32,0.91,19,0.54,19,0.54,45,1.29,9,0.26,17,0.49,5,0.14,16,0.46,110,3.14,3,0.09,-,-,1,0.14,-,-,-,-,15,1.88,-,-,-,-
Yamagata,-,-,21,0.7,18,0.6,40,1.33,119,3.97,2,0.07,76,2.53,7,0.23,23,0.77,340,11.33,4,0.13,-,-,6,0.75,-,-,1,0.1,4,0.4,-,-,-,-
Fukushima,5,0.06,56,1.12,24,0.48,55,1.1,127,2.54,13,0.26,21,0.42,1,0.02,24,0.48,204,4.08,15,0.3,-,-,23,1.77,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,9,0.08,47,0.63,46,0.61,104,1.39,241,3.21,21,0.28,18,0.24,11,0.15,20,0.27,244,3.25,5,0.07,-,-,21,1.24,-,-,1,0.08,6,0.46,-,-,-,-
