"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31st week, 2018",,,,,,"Data collected as of August 8, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1760018,356.13,43885,13.91,45954,14.56,234551,74.32,517115,163.85,31904,10.11,64957,20.58,15539,4.92,43774,13.87,49763,15.77,15699,4.97,422,0.61,17114,24.55,297,0.62,421,0.88,2492,5.19,99,0.21,2984,6.22
Hokkaido,74645,336.24,3539,25.46,2834,20.39,17089,122.94,10990,79.06,1410,10.14,2719,19.56,91,0.65,1081,7.78,496,3.57,356,2.56,18,0.64,483,17.25,5,0.22,13,0.57,152,6.61,-,-,176,7.65
Aomori,22967,353.34,332,7.9,328,7.81,2069,49.26,6495,154.64,303,7.21,910,21.67,43,1.02,498,11.86,208,4.95,679,16.17,2,0.18,151,13.73,5,0.83,5,0.83,122,20.33,-,-,112,18.67
Iwate,26198,403.05,571,14.28,566,14.15,4166,104.15,4999,124.98,276,6.9,462,11.55,551,13.78,505,12.63,151,3.78,385,9.63,-,-,283,20.21,6,0.32,2,0.11,97,5.11,5,0.26,56,2.95
Miyagi,34004,357.94,1231,20.86,742,12.58,5595,94.83,8946,151.63,741,12.56,944,16,366,6.2,927,15.71,1236,20.95,142,2.41,5,0.42,104,8.67,3,0.25,1,0.08,99,8.25,1,0.08,32,2.67
Akita,19913,375.72,301,8.85,367,10.79,1212,35.65,3294,96.88,204,6,72,2.12,22,0.65,262,7.71,306,9,172,5.06,5,0.71,57,8.14,4,0.5,-,-,287,35.88,3,0.38,67,8.38
Yamagata,16171,344.06,386,13.31,645,22.24,3340,115.17,5218,179.93,427,14.72,901,31.07,303,10.45,518,17.86,1302,44.9,93,3.21,-,-,73,10.43,8,0.8,6,0.6,79,7.9,-,-,20,2
Fukushima,31340,391.75,1309,27.27,910,18.96,3462,72.13,5301,110.44,507,10.56,365,7.6,157,3.27,848,17.67,708,14.75,334,6.96,7,0.58,572,47.67,3,0.5,3,0.5,45,7.5,1,0.17,28,4.67
Ibaraki,41450,345.42,494,6.59,1183,15.77,5799,77.32,9855,131.4,622,8.29,296,3.95,125,1.67,653,8.71,1050,14,180,2.4,6,0.35,678,39.88,1,0.08,4,0.31,136,10.46,-,-,19,1.46
Tochigi,21467,282.46,429,8.94,320,6.67,2444,50.92,4119,85.81,465,9.69,221,4.6,519,10.81,670,13.96,728,15.17,114,2.38,1,0.08,221,18.42,5,0.71,7,1,53,7.57,1,0.14,23,3.29
