"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2018",,,,,,"Data collected as of August 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,191,0.04,4090,1.37,1180,0.39,3292,1.1,9119,3.05,591,0.2,4096,1.37,663,0.22,1174,0.39,7020,2.35,354,0.12,3,0,515,0.81,10,0.02,21,0.04,108,0.23,1,0,2,0
Hokkaido,-,-,49,0.36,51,0.37,201,1.46,182,1.32,35,0.25,580,4.2,7,0.05,43,0.31,203,1.47,5,0.04,1,0.04,10,0.36,-,-,-,-,5,0.22,-,-,-,-
Aomori,-,-,33,0.85,4,0.1,27,0.69,60,1.54,6,0.15,90,2.31,2,0.05,13,0.33,42,1.08,8,0.21,-,-,1,0.09,-,-,-,-,10,1.67,-,-,-,-
Iwate,-,-,70,1.75,15,0.38,64,1.6,126,3.15,8,0.2,56,1.4,21,0.53,14,0.35,82,2.05,5,0.13,-,-,5,0.36,-,-,-,-,6,0.32,-,-,-,-
Miyagi,2,0.02,90,1.53,21,0.36,66,1.12,195,3.31,20,0.34,85,1.44,30,0.51,22,0.37,340,5.76,1,0.02,-,-,5,0.42,-,-,-,-,3,0.25,-,-,-,-
Akita,1,0.02,22,0.65,12,0.35,16,0.47,44,1.29,3,0.09,13,0.38,1,0.03,7,0.21,67,1.97,4,0.12,-,-,3,0.43,2,0.25,-,-,10,1.25,-,-,-,-
Yamagata,-,-,11,0.42,13,0.5,29,1.12,101,3.88,4,0.15,57,2.19,1,0.04,25,0.96,246,9.46,2,0.08,-,-,2,0.4,-,-,-,-,5,0.5,-,-,-,-
Fukushima,1,0.01,66,1.32,20,0.4,77,1.54,91,1.82,9,0.18,12,0.24,1,0.02,26,0.52,253,5.06,1,0.02,-,-,25,1.92,-,-,-,-,-,-,-,-,-,-
Ibaraki,2,0.02,48,0.64,22,0.29,67,0.89,175,2.33,17,0.23,35,0.47,4,0.05,18,0.24,179,2.39,3,0.04,-,-,13,0.76,-,-,1,0.08,6,0.46,-,-,-,-
Tochigi,-,-,53,1.1,4,0.08,28,0.58,67,1.4,12,0.25,5,0.1,9,0.19,23,0.48,125,2.6,2,0.04,-,-,8,0.67,-,-,-,-,3,0.43,-,-,-,-
Gunma,-,-,27,0.52,29,0.56,68,1.31,207,3.98,5,0.1,154,2.96,8,0.15,27,0.52,262,5.04,8,0.15,-,-,7,0.54,-,-,-,-,2,0.22,-,-,-,-
Saitama,1,0,133,0.98,72,0.53,217,1.6,585,4.3,50,0.37,203,1.49,52,0.38,51,0.38,384,2.82,19,0.14,-,-,33,1.14,-,-,2,0.18,2,0.18,-,-,-,-
Chiba,1,0.01,154,1.27,89,0.74,151,1.25,275,2.27,28,0.23,133,1.1,27,0.22,56,0.46,251,2.07,9,0.07,-,-,23,0.77,2,0.22,1,0.11,2,0.22,-,-,-,-
Tokyo,9,0.03,379,1.66,54,0.24,282,1.23,778,3.4,38,0.17,263,1.15,178,0.78,100,0.44,589,2.57,20,0.09,-,-,37,1.12,-,-,-,-,2,0.08,1,0.04,-,-
Kanagawa,14,0.05,253,1.43,60,0.34,220,1.24,561,3.17,52,0.29,177,1,193,1.09,74,0.42,476,2.69,19,0.11,-,-,79,2.08,-,-,-,-,-,-,-,-,-,-
Niigata,-,-,134,2.35,50,0.88,84,1.47,172,3.02,10,0.18,34,0.6,7,0.12,24,0.42,182,3.19,13,0.23,-,-,4,0.4,-,-,-,-,3,0.23,-,-,-,-
Toyama,-,-,12,0.41,10,0.34,18,0.62,109,3.76,2,0.07,3,0.1,-,-,16,0.55,42,1.45,3,0.1,-,-,4,0.57,-,-,1,0.2,-,-,-,-,-,-
Ishikawa,-,-,31,1.07,7,0.24,40,1.38,104,3.59,9,0.31,15,0.52,7,0.24,10,0.34,75,2.59,2,0.07,-,-,-,-,-,-,1,0.2,4,0.8,-,-,-,-
Fukui,1,0.03,43,1.95,6,0.27,38,1.73,98,4.45,3,0.14,40,1.82,-,-,13,0.59,35,1.59,11,0.5,-,-,1,0.33,1,0.17,-,-,1,0.17,-,-,-,-
Yamanashi,-,-,1,0.04,-,-,9,0.38,25,1.04,2,0.08,35,1.46,6,0.25,11,0.46,92,3.83,-,-,1,0.11,3,0.33,1,0.1,2,0.2,2,0.2,-,-,-,-
Nagano,-,-,12,0.25,39,0.81,54,1.13,144,3,4,0.08,33,0.69,4,0.08,25,0.52,421,8.77,7,0.15,-,-,1,0.09,1,0.09,-,-,3,0.27,-,-,1,0.09
Gifu,1,0.01,39,0.81,27,0.56,18,0.38,95,1.98,3,0.06,29,0.6,2,0.04,8,0.17,115,2.4,4,0.08,-,-,1,0.1,-,-,1,0.2,-,-,-,-,-,-
Shizuoka,4,0.03,101,1.13,44,0.49,66,0.74,214,2.4,8,0.09,65,0.73,15,0.17,25,0.28,306,3.44,16,0.18,-,-,8,0.36,-,-,-,-,1,0.1,-,-,-,-
Aichi,5,0.03,206,1.13,36,0.2,130,0.71,358,1.97,34,0.19,96,0.53,13,0.07,57,0.31,445,2.45,15,0.08,-,-,32,0.91,-,-,1,0.07,2,0.13,-,-,1,0.07
