"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32nd week, 2018",,,,,,"Data collected as of August 15, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1760209,356.82,47980,15.23,47134,14.96,237848,75.48,526245,167.01,32495,10.31,69062,21.92,16204,5.14,44950,14.27,56835,18.04,16053,5.09,425,0.61,17638,25.38,307,0.64,441,0.92,2601,5.42,100,0.21,2986,6.22
Hokkaido,74645,336.24,3588,25.81,2885,20.76,17290,124.39,11172,80.37,1445,10.4,3299,23.73,98,0.71,1124,8.09,699,5.03,361,2.6,19,0.68,499,17.82,5,0.22,13,0.57,157,6.83,-,-,176,7.65
Aomori,22967,358.86,365,8.9,332,8.1,2096,51.12,6555,159.88,309,7.54,1000,24.39,45,1.1,511,12.46,250,6.1,687,16.76,2,0.18,152,13.82,5,0.83,5,0.83,132,22,-,-,112,18.67
Iwate,26198,403.05,641,16.03,581,14.53,4230,105.75,5125,128.13,284,7.1,518,12.95,572,14.3,519,12.98,233,5.83,390,9.75,-,-,288,20.57,6,0.32,2,0.11,103,5.42,5,0.26,56,2.95
Miyagi,34006,357.96,1321,22.39,763,12.93,5661,95.95,9141,154.93,761,12.9,1029,17.44,396,6.71,949,16.08,1576,26.71,143,2.42,5,0.42,109,9.08,3,0.25,1,0.08,102,8.5,1,0.08,32,2.67
Akita,19914,375.74,323,9.5,379,11.15,1228,36.12,3338,98.18,207,6.09,85,2.5,23,0.68,269,7.91,373,10.97,176,5.18,5,0.71,60,8.57,6,0.75,-,-,297,37.13,3,0.38,67,8.38
Yamagata,16171,344.06,397,13.69,658,22.69,3369,116.17,5319,183.41,431,14.86,958,33.03,304,10.48,543,18.72,1548,53.38,95,3.28,-,-,75,10.71,8,0.8,6,0.6,84,8.4,-,-,20,2
Fukushima,31341,391.76,1375,28.65,930,19.38,3539,73.73,5392,112.33,516,10.75,377,7.85,158,3.29,874,18.21,961,20.02,335,6.98,7,0.58,597,49.75,3,0.5,3,0.5,45,7.5,1,0.17,28,4.67
Ibaraki,41452,345.43,542,7.23,1205,16.07,5866,78.21,10030,133.73,639,8.52,331,4.41,129,1.72,671,8.95,1230,16.4,183,2.44,6,0.35,691,40.65,1,0.08,5,0.38,142,10.92,-,-,19,1.46
Tochigi,21467,282.46,482,10.04,324,6.75,2472,51.5,4186,87.21,477,9.94,226,4.71,528,11,693,14.44,853,17.77,116,2.42,1,0.08,229,19.08,5,0.71,7,1,56,8,1,0.14,23,3.29
Gunma,29605,340.29,404,7.62,847,15.98,4616,87.09,8878,167.51,495,9.34,2294,43.28,105,1.98,825,15.57,1036,19.55,366,6.91,6,0.43,534,38.14,3,0.33,7,0.78,46,5.11,-,-,53,5.89
Saitama,97659,382.98,1904,11.83,2914,18.1,17429,108.25,31477,195.51,2852,17.71,2049,12.73,999,6.2,2609,16.2,3364,20.89,618,3.84,44,1.1,1255,31.38,6,0.6,40,4,39,3.9,3,0.3,40,4
Chiba,80131,377.98,1305,9.81,2485,18.68,11444,86.05,17928,134.8,1629,12.25,1375,10.34,766,5.76,1738,13.07,2836,21.32,506,3.8,19,0.56,700,20.59,13,1.44,22,2.44,40,4.44,4,0.44,37,4.11
Tokyo,126031,306.64,3154,12.18,3176,12.26,21000,81.08,45980,177.53,2636,10.18,2688,10.38,3729,14.4,4377,16.9,5407,20.88,815,3.15,9,0.24,624,16.86,19,0.76,19,0.76,61,2.44,28,1.12,106,4.24
Kanagawa,120479,352.28,2232,10.43,2402,11.22,14859,69.43,30794,143.9,2809,13.13,1909,8.92,4554,21.28,3321,15.52,3226,15.07,1014,4.74,22,0.44,3191,63.82,8,0.73,18,1.64,49,4.45,-,-,50,4.55
Niigata,34821,386.9,1709,29.98,2009,35.25,6588,115.58,7787,136.61,606,10.63,578,10.14,371,6.51,816,14.32,3224,56.56,497,8.72,32,3.2,559,55.9,6,0.46,5,0.38,63,4.85,6,0.46,16,1.23
Toyama,15329,319.35,401,13.83,776,26.76,1524,52.55,4966,171.24,246,8.48,169,5.83,162,5.59,379,13.07,152,5.24,60,2.07,14,2,32,4.57,5,1,1,0.2,22,4.4,3,0.6,16,3.2
Ishikawa,15303,318.81,381,13.14,623,21.48,3475,119.83,4776,164.69,353,12.17,210,7.24,171,5.9,398,13.72,346,11.93,77,2.66,-,-,58,8.29,2,0.4,6,1.2,86,17.2,-,-,10,2
Fukui,11679,353.91,315,14.32,402,18.27,2581,117.32,4150,188.64,164,7.45,344,15.64,25,1.14,295,13.41,188,8.55,158,7.18,-,-,9,3,15,2.5,2,0.33,12,2,6,1,84,14
Yamanashi,15067,367.49,85,3.54,236,9.83,1414,58.92,3246,135.25,143,5.96,346,14.42,83,3.46,240,10,491,20.46,78,3.25,9,1,262,29.11,5,0.5,7,0.7,40,4,3,0.3,26,2.6
Nagano,33325,387.5,336,6.34,467,8.81,4505,85,8693,164.02,423,7.98,386,7.28,118,2.23,536,10.11,2106,39.74,277,5.23,15,1.5,112,11.2,8,0.73,2,0.18,65,5.91,1,0.09,83,7.55
Gifu,25712,298.98,407,7.83,567,10.9,1814,34.88,6478,124.58,207,3.98,231,4.44,31,0.6,485,9.33,592,11.38,213,4.1,2,0.2,74,7.4,1,0.2,3,0.6,26,5.2,-,-,95,19
Shizuoka,50218,363.9,931,10.46,933,10.48,5029,56.51,13479,151.45,551,6.19,1000,11.24,412,4.63,999,11.22,3620,40.67,793,8.91,7,0.32,372,16.91,5,0.56,22,2.44,31,3.44,4,0.44,17,1.89
Aichi,79589,408.15,1769,9.72,1571,8.63,10392,57.1,25978,142.74,1640,9.01,1556,8.55,326,1.79,2040,11.21,3535,19.42,709,3.9,4,0.11,585,16.71,6,0.4,12,0.8,85,5.67,2,0.13,143,9.53
Mie,26708,376.17,855,19.43,791,17.98,3235,73.52,7669,174.3,348,7.91,401,9.11,49,1.11,681,15.48,1239,28.16,167,3.8,5,0.42,40,3.33,5,0.56,13,1.44,27,3,2,0.22,15,1.67
Shiga,17544,337.38,178,5.74,350,11.29,1267,40.87,4354,140.45,363,11.71,754,24.32,52,1.68,345,11.13,744,24,251,8.1,1,0.13,101,12.63,3,0.43,8,1.14,10,1.43,-,-,11,1.57
Kyoto,39710,317.68,535,7.04,714,9.39,3603,47.41,11879,156.3,492,6.47,1199,15.78,96,1.26,796,10.47,966,12.71,181,2.38,3,0.18,195,11.47,4,0.57,2,0.29,29,4.14,-,-,52,7.43
Osaka,88635,291.56,4015,20.28,2968,14.99,13577,68.57,36000,181.82,2296,11.6,2120,10.71,589,2.97,2913,14.71,2652,13.39,834,4.21,28,0.55,649,12.73,13,0.76,15,0.88,72,4.24,2,0.12,178,10.47
Hyogo,65055,328.56,1641,12.82,1833,14.32,5854,45.73,24856,194.19,1322,10.33,1258,9.83,136,1.06,1536,12,1573,12.29,441,3.45,30,0.88,626,18.41,21,1.62,21,1.62,51,3.92,2,0.15,107,8.23
Nara,15652,289.85,327,9.62,411,12.09,2041,60.03,5824,171.29,309,9.09,439,12.91,185,5.44,443,13.03,625,18.38,76,2.24,1,0.1,122,12.2,11,1.83,6,1,25,4.17,-,-,54,9
Wakayama,14524,302.58,408,14.07,372,12.83,988,34.07,3188,109.93,257,8.86,137,4.72,66,2.28,393,13.55,489,16.86,114,3.93,56,18.67,27,9,4,0.36,7,0.64,36,3.27,4,0.36,50,4.55
Tottori,10885,375.34,182,9.58,324,17.05,3092,162.74,4675,246.05,113,5.95,96,5.05,19,1,282,14.84,225,11.84,40,2.11,3,0.6,25,5,5,1,13,2.6,12,2.4,1,0.2,52,10.4
Shimane,9995,263.03,302,13.13,204,8.87,1701,73.96,4426,192.43,116,5.04,372,16.17,11,0.48,394,17.13,278,12.09,136,5.91,-,-,7,2.33,6,0.75,25,3.13,9,1.13,-,-,46,5.75
Okayama,28312,345.27,318,6.12,446,8.58,2897,55.71,11744,225.85,454,8.73,379,7.29,145,2.79,653,12.56,416,8,168,3.23,15,1.36,227,20.64,3,0.75,-,-,10,2.5,-,-,28,7
Hiroshima,34168,299.72,971,13.68,1202,16.93,4620,65.07,15509,218.44,547,7.7,1632,22.99,40,0.56,765,10.77,1265,17.82,240,3.38,18,1,558,31,5,0.25,5,0.25,41,2.05,2,0.1,374,18.7
Yamaguchi,26772,399.58,1379,29.34,637,13.55,4481,95.34,7610,161.91,379,8.06,2266,48.21,34,0.72,784,16.68,1066,22.68,218,4.64,-,-,144,18,5,0.63,4,0.5,33,4.13,-,-,103,12.88
