"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2018",,,,,,"Data collected as of August 22, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,191,0.04,4104,1.34,972,0.32,2553,0.83,7664,2.5,614,0.2,3079,1,570,0.19,1052,0.34,4526,1.48,353,0.12,2,0,571,0.83,14,0.03,19,0.04,129,0.27,1,0,7,0.01
Hokkaido,-,-,71,0.51,48,0.35,129,0.93,128,0.92,19,0.14,464,3.34,6,0.04,43,0.31,199,1.43,11,0.08,-,-,27,0.96,-,-,-,-,8,0.35,-,-,-,-
Aomori,1,0.02,39,0.93,5,0.12,18,0.43,70,1.67,7,0.17,125,2.98,-,-,7,0.17,45,1.07,23,0.55,-,-,3,0.27,-,-,1,0.17,8,1.33,-,-,-,-
Iwate,-,-,46,1.15,5,0.13,41,1.03,77,1.93,6,0.15,34,0.85,23,0.58,10,0.25,47,1.18,-,-,-,-,4,0.29,-,-,-,-,2,0.11,-,-,-,-
Miyagi,4,0.04,63,1.07,13,0.22,34,0.58,150,2.54,22,0.37,54,0.92,22,0.37,21,0.36,180,3.05,1,0.02,-,-,4,0.33,1,0.08,-,-,4,0.33,-,-,-,-
Akita,2,0.04,24,0.69,10,0.29,19,0.54,42,1.2,6,0.17,15,0.43,-,-,5,0.14,59,1.69,4,0.11,-,-,2,0.29,-,-,-,-,18,2.25,-,-,-,-
Yamagata,-,-,26,0.9,10,0.34,23,0.79,42,1.45,7,0.24,57,1.97,4,0.14,27,0.93,151,5.21,4,0.14,-,-,2,0.25,-,-,-,-,10,1,-,-,-,-
Fukushima,-,-,100,2,15,0.3,33,0.66,33,0.66,15,0.3,15,0.3,2,0.04,17,0.34,177,3.54,2,0.04,-,-,20,1.54,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,2,0.02,50,0.67,24,0.32,90,1.2,162,2.16,17,0.23,14,0.19,3,0.04,13,0.17,113,1.51,6,0.08,-,-,20,1.18,-,-,-,-,4,0.31,-,-,-,-
Tochigi,2,0.03,41,0.85,5,0.1,12,0.25,56,1.17,9,0.19,7,0.15,10,0.21,24,0.5,70,1.46,2,0.04,-,-,1,0.08,-,-,-,-,3,0.43,-,-,-,-
Gunma,-,-,22,0.47,14,0.3,37,0.79,78,1.66,3,0.06,57,1.21,-,-,19,0.4,110,2.34,4,0.09,-,-,12,0.8,-,-,1,0.11,3,0.33,-,-,-,-
Saitama,-,-,122,0.82,55,0.37,137,0.93,372,2.51,31,0.21,166,1.12,46,0.31,64,0.43,217,1.47,25,0.17,-,-,26,0.67,-,-,1,0.09,3,0.27,-,-,-,-
Chiba,2,0.01,117,0.89,77,0.58,83,0.63,243,1.84,23,0.17,91,0.69,22,0.17,29,0.22,130,0.98,5,0.04,-,-,31,0.89,1,0.11,-,-,4,0.44,-,-,1,0.11
Tokyo,12,0.03,317,1.39,50,0.22,202,0.89,557,2.44,28,0.12,160,0.7,139,0.61,70,0.31,340,1.49,7,0.03,-,-,15,0.45,2,0.08,3,0.12,5,0.2,1,0.04,-,-
Kanagawa,8,0.03,204,1.11,42,0.23,172,0.93,360,1.96,42,0.23,154,0.84,178,0.97,75,0.41,328,1.78,18,0.1,-,-,63,1.4,-,-,-,-,-,-,-,-,-,-
Niigata,-,-,106,1.86,36,0.63,52,0.91,79,1.39,8,0.14,24,0.42,10,0.18,20,0.35,123,2.16,15,0.26,-,-,2,0.2,-,-,1,0.08,3,0.23,-,-,-,-
Toyama,-,-,17,0.59,16,0.55,30,1.03,118,4.07,2,0.07,5,0.17,2,0.07,10,0.34,35,1.21,-,-,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,-,-,26,0.9,8,0.28,35,1.21,73,2.52,10,0.34,5,0.17,6,0.21,10,0.34,65,2.24,1,0.03,-,-,-,-,-,-,-,-,1,0.2,-,-,-,-
Fukui,3,0.09,42,1.91,8,0.36,26,1.18,86,3.91,1,0.05,18,0.82,1,0.05,11,0.5,45,2.05,7,0.32,-,-,5,1.67,-,-,-,-,1,0.17,-,-,-,-
Yamanashi,-,-,7,0.29,4,0.17,14,0.58,22,0.92,2,0.08,13,0.54,8,0.33,3,0.13,42,1.75,4,0.17,-,-,8,0.89,-,-,1,0.1,6,0.6,-,-,1,0.1
Nagano,-,-,16,0.3,25,0.47,25,0.47,108,2.04,3,0.06,15,0.28,3,0.06,17,0.32,204,3.85,3,0.06,-,-,5,0.45,1,0.09,-,-,2,0.18,-,-,1,0.09
Gifu,-,-,51,0.96,5,0.09,18,0.34,75,1.42,8,0.15,12,0.23,2,0.04,7,0.13,61,1.15,3,0.06,-,-,2,0.18,-,-,-,-,1,0.2,-,-,-,-
Shizuoka,8,0.06,109,1.22,51,0.57,55,0.62,222,2.49,12,0.13,50,0.56,8,0.09,26,0.29,137,1.54,23,0.26,-,-,17,0.77,-,-,2,0.2,2,0.2,-,-,-,-
Aichi,6,0.03,239,1.31,21,0.12,120,0.66,246,1.35,28,0.15,75,0.41,7,0.04,31,0.17,218,1.2,8,0.04,-,-,20,0.57,2,0.13,1,0.07,12,0.8,-,-,-,-
Mie,-,-,103,2.29,12,0.27,41,0.91,105,2.33,8,0.18,35,0.78,-,-,21,0.47,130,2.89,3,0.07,-,-,1,0.08,1,0.11,-,-,3,0.33,-,-,-,-
Shiga,-,-,16,0.52,10,0.32,11,0.35,92,2.97,11,0.35,38,1.23,-,-,6,0.19,80,2.58,8,0.26,-,-,15,1.88,-,-,1,0.14,-,-,-,-,-,-
Kyoto,1,0.01,65,0.84,13,0.17,55,0.71,158,2.05,15,0.19,42,0.55,1,0.01,12,0.16,61,0.79,3,0.04,-,-,3,0.17,-,-,-,-,-,-,-,-,-,-
Osaka,5,0.02,351,1.76,61,0.31,146,0.73,494,2.48,44,0.22,133,0.67,17,0.09,60,0.3,228,1.15,19,0.1,-,-,17,0.33,1,0.06,-,-,5,0.29,-,-,-,-
Hyogo,-,-,123,0.97,38,0.3,60,0.47,367,2.89,28,0.22,106,0.83,5,0.04,41,0.32,129,1.02,6,0.05,-,-,11,0.31,-,-,1,0.07,1,0.07,-,-,-,-
Nara,-,-,58,1.71,6,0.18,39,1.15,96,2.82,5,0.15,34,1,5,0.15,10,0.29,62,1.82,1,0.03,-,-,22,2.2,-,-,-,-,1,0.17,-,-,-,-
Wakayama,-,-,72,2.4,5,0.17,9,0.3,60,2,9,0.3,20,0.67,3,0.1,11,0.37,41,1.37,-,-,-,-,1,0.25,-,-,-,-,1,0.09,-,-,-,-
Tottori,6,0.21,15,0.79,4,0.21,53,2.79,81,4.26,-,-,8,0.42,-,-,6,0.32,27,1.42,2,0.11,-,-,3,0.6,1,0.2,-,-,-,-,-,-,-,-
Shimane,-,-,44,1.91,5,0.22,24,1.04,80,3.48,3,0.13,12,0.52,-,-,7,0.3,11,0.48,1,0.04,-,-,-,-,-,-,1,0.13,-,-,-,-,-,-
Okayama,-,-,63,1.17,23,0.43,50,0.93,260,4.81,8,0.15,11,0.2,5,0.09,19,0.35,34,0.63,8,0.15,-,-,8,0.67,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,9,0.08,73,1.01,14,0.19,66,0.92,208,2.89,8,0.11,87,1.21,2,0.03,19,0.26,50,0.69,7,0.1,1,0.05,17,0.89,2,0.1,-,-,1,0.05,-,-,1,0.05
Yamaguchi,-,-,93,1.98,6,0.13,59,1.26,52,1.11,12,0.26,34,0.72,1,0.02,14,0.3,37,0.79,2,0.04,-,-,8,0.89,-,-,-,-,1,0.11,-,-,-,-
Tokushima,3,0.08,76,3.3,7,0.3,22,0.96,111,4.83,7,0.3,27,1.17,2,0.09,14,0.61,46,2,3,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kagawa,1,0.02,39,1.39,5,0.18,28,1,154,5.5,12,0.43,16,0.57,-,-,16,0.57,19,0.68,7,0.25,-,-,10,2,-,-,-,-,2,0.4,-,-,1,0.2
Ehime,-,-,120,3.24,6,0.16,29,0.78,144,3.89,8,0.22,182,4.92,3,0.08,25,0.68,38,1.03,3,0.08,-,-,10,1.25,-,-,-,-,1,0.17,-,-,-,-
Kochi,-,-,22,0.73,17,0.57,24,0.8,60,2,7,0.23,47,1.57,5,0.17,12,0.4,13,0.43,1,0.03,-,-,14,4.67,-,-,-,-,5,0.63,-,-,-,-
Fukuoka,4,0.02,221,1.84,52,0.43,150,1.25,469,3.91,29,0.24,144,1.2,4,0.03,50,0.42,128,1.07,23,0.19,1,0.04,20,0.77,-,-,-,-,-,-,-,-,-,-
Saga,7,0.18,25,1.09,4,0.17,13,0.57,38,1.65,-,-,15,0.65,1,0.04,15,0.65,20,0.87,1,0.04,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
Nagasaki,-,-,105,2.39,22,0.5,31,0.7,79,1.8,9,0.2,31,0.7,1,0.02,15,0.34,16,0.36,6,0.14,-,-,20,2.5,-,-,2,0.17,1,0.08,-,-,-,-
Kumamoto,2,0.03,115,2.3,13,0.26,38,0.76,157,3.14,10,0.2,122,2.44,1,0.02,32,0.64,65,1.3,2,0.04,-,-,8,0.89,-,-,1,0.07,2,0.13,-,-,-,-
Oita,2,0.03,110,3.06,1,0.03,43,1.19,219,6.08,31,0.86,73,2.03,1,0.03,26,0.72,91,2.53,14,0.39,-,-,6,1.2,-,-,-,-,-,-,-,-,-,-
Miyazaki,-,-,131,3.74,13,0.37,58,1.66,265,7.57,10,0.29,62,1.77,2,0.06,25,0.71,47,1.34,28,0.8,-,-,39,6.5,-,-,-,-,-,-,-,-,-,-
Kagoshima,4,0.04,162,3,55,1.02,68,1.26,375,6.94,17,0.31,54,1,6,0.11,24,0.44,25,0.46,24,0.44,-,-,7,1,-,-,-,-,2,0.17,-,-,-,-
Okinawa,97,1.67,47,1.38,33,0.97,31,0.91,141,4.15,14,0.41,116,3.41,3,0.09,13,0.38,32,0.94,5,0.15,-,-,40,4.44,2,0.29,2,0.29,1,0.14,-,-,2,0.29
