"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33rd week, 2018",,,,,,"Data collected as of August 22, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1760475,356.59,52406,16.63,48218,15.3,240836,76.41,535485,169.89,33200,10.53,72537,23.01,16843,5.34,46144,14.64,62195,19.73,16465,5.22,427,0.61,18298,26.29,326,0.68,483,1.01,2733,5.69,101,0.21,3025,6.3
Hokkaido,74645,336.24,3663,26.35,2938,21.14,17434,125.42,11307,81.35,1468,10.56,3805,27.37,104,0.75,1173,8.44,913,6.57,372,2.68,19,0.68,530,18.93,5,0.22,13,0.57,165,7.17,-,-,176,7.65
Aomori,22968,353.35,412,9.81,338,8.05,2130,50.71,6690,159.29,318,7.57,1150,27.38,45,1.07,520,12.38,342,8.14,715,17.02,2,0.18,155,14.09,5,0.83,6,1,140,23.33,-,-,112,18.67
Iwate,26198,403.05,696,17.4,586,14.65,4276,106.9,5207,130.18,293,7.33,557,13.93,597,14.93,529,13.23,285,7.13,390,9.75,-,-,292,20.86,6,0.32,2,0.11,105,5.53,5,0.26,56,2.95
Miyagi,34010,358,1397,23.68,780,13.22,5700,96.61,9309,157.78,787,13.34,1085,18.39,419,7.1,973,16.49,1791,30.36,144,2.44,5,0.42,114,9.5,4,0.33,1,0.08,106,8.83,1,0.08,32,2.67
Akita,19916,375.77,351,10.32,390,11.47,1249,36.74,3382,99.47,213,6.26,100,2.94,23,0.68,276,8.12,434,12.76,180,5.29,5,0.71,63,9,6,0.75,-,-,315,39.38,3,0.38,67,8.38
Yamagata,16171,344.06,423,14.59,668,23.03,3405,117.41,5372,185.24,438,15.1,1022,35.24,308,10.62,570,19.66,1726,59.52,99,3.41,-,-,78,11.14,8,0.8,6,0.6,94,9.4,-,-,20,2
Fukushima,31341,391.76,1475,30.73,945,19.69,3572,74.42,5437,113.27,531,11.06,392,8.17,161,3.35,892,18.58,1144,23.83,337,7.02,7,0.58,617,51.42,3,0.5,3,0.5,46,7.67,1,0.17,28,4.67
Ibaraki,41454,345.45,592,7.89,1229,16.39,5969,79.59,10249,136.65,658,8.77,348,4.64,133,1.77,686,9.15,1376,18.35,190,2.53,6,0.35,717,42.18,1,0.08,5,0.38,146,11.23,-,-,19,1.46
