"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35th week, 2018",,,,,,"Data collected as of September 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,267,0.05,6609,2.11,995,0.32,3772,1.2,11185,3.57,551,0.18,3661,1.17,1001,0.32,1543,0.49,5343,1.7,415,0.13,5,0.01,705,1.01,12,0.03,17,0.04,110,0.23,4,0.01,9,0.02
Hokkaido,10,0.04,120,0.86,30,0.21,259,1.85,191,1.36,24,0.17,640,4.57,4,0.03,32,0.23,471,3.36,6,0.04,1,0.04,11,0.39,-,-,-,-,5,0.22,-,-,2,0.09
Aomori,-,-,49,1.17,6,0.14,22,0.52,128,3.05,8,0.19,137,3.26,1,0.02,26,0.62,110,2.62,28,0.67,-,-,4,0.36,-,-,-,-,9,1.5,-,-,-,-
Iwate,-,-,67,1.68,8,0.2,75,1.88,114,2.85,5,0.13,84,2.1,33,0.83,21,0.53,94,2.35,7,0.18,-,-,7,0.5,-,-,1,0.05,6,0.32,-,-,-,-
Miyagi,-,-,137,2.32,22,0.37,73,1.24,200,3.39,12,0.2,121,2.05,43,0.73,29,0.49,264,4.47,4,0.07,-,-,7,0.58,-,-,-,-,3,0.25,-,-,-,-
Akita,-,-,65,1.86,6,0.17,17,0.49,61,1.74,5,0.14,22,0.63,-,-,9,0.26,95,2.71,-,-,-,-,1,0.14,-,-,-,-,19,2.38,-,-,-,-
Yamagata,-,-,87,2.9,5,0.17,35,1.17,88,2.93,7,0.23,24,0.8,5,0.17,19,0.63,179,5.97,6,0.2,-,-,1,0.13,-,-,-,-,6,0.6,-,-,-,-
Fukushima,2,0.02,107,2.14,12,0.24,43,0.86,128,2.56,9,0.18,38,0.76,2,0.04,30,0.6,197,3.94,7,0.14,-,-,25,1.92,-,-,-,-,-,-,-,-,-,-
Ibaraki,4,0.03,70,0.93,23,0.31,62,0.83,208,2.77,12,0.16,48,0.64,13,0.17,27,0.36,82,1.09,3,0.04,-,-,14,0.82,-,-,-,-,5,0.38,-,-,-,-
Tochigi,10,0.13,55,1.15,14,0.29,44,0.92,72,1.5,11,0.23,8,0.17,21,0.44,31,0.65,45,0.94,4,0.08,-,-,2,0.17,-,-,-,-,1,0.14,-,-,-,-
Gunma,1,0.01,77,1.43,12,0.22,44,0.81,221,4.09,2,0.04,76,1.41,9,0.17,23,0.43,152,2.81,7,0.13,-,-,18,1.2,-,-,1,0.11,3,0.33,-,-,-,-
Saitama,5,0.02,257,1.58,75,0.46,240,1.47,659,4.04,24,0.15,137,0.84,71,0.44,90,0.55,257,1.58,19,0.12,2,0.05,42,1.05,-,-,1,0.09,-,-,1,0.09,1,0.09
Chiba,2,0.01,161,1.22,52,0.39,187,1.42,408,3.09,25,0.19,126,0.95,49,0.37,49,0.37,127,0.96,13,0.1,-,-,27,0.77,-,-,4,0.44,2,0.22,-,-,-,-
Tokyo,10,0.02,509,2.02,68,0.27,324,1.29,910,3.61,45,0.18,229,0.91,260,1.03,134,0.53,378,1.5,29,0.12,-,-,36,0.95,1,0.04,-,-,6,0.24,1,0.04,-,-
Kanagawa,7,0.02,348,1.7,52,0.25,265,1.29,633,3.09,31,0.15,204,1,280,1.37,103,0.5,344,1.68,30,0.15,-,-,84,1.68,-,-,-,-,-,-,-,-,-,-
Niigata,-,-,149,2.61,51,0.89,96,1.68,219,3.84,3,0.05,34,0.6,21,0.37,24,0.42,82,1.44,10,0.18,-,-,13,1.3,-,-,-,-,4,0.31,-,-,-,-
Toyama,-,-,51,1.76,14,0.48,27,0.93,123,4.24,3,0.1,10,0.34,1,0.03,9,0.31,101,3.48,1,0.03,-,-,1,0.14,-,-,-,-,-,-,-,-,-,-
Ishikawa,1,0.02,51,1.76,3,0.1,45,1.55,131,4.52,7,0.24,30,1.03,6,0.21,5,0.17,74,2.55,2,0.07,-,-,1,0.14,1,0.2,-,-,4,0.8,-,-,-,-
Fukui,1,0.03,47,2.14,5,0.23,28,1.27,116,5.27,3,0.14,23,1.05,-,-,9,0.41,23,1.05,4,0.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yamanashi,-,-,9,0.38,-,-,19,0.79,51,2.13,3,0.13,19,0.79,9,0.38,8,0.33,44,1.83,4,0.17,-,-,7,0.78,1,0.1,1,0.1,5,0.5,-,-,-,-
Nagano,-,-,45,0.83,21,0.39,76,1.41,199,3.69,1,0.02,34,0.63,9,0.17,23,0.43,233,4.31,6,0.11,-,-,8,0.73,-,-,-,-,4,0.36,-,-,1,0.09
Gifu,-,-,98,1.85,5,0.09,31,0.58,96,1.81,12,0.23,23,0.43,8,0.15,17,0.32,60,1.13,2,0.04,-,-,7,0.64,-,-,-,-,-,-,-,-,-,-
Shizuoka,9,0.06,193,2.17,34,0.38,54,0.61,291,3.27,11,0.12,57,0.64,19,0.21,33,0.37,107,1.2,21,0.24,-,-,26,1.18,-,-,1,0.1,-,-,-,-,-,-
Aichi,8,0.04,283,1.55,32,0.18,166,0.91,482,2.65,30,0.16,53,0.29,29,0.16,65,0.36,265,1.46,15,0.08,-,-,39,1.11,-,-,3,0.2,3,0.2,-,-,-,-
Mie,1,0.01,149,3.31,6,0.13,55,1.22,174,3.87,8,0.18,37,0.82,5,0.11,26,0.58,92,2.04,3,0.07,-,-,1,0.08,2,0.22,-,-,3,0.33,-,-,-,-
Shiga,-,-,14,0.44,4,0.13,11,0.34,119,3.72,8,0.25,44,1.38,-,-,11,0.34,40,1.25,7,0.22,-,-,3,0.38,1,0.14,1,0.14,-,-,-,-,-,-
Kyoto,-,-,117,1.52,7,0.09,64,0.83,195,2.53,13,0.17,71,0.92,2,0.03,38,0.49,59,0.77,11,0.14,-,-,5,0.28,-,-,-,-,-,-,-,-,-,-
Osaka,12,0.04,555,2.79,89,0.45,265,1.33,769,3.86,45,0.23,166,0.83,32,0.16,101,0.51,267,1.34,25,0.13,-,-,36,0.71,2,0.12,-,-,3,0.18,-,-,1,0.06
Hyogo,2,0.01,227,1.8,30,0.24,94,0.75,511,4.06,33,0.26,136,1.08,5,0.04,54,0.43,150,1.19,13,0.1,1,0.03,35,1,1,0.07,-,-,3,0.21,-,-,-,-
Nara,11,0.2,108,3.18,8,0.24,29,0.85,87,2.56,3,0.09,32,0.94,7,0.21,17,0.5,38,1.12,1,0.03,-,-,13,1.3,-,-,-,-,-,-,-,-,-,-
Wakayama,-,-,83,2.77,3,0.1,7,0.23,70,2.33,2,0.07,16,0.53,-,-,9,0.3,30,1,3,0.1,-,-,1,0.25,-,-,-,-,1,0.09,-,-,-,-
Tottori,-,-,30,1.58,4,0.21,55,2.89,122,6.42,-,-,11,0.58,-,-,10,0.53,22,1.16,-,-,-,-,4,0.8,-,-,-,-,3,0.6,-,-,-,-
Shimane,-,-,53,2.3,3,0.13,24,1.04,86,3.74,4,0.17,26,1.13,-,-,13,0.57,12,0.52,7,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Okayama,17,0.2,119,2.2,7,0.13,59,1.09,254,4.7,9,0.17,22,0.41,5,0.09,27,0.5,47,0.87,4,0.07,-,-,12,1,1,0.2,-,-,1,0.2,-,-,1,0.2
Hiroshima,1,0.01,163,2.26,19,0.26,89,1.24,314,4.36,11,0.15,113,1.57,5,0.07,41,0.57,46,0.64,8,0.11,1,0.05,23,1.21,-,-,-,-,2,0.1,-,-,1,0.05
Yamaguchi,16,0.24,116,2.47,6,0.13,105,2.23,133,2.83,5,0.11,33,0.7,1,0.02,28,0.6,50,1.06,2,0.04,-,-,7,0.78,-,-,-,-,1,0.11,-,-,1,0.11
