"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38th week, 2018",,,,,,"Data collected as of September 26, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1762588,357.09,85160,27.03,53269,16.91,260339,82.62,590252,187.32,36553,11.6,89677,28.46,21812,6.92,53379,16.94,85586,27.16,18496,5.87,457,0.66,21871,31.42,365,0.76,589,1.23,3298,6.87,111,0.23,3064,6.38
Hokkaido,74661,336.31,4215,30.32,3082,22.17,18598,133.8,12155,87.45,1675,12.05,6234,44.85,129,0.93,1374,9.88,2651,19.07,409,2.94,20,0.71,589,21.04,6,0.26,15,0.65,194,8.43,-,-,179,7.78
Aomori,22968,353.35,642,15.29,371,8.83,2264,53.9,7184,171.05,353,8.4,1645,39.17,63,1.5,606,14.43,711,16.93,798,19,2,0.18,166,15.09,6,1,6,1,172,28.67,-,-,112,18.67
Iwate,26200,403.08,986,24.65,624,15.6,4595,114.88,5749,143.73,328,8.2,965,24.13,717,17.93,613,15.33,755,18.88,419,10.48,-,-,327,23.36,6,0.32,4,0.21,131,6.89,5,0.26,57,3
Miyagi,34017,358.07,1965,33.31,858,14.54,6078,103.02,10292,174.44,859,14.56,1638,27.76,743,12.59,1117,18.93,3011,51.03,169,2.86,5,0.42,132,11,5,0.42,1,0.08,126,10.5,1,0.08,33,2.75
Akita,19917,375.79,649,19.09,430,12.65,1315,38.68,3668,107.88,229,6.74,205,6.03,23,0.68,309,9.09,765,22.5,187,5.5,6,0.86,71,10.14,6,0.75,1,0.13,408,51,3,0.38,67,8.38
Yamagata,16179,344.23,947,32.66,701,24.17,3626,125.03,5804,200.14,467,16.1,1191,41.07,349,12.03,658,22.69,2616,90.21,118,4.07,-,-,93,13.29,8,0.8,6,0.6,110,11,-,-,20,2
Fukushima,31360,392,2139,44.56,996,20.75,3861,80.44,5984,124.67,574,11.96,551,11.48,178,3.71,1047,21.81,2091,43.56,375,7.81,7,0.58,732,61,3,0.5,4,0.67,48,8,1,0.17,28,4.67
Ibaraki,41501,345.84,1070,14.27,1350,18,6323,84.31,11334,151.12,729,9.72,582,7.76,202,2.69,819,10.92,1799,23.99,215,2.87,6,0.35,810,47.65,1,0.08,5,0.38,162,12.46,-,-,19,1.46
Tochigi,21498,282.87,866,18.04,374,7.79,2676,55.75,4568,95.17,534,11.13,344,7.17,615,12.81,833,17.35,1177,24.52,135,2.81,1,0.08,246,20.5,6,0.86,8,1.14,69,9.86,2,0.29,23,3.29
Gunma,29608,340.32,855,16.13,979,18.47,4955,93.49,9879,186.4,533,10.06,2587,48.81,144,2.72,964,18.19,1920,36.23,410,7.74,7,0.5,633,45.21,3,0.33,9,1,62,6.89,-,-,54,6
Saitama,97715,384.7,3264,20.27,3279,20.37,18894,117.35,35237,218.86,3041,18.89,2972,18.46,1435,8.91,3103,19.27,4604,28.6,724,4.5,51,1.28,1520,38,6,0.6,48,4.8,49,4.9,4,0.4,41,4.1
Chiba,80181,378.21,2235,16.8,2848,21.41,12559,94.43,20095,151.09,1786,13.43,2139,16.08,1082,8.14,2052,15.43,3521,26.47,581,4.37,22,0.65,910,26.76,15,1.67,34,3.78,60,6.67,4,0.44,38,4.22
Tokyo,126257,307.19,5832,22.6,3545,13.74,22992,89.12,51361,199.07,2922,11.33,4252,16.48,5166,20.02,5108,19.8,7307,28.32,960,3.72,10,0.27,795,21.49,22,0.88,26,1.04,90,3.6,30,1.2,106,4.24
Kanagawa,120664,354.89,3817,17.92,2688,12.62,16337,76.7,34242,160.76,3113,14.62,2950,13.85,6049,28.4,3897,18.3,5091,23.9,1151,5.4,23,0.46,3669,73.38,10,0.91,22,2,64,5.82,-,-,50,4.55
Niigata,34834,387.04,2611,45.81,2298,40.32,7080,124.21,8872,155.65,672,11.79,766,13.44,502,8.81,980,17.19,3659,64.19,566,9.93,34,3.4,615,61.5,7,0.54,7,0.54,81,6.23,7,0.54,16,1.23
Toyama,15336,319.5,728,25.1,839,28.93,1688,58.21,5712,196.97,268,9.24,274,9.45,174,6,448,15.45,715,24.66,68,2.34,15,2.14,37,5.29,5,1,2,0.4,27,5.4,4,0.8,16,3.2
Ishikawa,15307,318.9,822,28.34,648,22.34,3781,130.38,5425,187.07,407,14.03,318,10.97,203,7,462,15.93,666,22.97,88,3.03,1,0.14,66,9.43,3,0.6,9,1.8,102,20.4,-,-,10,2
Fukui,11690,354.24,601,27.32,451,20.5,2765,125.68,4718,214.45,203,9.23,443,20.14,29,1.32,341,15.5,340,15.45,186,8.45,-,-,18,6,16,2.67,4,0.67,14,2.33,6,1,84,14
Yamanashi,15072,367.61,303,12.63,245,10.21,1523,63.46,3537,147.38,158,6.58,465,19.38,138,5.75,281,11.71,743,30.96,99,4.13,9,1,312,34.67,7,0.7,10,1,61,6.1,3,0.3,28,2.8
Nagano,33332,387.58,597,11.26,574,10.83,4919,92.81,9787,184.66,447,8.43,534,10.08,164,3.09,638,12.04,3242,61.17,303,5.72,15,1.5,141,14.1,10,0.91,2,0.18,78,7.09,2,0.18,85,7.73
Gifu,25724,299.12,948,18.23,643,12.37,1983,38.13,7112,136.77,258,4.96,360,6.92,49,0.94,558,10.73,968,18.62,230,4.42,3,0.27,108,9.82,1,0.2,9,1.8,32,6.4,-,-,95,19
Shizuoka,50272,364.29,1952,21.93,1182,13.28,5421,60.91,15116,169.84,619,6.96,1290,14.49,504,5.66,1183,13.29,4250,47.75,914,10.27,9,0.41,520,23.64,5,0.56,29,3.22,37,4.11,4,0.44,17,1.89
Aichi,79823,409.35,3585,19.7,1745,9.59,11328,62.24,28771,158.08,1852,10.18,2018,11.09,430,2.36,2382,13.09,4946,27.18,791,4.35,8,0.23,828,23.66,9,0.6,21,1.4,121,8.07,2,0.13,146,9.73
Mie,26723,376.38,1692,38.45,865,19.66,3491,79.34,8600,195.45,391,8.89,572,13,65,1.48,822,18.68,1830,41.59,188,4.27,5,0.42,49,4.08,11,1.22,14,1.56,42,4.67,2,0.22,15,1.67
Shiga,17548,337.46,321,10.35,383,12.35,1355,43.71,4920,158.71,422,13.61,976,31.48,58,1.87,390,12.58,1012,32.65,274,8.84,1,0.13,134,16.75,5,0.71,11,1.57,10,1.43,-,-,11,1.57
Kyoto,39737,317.9,1303,17.14,782,10.29,4051,53.3,13294,174.92,588,7.74,1583,20.83,114,1.5,934,12.29,1284,16.89,221,2.91,3,0.18,241,14.18,4,0.57,2,0.29,30,4.29,-,-,52,7.43
Osaka,88761,291.98,7277,36.75,3421,17.28,15091,76.22,40132,202.69,2621,13.24,3035,15.33,743,3.75,3459,17.47,4345,21.94,1002,5.06,28,0.55,845,16.57,17,1,21,1.24,98,5.76,2,0.12,182,10.71
Hyogo,65105,328.81,3065,23.95,2020,15.78,6406,50.05,27913,218.07,1539,12.02,1981,15.48,167,1.3,1831,14.3,2411,18.84,519,4.05,31,0.91,782,23,22,1.69,25,1.92,62,4.77,2,0.15,107,8.23
Nara,15670,290.19,1020,30,460,13.53,2222,65.35,6423,188.91,326,9.59,650,19.12,217,6.38,548,16.12,838,24.65,89,2.62,1,0.1,219,21.9,11,1.83,9,1.5,34,5.67,-,-,56,9.33
Wakayama,14553,303.19,904,30.13,414,13.8,1053,35.1,3558,118.6,293,9.77,267,8.9,76,2.53,475,15.83,648,21.6,121,4.03,56,18.67,36,12,4,0.36,7,0.64,47,4.27,5,0.45,50,4.55
Tottori,10894,375.66,381,20.05,360,18.95,3477,183,5182,272.74,123,6.47,183,9.63,19,1,335,17.63,355,18.68,44,2.32,3,0.6,63,12.6,6,1.2,17,3.4,15,3,1,0.2,52,10.4
Shimane,10026,270.97,617,28.05,228,10.36,1885,85.68,5117,232.59,136,6.18,556,25.27,14,0.64,471,21.41,356,16.18,176,8,-,-,13,4.33,12,1.5,47,5.88,15,1.88,-,-,78,9.75
Okayama,28380,337.86,905,16.76,526,9.74,3284,60.81,13652,252.81,548,10.15,556,10.3,180,3.33,792,14.67,632,11.7,211,3.91,15,1.25,301,25.08,5,1,1,0.2,12,2.4,-,-,30,6
Hiroshima,34188,299.89,1660,23.38,1320,18.59,5131,72.27,17309,243.79,614,8.65,2215,31.2,60,0.85,959,13.51,1539,21.68,286,4.03,20,1.05,677,35.63,7,0.35,5,0.25,50,2.5,2,0.1,377,18.85
Yamaguchi,26792,399.88,2093,44.53,670,14.26,5033,107.09,8442,179.62,423,9,2467,52.49,44,0.94,903,19.21,1254,26.68,235,5,-,-,182,20.22,5,0.56,5,0.56,35,3.89,-,-,104,11.56
Tokushima,11998,324.27,1274,55.39,393,17.09,1402,60.96,4607,200.3,174,7.57,1084,47.13,136,5.91,620,26.96,671,29.17,98,4.26,-,-,26,6.5,4,0.57,2,0.29,17,2.43,-,-,2,0.29
Kagawa,15204,330.52,917,33.96,398,14.74,1846,68.37,6884,254.96,263,9.74,455,16.85,22,0.81,569,21.07,1007,37.3,189,7,4,0.8,143,28.6,6,1.2,4,0.8,28,5.6,1,0.2,41,8.2
Ehime,23346,389.1,1614,44.83,401,11.14,3857,107.14,10521,292.25,319,8.86,2373,65.92,53,1.47,911,25.31,829,23.03,240,6.67,1,0.14,537,76.71,1,0.17,1,0.17,97,16.17,-,-,46,7.67
Kochi,20889,435.19,668,22.27,411,13.7,1455,48.5,3896,129.87,217,7.23,924,30.8,119,3.97,409,13.63,320,10.67,53,1.77,-,-,96,32,3,0.38,1,0.13,70,8.75,15,1.88,32,4
Fukuoka,90381,458.79,5244,44.07,2973,24.98,13876,116.61,31516,264.84,1935,16.26,10052,84.47,252,2.12,3036,25.51,2835,23.82,1338,11.24,14,0.54,1458,56.08,24,1.6,27,1.8,108,7.2,-,-,79,5.27
Saga,15688,412.84,880,40,682,31,1259,57.23,3204,145.64,255,11.59,1229,55.86,42,1.91,584,26.55,1135,51.59,65,2.95,3,1,91,30.33,2,0.33,9,1.5,32,5.33,-,-,56,9.33
Nagasaki,26965,385.21,1527,34.7,638,14.5,3741,85.02,7076,160.82,398,9.05,2391,54.34,36,0.82,710,16.14,779,17.7,101,2.3,6,0.75,240,30,11,0.92,20,1.67,74,6.17,-,-,98,8.17
Kumamoto,29874,373.43,1585,31.7,706,14.12,2520,50.4,12761,255.22,393,7.86,4240,84.8,46,0.92,1310,26.2,1328,26.56,179,3.58,2,0.22,593,65.89,8,0.53,21,1.4,27,1.8,-,-,43,2.87
Oita,27134,467.83,1173,32.58,330,9.17,2191,60.86,15088,419.11,721,20.03,4978,138.28,26,0.72,858,23.83,946,26.28,512,14.22,2,0.4,176,35.2,1,0.09,2,0.18,45,4.09,-,-,25,2.27
Miyazaki,27783,479.02,2173,62.09,1030,29.43,2656,75.89,12999,371.4,511,14.6,5286,151.03,47,1.34,1165,33.29,797,22.77,1116,31.89,1,0.17,571,95.17,2,0.29,-,-,5,0.71,-,-,154,22
Kagoshima,40905,444.62,2811,52.06,2306,42.7,5490,101.67,15696,290.67,658,12.19,4928,91.26,113,2.09,933,17.28,578,10.7,1195,22.13,1,0.14,289,41.29,4,0.33,5,0.42,10,0.83,-,-,14,1.17
Okinawa,29928,525.05,2427,71.38,802,23.59,2006,59,4860,142.94,658,19.35,1973,58.03,75,2.21,582,17.12,309,9.09,148,4.35,6,0.67,771,85.67,24,3.43,51,7.29,37,5.29,3,0.43,36,5.14
