"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2018",,,,,,"Data collected as of October 3, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,795,0.16,5378,1.7,739,0.23,3918,1.24,9458,2.99,733,0.23,2709,0.86,880,0.28,1199,0.38,2667,0.84,383,0.12,3,0,707,1.01,5,0.01,18,0.04,121,0.25,4,0.01,3,0.01
Hokkaido,2,0.01,81,0.58,26,0.19,247,1.76,139,0.99,28,0.2,178,1.27,5,0.04,38,0.27,126,0.9,4,0.03,-,-,6,0.21,-,-,-,-,6,0.26,-,-,-,-
Aomori,-,-,29,0.69,6,0.14,14,0.33,67,1.6,10,0.24,47,1.12,6,0.14,15,0.36,15,0.36,10,0.24,-,-,1,0.09,-,-,1,0.17,1,0.17,-,-,-,-
Iwate,10,0.15,32,0.8,5,0.13,59,1.48,87,2.18,4,0.1,57,1.43,22,0.55,18,0.45,79,1.98,3,0.08,-,-,6,0.43,-,-,-,-,5,0.26,-,-,-,-
Miyagi,6,0.06,54,0.92,11,0.19,77,1.31,109,1.85,11,0.19,79,1.34,79,1.34,25,0.42,73,1.24,12,0.2,-,-,3,0.25,-,-,-,-,3,0.25,-,-,-,-
Akita,2,0.04,38,1.09,-,-,12,0.34,42,1.2,5,0.14,8,0.23,1,0.03,5,0.14,24,0.69,-,-,-,-,-,-,-,-,-,-,17,2.13,-,-,-,-
Yamagata,3,0.06,126,4.2,6,0.2,57,1.9,76,2.53,6,0.2,10,0.33,7,0.23,8,0.27,71,2.37,3,0.1,-,-,-,-,-,-,-,-,4,0.4,-,-,-,-
Fukushima,18,0.22,103,2.06,9,0.18,69,1.38,80,1.6,6,0.12,18,0.36,16,0.32,23,0.46,107,2.14,16,0.32,-,-,17,1.31,-,-,-,-,1,0.14,-,-,-,-
Ibaraki,14,0.12,129,1.72,18,0.24,82,1.09,213,2.84,15,0.2,29,0.39,10,0.13,23,0.31,56,0.75,4,0.05,-,-,29,1.71,-,-,-,-,1,0.08,-,-,-,-
Tochigi,8,0.11,83,1.73,2,0.04,26,0.54,45,0.94,15,0.31,28,0.58,13,0.27,20,0.42,24,0.5,3,0.06,-,-,4,0.33,-,-,-,-,1,0.14,-,-,-,-
Gunma,-,-,65,1.2,16,0.3,60,1.11,154,2.85,9,0.17,27,0.5,5,0.09,23,0.43,59,1.09,10,0.19,-,-,14,0.93,-,-,-,-,1,0.11,-,-,-,-
Saitama,44,0.17,211,1.29,43,0.26,277,1.69,620,3.78,47,0.29,138,0.84,70,0.43,87,0.53,66,0.4,13,0.08,2,0.05,45,1.1,-,-,1,0.09,4,0.36,-,-,-,-
Chiba,38,0.18,99,0.73,32,0.24,200,1.48,275,2.04,21,0.16,144,1.07,53,0.39,41,0.3,83,0.61,4,0.03,-,-,41,1.17,-,-,2,0.22,1,0.11,-,-,-,-
