"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39th week, 2018",,,,,,"Data collected as of October 3, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1763385,357.18,90553,28.74,54012,17.14,264267,83.87,599775,190.34,37291,11.83,92403,29.32,22701,7.2,54585,17.32,88262,28.01,18879,5.99,460,0.66,22585,32.45,370,0.77,607,1.26,3419,7.12,115,0.24,3067,6.39
Hokkaido,74664,336.32,4296,30.91,3108,22.36,18848,135.6,12299,88.48,1703,12.25,6413,46.14,134,0.96,1413,10.17,2780,20,413,2.97,20,0.71,596,21.29,6,0.26,15,0.65,200,8.7,-,-,179,7.78
Aomori,22968,353.35,671,15.98,377,8.98,2278,54.24,7251,172.64,363,8.64,1692,40.29,69,1.64,621,14.79,726,17.29,808,19.24,2,0.18,167,15.18,6,1,7,1.17,173,28.83,-,-,112,18.67
Iwate,26210,403.23,1018,25.45,629,15.73,4654,116.35,5836,145.9,332,8.3,1022,25.55,739,18.48,631,15.78,834,20.85,422,10.55,-,-,333,23.79,6,0.32,4,0.21,136,7.16,5,0.26,57,3
Miyagi,34023,358.14,2019,34.22,869,14.73,6155,104.32,10401,176.29,870,14.75,1717,29.1,822,13.93,1142,19.36,3084,52.27,181,3.07,5,0.42,135,11.25,5,0.42,1,0.08,129,10.75,1,0.08,33,2.75
Akita,19919,375.83,687,20.21,430,12.65,1327,39.03,3710,109.12,234,6.88,213,6.26,24,0.71,314,9.24,789,23.21,187,5.5,6,0.86,71,10.14,6,0.75,1,0.13,425,53.13,3,0.38,67,8.38
Yamagata,16182,344.3,1073,37,707,24.38,3683,127,5880,202.76,473,16.31,1201,41.41,356,12.28,666,22.97,2687,92.66,121,4.17,-,-,93,13.29,8,0.8,6,0.6,114,11.4,-,-,20,2
Fukushima,31378,387.38,2242,46.71,1005,20.94,3930,81.88,6064,126.33,580,12.08,569,11.85,194,4.04,1070,22.29,2198,45.79,391,8.15,7,0.58,749,62.42,3,0.5,4,0.67,49,8.17,1,0.17,28,4.67
Ibaraki,41515,345.96,1199,15.99,1368,18.24,6405,85.4,11547,153.96,744,9.92,611,8.15,212,2.83,842,11.23,1855,24.73,219,2.92,6,0.35,839,49.35,1,0.08,5,0.38,163,12.54,-,-,19,1.46
Tochigi,21506,282.97,949,19.77,376,7.83,2702,56.29,4613,96.1,549,11.44,372,7.75,628,13.08,853,17.77,1201,25.02,138,2.88,1,0.08,250,20.83,6,0.86,8,1.14,70,10,2,0.29,23,3.29
Gunma,29608,340.32,920,17.36,995,18.77,5015,94.62,10033,189.3,542,10.23,2614,49.32,149,2.81,987,18.62,1979,37.34,420,7.92,7,0.5,647,46.21,3,0.33,9,1,63,7,-,-,54,6
Saitama,97759,384.88,3475,21.58,3322,20.63,19165,119.04,35863,222.75,3088,19.18,3110,19.32,1505,9.35,3190,19.81,4670,29.01,737,4.58,53,1.33,1565,39.13,6,0.6,49,4.9,53,5.3,4,0.4,41,4.1
Chiba,80219,378.39,2334,17.55,2880,21.65,12759,95.93,20373,153.18,1807,13.59,2283,17.17,1135,8.53,2093,15.74,3604,27.1,585,4.4,22,0.65,951,27.97,15,1.67,36,4,61,6.78,4,0.44,38,4.22
Tokyo,126328,307.37,6145,23.82,3596,13.94,23364,90.56,52245,202.5,2979,11.55,4560,17.67,5391,20.9,5225,20.25,7472,28.96,987,3.83,10,0.27,809,21.86,23,0.92,26,1.04,97,3.88,32,1.28,106,4.24
Kanagawa,120725,354.03,3974,18.66,2719,12.77,16607,77.97,34857,163.65,3177,14.92,3157,14.82,6235,29.27,4001,18.78,5237,24.59,1185,5.56,23,0.46,3736,74.72,10,0.91,22,2,64,5.82,-,-,50,4.55
Niigata,34835,391.4,2713,48.45,2323,41.48,7151,127.7,9018,161.04,687,12.27,794,14.18,534,9.54,1002,17.89,3684,65.79,570,10.18,34,3.4,619,61.9,7,0.54,7,0.54,85,6.54,8,0.62,17,1.31
Toyama,15342,319.63,797,27.48,849,29.28,1721,59.34,5805,200.17,269,9.28,288,9.93,177,6.1,460,15.86,779,26.86,69,2.38,15,2.14,39,5.57,5,1,2,0.4,28,5.6,4,0.8,16,3.2
Ishikawa,15307,318.9,897,30.93,655,22.59,3821,131.76,5516,190.21,416,14.34,344,11.86,203,7,473,16.31,691,23.83,90,3.1,1,0.14,69,9.86,3,0.6,9,1.8,106,21.2,-,-,10,2
Fukui,11690,354.24,659,29.95,457,20.77,2796,127.09,4801,218.23,203,9.23,463,21.05,33,1.5,348,15.82,360,16.36,187,8.5,-,-,18,6,16,2.67,4,0.67,14,2.33,6,1,84,14
Yamanashi,15073,367.63,371,15.46,247,10.29,1536,64,3599,149.96,160,6.67,476,19.83,143,5.96,288,12,755,31.46,104,4.33,9,1,318,35.33,7,0.7,10,1,65,6.5,3,0.3,28,2.8
Nagano,33334,387.6,654,12.34,586,11.06,5001,94.36,9949,187.72,460,8.68,544,10.26,173,3.26,649,12.25,3296,62.19,307,5.79,15,1.5,142,14.2,10,0.91,2,0.18,83,7.55,2,0.18,85,7.73
Gifu,25737,299.27,1029,19.79,656,12.62,2019,38.83,7194,138.35,268,5.15,369,7.1,56,1.08,569,10.94,1000,19.23,233,4.48,3,0.27,116,10.55,1,0.2,10,2,32,6.4,-,-,95,19
Shizuoka,50277,364.33,2116,23.78,1213,13.63,5487,61.65,15362,172.61,638,7.17,1319,14.82,515,5.79,1215,13.65,4293,48.24,934,10.49,9,0.41,557,25.32,5,0.56,30,3.33,39,4.33,4,0.44,17,1.89
Aichi,79887,409.68,3915,21.51,1764,9.69,11534,63.37,29170,160.27,1895,10.41,2091,11.49,445,2.45,2441,13.41,5065,27.83,803,4.41,8,0.23,856,24.46,9,0.6,23,1.53,129,8.6,2,0.13,146,9.73
Mie,26725,376.41,1821,41.39,871,19.8,3529,80.2,8751,198.89,404,9.18,586,13.32,68,1.55,838,19.05,1919,43.61,191,4.34,5,0.42,50,4.17,12,1.33,14,1.56,47,5.22,2,0.22,15,1.67
