"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41st week, 2018",,,,,,"Data collected as of October 17, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1764878,357.48,99223,31.48,55744,17.69,273005,86.61,619984,196.7,38907,12.34,98699,31.31,25228,8,57167,18.14,92666,29.4,19613,6.22,472,0.68,23912,34.36,390,0.81,644,1.34,3729,7.77,120,0.25,3076,6.41
Hokkaido,74685,336.42,4509,32.44,3175,22.84,19467,140.05,12648,90.99,1773,12.76,6734,48.45,158,1.14,1507,10.84,2963,21.32,428,3.08,20,0.71,618,22.07,7,0.3,15,0.65,216,9.39,-,-,179,7.78
Aomori,22979,353.52,719,17.12,392,9.33,2334,55.57,7413,176.5,375,8.93,1808,43.05,76,1.81,649,15.45,763,18.17,828,19.71,2,0.18,170,15.45,6,1,7,1.17,191,31.83,-,-,112,18.67
Iwate,26219,403.37,1132,28.3,641,16.03,4791,119.78,6013,150.33,353,8.83,1199,29.98,775,19.38,662,16.55,950,23.75,440,11,-,-,345,24.64,6,0.32,4,0.21,154,8.11,6,0.32,57,3
Miyagi,34075,358.68,2131,36.12,894,15.15,6340,107.46,10754,182.27,914,15.49,1895,32.12,1074,18.2,1200,20.34,3211,54.42,189,3.2,5,0.42,140,11.67,5,0.42,3,0.25,136,11.33,1,0.08,33,2.75
Akita,19920,375.85,750,22.06,438,12.88,1372,40.35,3804,111.88,247,7.26,253,7.44,28,0.82,327,9.62,823,24.21,187,5.5,6,0.86,73,10.43,7,0.88,1,0.13,455,56.88,3,0.38,67,8.38
Yamagata,16198,344.64,1240,42.76,720,24.83,3787,130.59,6031,207.97,485,16.72,1237,42.66,387,13.34,703,24.24,2788,96.14,126,4.34,1,0.14,95,13.57,8,0.8,6,0.6,118,11.8,-,-,20,2
Fukushima,31402,387.68,2386,49.71,1019,21.23,4055,84.48,6248,130.17,613,12.77,615,12.81,222,4.63,1129,23.52,2357,49.1,399,8.31,7,0.58,786,65.5,3,0.5,4,0.67,51,8.5,1,0.17,28,4.67
Ibaraki,41535,346.13,1406,18.75,1405,18.73,6589,87.85,11965,159.53,788,10.51,700,9.33,238,3.17,886,11.81,1923,25.64,227,3.03,6,0.35,867,51,1,0.08,5,0.38,176,13.54,-,-,19,1.46
Tochigi,21515,283.09,1096,22.83,386,8.04,2814,58.63,4735,98.65,572,11.92,428,8.92,654,13.63,890,18.54,1255,26.15,144,3,1,0.08,262,21.83,6,0.86,8,1.14,73,10.43,2,0.29,23,3.29
Gunma,29610,340.34,1116,21.06,1031,19.45,5147,97.11,10330,194.91,558,10.53,2657,50.13,175,3.3,1027,19.38,2094,39.51,430,8.11,7,0.5,676,48.29,3,0.33,9,1,67,7.44,-,-,54,6
Saitama,97812,385.09,3950,24.53,3412,21.19,19868,123.4,37192,231.01,3202,19.89,3539,21.98,1754,10.89,3335,20.71,4834,30.02,770,4.78,53,1.33,1644,41.1,6,0.6,52,5.2,58,5.8,4,0.4,41,4.1
Chiba,80318,378.86,2556,19.22,2979,22.4,13190,99.17,21066,158.39,1863,14.01,2638,19.83,1304,9.8,2205,16.58,3780,28.42,620,4.66,23,0.68,1025,30.15,15,1.67,40,4.44,67,7.44,4,0.44,38,4.22
Tokyo,126470,307.71,6746,26.05,3699,14.28,24143,93.22,54281,209.58,3114,12.02,5405,20.87,5972,23.06,5461,21.08,7759,29.96,1033,3.99,11,0.3,855,23.11,23,0.92,28,1.12,108,4.32,32,1.28,106,4.24
Kanagawa,120869,354.45,4255,19.98,2807,13.18,17183,80.67,36223,170.06,3339,15.68,3628,17.03,6770,31.78,4197,19.7,5509,25.86,1238,5.81,24,0.48,3922,78.44,10,0.91,22,2,64,5.82,-,-,51,4.64
Niigata,34856,391.64,2894,51.68,2405,42.95,7330,130.89,9317,166.38,722,12.89,872,15.57,613,10.95,1056,18.86,3750,66.96,586,10.46,34,3.4,633,63.3,7,0.54,7,0.54,91,7,9,0.69,17,1.31
Toyama,15346,319.71,944,32.55,864,29.79,1771,61.07,6010,207.24,275,9.48,321,11.07,182,6.28,474,16.34,861,29.69,75,2.59,16,2.29,40,5.71,5,1,2,0.4,31,6.2,4,0.8,16,3.2
Ishikawa,15335,319.48,1028,35.45,675,23.28,3922,135.24,5737,197.83,427,14.72,376,12.97,209,7.21,497,17.14,739,25.48,93,3.21,1,0.14,81,11.57,3,0.6,10,2,119,23.8,-,-,10,2
Fukui,11690,354.24,735,33.41,474,21.55,2862,130.09,4962,225.55,217,9.86,493,22.41,36,1.64,367,16.68,375,17.05,196,8.91,-,-,20,6.67,16,2.67,4,0.67,18,3,6,1,84,14
Yamanashi,15077,367.73,466,19.42,250,10.42,1587,66.13,3713,154.71,168,7,488,20.33,171,7.13,304,12.67,771,32.13,110,4.58,9,1,331,36.78,9,0.9,11,1.1,79,7.9,4,0.4,28,2.8
Nagano,33341,387.69,785,14.81,616,11.62,5166,97.47,10341,195.11,494,9.32,573,10.81,215,4.06,669,12.62,3367,63.53,314,5.92,15,1.5,146,14.6,10,0.91,2,0.18,94,8.55,2,0.18,85,7.73
