"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2018",,,,,,"Data collected as of October 24, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,955,0.19,3087,0.98,893,0.28,5300,1.68,11225,3.56,853,0.27,3131,0.99,1209,0.38,1274,0.4,1653,0.52,387,0.12,9,0.01,609,0.87,12,0.03,21,0.04,153,0.32,3,0.01,2,0
Hokkaido,81,0.36,108,0.77,48,0.34,388,2.77,241,1.72,59,0.42,148,1.06,6,0.04,46,0.33,64,0.46,8,0.06,-,-,9,0.32,-,-,-,-,7,0.3,-,-,-,-
Aomori,16,0.25,25,0.6,7,0.17,25,0.6,87,2.07,5,0.12,55,1.31,9,0.21,14,0.33,7,0.17,17,0.4,-,-,2,0.18,1,0.17,-,-,6,1,-,-,-,-
Iwate,6,0.09,49,1.23,20,0.5,88,2.2,84,2.1,5,0.13,88,2.2,23,0.58,12,0.3,46,1.15,10,0.25,-,-,6,0.43,2,0.11,-,-,4,0.21,1,0.05,-,-
Miyagi,11,0.12,27,0.46,16,0.27,119,2.02,196,3.32,27,0.46,70,1.19,136,2.31,34,0.58,40,0.68,2,0.03,-,-,8,0.67,-,-,-,-,8,0.67,-,-,-,-
Akita,-,-,16,0.46,4,0.11,22,0.63,48,1.37,4,0.11,16,0.46,3,0.09,11,0.31,9,0.26,-,-,1,0.14,2,0.29,-,-,-,-,18,2.25,-,-,-,-
Yamagata,26,0.54,47,1.57,14,0.47,58,1.93,63,2.1,6,0.2,16,0.53,16,0.53,15,0.5,24,0.8,2,0.07,-,-,-,-,-,-,-,-,4,0.4,-,-,-,-
Fukushima,4,0.05,72,1.44,7,0.14,88,1.76,107,2.14,11,0.22,24,0.48,23,0.46,21,0.42,59,1.18,8,0.16,-,-,20,1.54,-,-,-,-,2,0.29,-,-,-,-
Ibaraki,14,0.12,89,1.19,13,0.17,74,0.99,157,2.09,13,0.17,50,0.67,17,0.23,24,0.32,49,0.65,3,0.04,-,-,18,1.06,-,-,-,-,5,0.38,-,-,-,-
Tochigi,2,0.03,55,1.15,4,0.08,58,1.21,65,1.35,12,0.25,57,1.19,16,0.33,31,0.65,15,0.31,4,0.08,-,-,2,0.17,-,-,-,-,2,0.29,-,-,-,-
Gunma,-,-,67,1.24,15,0.28,80,1.48,183,3.39,5,0.09,31,0.57,23,0.43,25,0.46,45,0.83,10,0.19,-,-,18,1.2,-,-,1,0.11,5,0.56,-,-,-,-
Saitama,35,0.14,150,0.93,43,0.27,412,2.54,735,4.54,49,0.3,248,1.53,127,0.78,81,0.5,81,0.5,19,0.12,1,0.02,50,1.22,-,-,2,0.18,2,0.18,-,-,1,0.09
Chiba,50,0.23,72,0.53,36,0.27,234,1.73,387,2.87,29,0.21,182,1.35,73,0.54,50,0.37,64,0.47,20,0.15,-,-,34,0.97,-,-,2,0.22,6,0.67,-,-,-,-
Tokyo,56,0.13,228,0.88,52,0.2,500,1.92,1153,4.43,68,0.26,373,1.43,262,1.01,114,0.44,129,0.5,21,0.08,-,-,20,0.53,1,0.04,-,-,5,0.2,1,0.04,-,-
Kanagawa,55,0.16,100,0.47,51,0.24,334,1.57,742,3.48,90,0.42,181,0.85,197,0.92,78,0.37,86,0.4,39,0.18,-,-,89,1.75,1,0.09,1,0.09,1,0.09,-,-,-,-
Niigata,3,0.03,75,1.32,38,0.67,132,2.32,159,2.79,10,0.18,43,0.75,43,0.75,18,0.32,24,0.42,10,0.18,1,0.1,7,0.7,3,0.23,-,-,3,0.23,1,0.08,-,-
Toyama,-,-,52,1.79,8,0.28,23,0.79,105,3.62,6,0.21,21,0.72,1,0.03,5,0.17,39,1.34,4,0.14,-,-,6,0.86,-,-,-,-,1,0.2,-,-,-,-
Ishikawa,24,0.5,60,2.07,14,0.48,67,2.31,117,4.03,2,0.07,18,0.62,8,0.28,13,0.45,15,0.52,-,-,-,-,9,1.29,-,-,1,0.2,7,1.4,-,-,-,-
Fukui,-,-,38,1.73,10,0.45,34,1.55,89,4.05,5,0.23,16,0.73,4,0.18,7,0.32,6,0.27,12,0.55,-,-,-,-,-,-,-,-,2,0.33,-,-,-,-
Yamanashi,1,0.02,25,1.04,-,-,41,1.71,72,3,7,0.29,8,0.33,13,0.54,10,0.42,2,0.08,7,0.29,-,-,4,0.44,-,-,-,-,5,0.5,-,-,-,-
Nagano,2,0.02,79,1.46,13,0.24,86,1.59,186,3.44,14,0.26,11,0.2,14,0.26,13,0.24,16,0.3,2,0.04,-,-,3,0.27,-,-,1,0.09,7,0.64,-,-,-,-
Gifu,11,0.13,29,0.55,7,0.13,47,0.89,104,1.96,12,0.23,28,0.53,4,0.08,15,0.28,14,0.26,6,0.11,-,-,11,1,-,-,-,-,3,0.6,-,-,-,-
Shizuoka,22,0.16,82,0.92,31,0.35,118,1.33,276,3.1,9,0.1,30,0.34,25,0.28,25,0.28,11,0.12,25,0.28,-,-,19,0.86,-,-,1,0.1,1,0.1,-,-,-,-
Aichi,27,0.14,143,0.79,24,0.13,269,1.48,514,2.82,29,0.16,79,0.43,14,0.08,50,0.27,51,0.28,12,0.07,-,-,16,0.46,-,-,2,0.13,7,0.47,-,-,-,-
Mie,97,1.35,55,1.22,10,0.22,58,1.29,168,3.73,16,0.36,11,0.24,6,0.13,18,0.4,19,0.42,4,0.09,-,-,4,0.33,-,-,1,0.11,2,0.22,-,-,-,-
Shiga,6,0.11,29,0.91,2,0.06,35,1.09,88,2.75,4,0.13,28,0.88,3,0.09,12,0.38,9,0.28,3,0.09,-,-,2,0.25,-,-,1,0.14,-,-,-,-,-,-
Kyoto,17,0.13,48,0.62,11,0.14,88,1.14,223,2.9,23,0.3,64,0.83,3,0.04,26,0.34,26,0.34,4,0.05,-,-,8,0.44,1,0.14,-,-,3,0.43,-,-,-,-
Osaka,99,0.32,261,1.31,76,0.38,354,1.77,616,3.08,65,0.33,226,1.13,27,0.14,89,0.45,119,0.6,13,0.07,2,0.04,35,0.67,-,-,1,0.06,3,0.18,-,-,-,-
Hyogo,20,0.1,151,1.18,34,0.27,139,1.09,504,3.94,50,0.39,129,1.01,13,0.1,37,0.29,67,0.52,5,0.04,-,-,34,0.97,-,-,-,-,3,0.21,-,-,1,0.07
Nara,4,0.07,74,2.18,12,0.35,38,1.12,85,2.5,5,0.15,42,1.24,7,0.21,11,0.32,12,0.35,2,0.06,-,-,8,0.8,-,-,-,-,3,0.5,-,-,-,-
Wakayama,4,0.08,33,1.1,3,0.1,21,0.7,72,2.4,7,0.23,23,0.77,5,0.17,8,0.27,12,0.4,1,0.03,-,-,1,0.25,-,-,2,0.18,1,0.09,-,-,-,-
Tottori,2,0.07,26,1.37,6,0.32,64,3.37,40,2.11,5,0.26,22,1.16,-,-,7,0.37,23,1.21,-,-,-,-,2,0.4,-,-,-,-,-,-,-,-,-,-
Shimane,8,0.21,10,0.43,8,0.35,36,1.57,79,3.43,9,0.39,72,3.13,-,-,9,0.39,4,0.17,7,0.3,-,-,-,-,1,0.13,1,0.13,1,0.13,-,-,-,-
Okayama,14,0.17,42,0.78,11,0.2,48,0.89,217,4.02,10,0.19,25,0.46,-,-,24,0.44,23,0.43,8,0.15,-,-,16,1.33,-,-,-,-,1,0.2,-,-,-,-
Hiroshima,24,0.21,79,1.1,25,0.35,119,1.65,284,3.94,15,0.21,69,0.96,4,0.06,25,0.35,34,0.47,9,0.13,-,-,13,0.68,-,-,-,-,6,0.29,-,-,-,-
Yamaguchi,3,0.04,65,1.38,4,0.09,110,2.34,225,4.79,7,0.15,44,0.94,6,0.13,24,0.51,8,0.17,1,0.02,-,-,6,0.67,-,-,-,-,-,-,-,-,-,-
Tokushima,-,-,56,2.43,1,0.04,16,0.7,106,4.61,7,0.3,12,0.52,4,0.17,13,0.57,14,0.61,-,-,-,-,1,0.25,-,-,-,-,-,-,-,-,-,-
