"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42nd week, 2018",,,,,,"Data collected as of October 24, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1765727,357.65,102311,32.46,56629,17.97,278283,88.29,631157,200.24,39760,12.61,101830,32.31,26442,8.39,58426,18.54,94332,29.93,19999,6.34,480,0.69,24521,35.23,402,0.84,665,1.39,3883,8.09,123,0.26,3072,6.4
Hokkaido,74767,336.79,4617,33.22,3223,23.19,19855,142.84,12889,92.73,1832,13.18,6882,49.51,164,1.18,1553,11.17,3027,21.78,436,3.14,20,0.71,627,22.39,7,0.3,15,0.65,223,9.7,-,-,179,7.78
Aomori,22995,353.77,744,17.71,399,9.5,2359,56.17,7500,178.57,380,9.05,1863,44.36,85,2.02,663,15.79,770,18.33,845,20.12,2,0.18,172,15.64,7,1.17,7,1.17,197,32.83,-,-,112,18.67
Iwate,26225,403.46,1181,29.53,661,16.53,4879,121.98,6097,152.43,358,8.95,1287,32.18,798,19.95,674,16.85,996,24.9,450,11.25,-,-,351,25.07,8,0.42,4,0.21,158,8.32,7,0.37,57,3
Miyagi,34086,358.8,2158,36.58,910,15.42,6459,109.47,10950,185.59,941,15.95,1965,33.31,1210,20.51,1234,20.92,3251,55.1,191,3.24,5,0.42,148,12.33,5,0.42,3,0.25,144,12,1,0.08,33,2.75
Akita,19920,375.85,766,22.53,442,13,1394,41,3852,113.29,251,7.38,269,7.91,31,0.91,338,9.94,832,24.47,187,5.5,7,1,75,10.71,7,0.88,1,0.13,473,59.13,3,0.38,67,8.38
Yamagata,16224,345.19,1287,44.38,734,25.31,3845,132.59,6094,210.14,491,16.93,1253,43.21,403,13.9,718,24.76,2812,96.97,128,4.41,1,0.14,95,13.57,8,0.8,6,0.6,122,12.2,-,-,20,2
Fukushima,31406,387.73,2458,51.21,1026,21.38,4143,86.31,6355,132.4,624,13,639,13.31,245,5.1,1150,23.96,2416,50.33,407,8.48,7,0.58,806,67.17,3,0.5,4,0.67,53,8.83,1,0.17,28,4.67
Ibaraki,41549,346.24,1495,19.93,1418,18.91,6663,88.84,12128,161.71,801,10.68,750,10,255,3.4,910,12.13,1972,26.29,230,3.07,6,0.35,885,52.06,1,0.08,5,0.38,181,13.92,-,-,19,1.46
Tochigi,21517,283.12,1151,23.98,390,8.13,2872,59.83,4800,100,584,12.17,485,10.1,670,13.96,921,19.19,1270,26.46,148,3.08,1,0.08,264,22,6,0.86,8,1.14,75,10.71,2,0.29,23,3.29
Gunma,29610,340.34,1183,22.32,1046,19.74,5227,98.62,10513,198.36,563,10.62,2688,50.72,198,3.74,1052,19.85,2139,40.36,440,8.3,7,0.5,694,49.57,3,0.33,10,1.11,72,8,-,-,54,6
Saitama,97847,385.22,4100,25.47,3455,21.46,20280,125.96,37928,235.58,3251,20.19,3787,23.52,1881,11.68,3416,21.22,4915,30.53,789,4.9,54,1.35,1694,42.35,6,0.6,54,5.4,61,6.1,4,0.4,42,4.2
Chiba,80373,379.12,2632,19.79,3015,22.67,13432,100.99,21449,161.27,1892,14.23,2823,21.23,1379,10.37,2255,16.95,3846,28.92,640,4.81,23,0.68,1059,31.15,15,1.67,42,4.67,73,8.11,4,0.44,38,4.22
Tokyo,126526,307.85,6975,26.93,3751,14.48,24643,95.15,55434,214.03,3182,12.29,5778,22.31,6234,24.07,5575,21.53,7888,30.46,1054,4.07,11,0.3,875,23.65,24,0.96,28,1.12,113,4.52,33,1.32,106,4.24
Kanagawa,120925,354.62,4357,20.46,2858,13.42,17526,82.28,36985,173.64,3431,16.11,3818,17.92,6970,32.72,4276,20.08,5607,26.32,1277,6,24,0.48,4011,80.22,11,1,23,2.09,65,5.91,-,-,51,4.64
Niigata,34859,391.67,2969,53.02,2443,43.63,7462,133.25,9476,169.21,732,13.07,915,16.34,656,11.71,1074,19.18,3774,67.39,596,10.64,35,3.5,640,64,10,0.77,7,0.54,94,7.23,10,0.77,17,1.31
Toyama,15346,319.71,996,34.34,872,30.07,1794,61.86,6115,210.86,281,9.69,342,11.79,183,6.31,479,16.52,900,31.03,79,2.72,16,2.29,46,6.57,5,1,2,0.4,32,6.4,4,0.8,16,3.2
Ishikawa,15359,319.98,1088,37.52,689,23.76,3989,137.55,5854,201.86,429,14.79,394,13.59,217,7.48,510,17.59,754,26,93,3.21,1,0.14,90,12.86,3,0.6,11,2.2,126,25.2,-,-,10,2
Fukui,11690,354.24,773,35.14,484,22,2896,131.64,5051,229.59,222,10.09,509,23.14,40,1.82,374,17,381,17.32,208,9.45,-,-,20,6.67,16,2.67,4,0.67,20,3.33,6,1,84,14
Yamanashi,15078,367.76,491,20.46,250,10.42,1628,67.83,3785,157.71,175,7.29,496,20.67,184,7.67,314,13.08,773,32.21,117,4.88,9,1,335,37.22,9,0.9,11,1.1,84,8.4,4,0.4,28,2.8
Nagano,33343,387.71,864,16.3,629,11.87,5252,99.09,10527,198.62,508,9.58,584,11.02,229,4.32,682,12.87,3383,63.83,316,5.96,15,1.5,149,14.9,10,0.91,3,0.27,101,9.18,2,0.18,85,7.73
Gifu,25770,299.65,1174,22.58,689,13.25,2127,40.9,7521,144.63,294,5.65,442,8.5,70,1.35,606,11.65,1054,20.27,243,4.67,3,0.27,146,13.27,1,0.2,10,2,43,8.6,-,-,95,19
Shizuoka,50323,364.66,2503,28.12,1278,14.36,5754,64.65,16160,181.57,686,7.71,1418,15.93,579,6.51,1308,14.7,4354,48.92,988,11.1,10,0.48,628,29.9,6,0.67,32,3.56,44,4.89,4,0.44,17,1.89
Aichi,79999,410.25,4539,24.94,1847,10.15,12188,66.97,30602,168.14,2004,11.01,2369,13.02,482,2.65,2573,14.14,5323,29.25,835,4.59,8,0.23,928,26.51,10,0.67,29,1.93,152,10.13,2,0.13,147,9.8
Mie,26857,378.27,2078,47.23,891,20.25,3673,83.48,9195,208.98,440,10,629,14.3,88,2,899,20.43,2044,46.45,200,4.55,5,0.42,57,4.75,12,1.33,18,2,58,6.44,2,0.22,15,1.67
Shiga,17572,337.92,500,16.13,389,12.55,1472,47.48,5260,169.68,453,14.61,1087,35.06,65,2.1,430,13.87,1052,33.94,290,9.35,1,0.13,147,18.38,6,0.86,14,2,11,1.57,-,-,11,1.57
Kyoto,39776,318.21,1616,21.26,816,10.74,4357,57.33,14151,186.2,661,8.7,1764,23.21,131,1.72,1003,13.2,1404,18.47,237,3.12,3,0.18,284,16.71,7,1,2,0.29,35,5,-,-,52,7.43
Osaka,89040,292.89,8830,44.6,3696,18.67,16403,82.84,42538,214.84,2858,14.43,3745,18.91,876,4.42,3769,19.04,4950,25,1088,5.49,32,0.63,999,19.59,17,1,22,1.29,117,6.88,2,0.12,184,10.82
