"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2018",,,,,,"Data collected as of October 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,959,0.19,2756,0.87,1031,0.33,6045,1.92,12263,3.89,878,0.28,3016,0.96,1582,0.5,1304,0.41,1136,0.36,351,0.11,9,0.01,598,0.86,10,0.02,17,0.04,167,0.35,2,0,3,0.01
Hokkaido,96,0.43,171,1.22,49,0.35,445,3.18,209,1.49,42,0.3,130,0.93,14,0.1,35,0.25,51,0.36,9,0.06,-,-,7,0.25,-,-,-,-,12,0.52,-,-,-,-
Aomori,10,0.15,32,0.76,10,0.24,32,0.76,115,2.74,1,0.02,51,1.21,19,0.45,13,0.31,5,0.12,11,0.26,-,-,4,0.36,-,-,-,-,9,1.5,-,-,-,-
Iwate,10,0.15,49,1.23,13,0.33,87,2.18,124,3.1,8,0.2,101,2.53,30,0.75,22,0.55,23,0.58,9,0.23,-,-,8,0.57,-,-,-,-,14,0.74,-,-,-,-
Miyagi,6,0.06,24,0.41,13,0.22,113,1.92,216,3.66,27,0.46,61,1.03,197,3.34,36,0.61,28,0.47,4,0.07,-,-,3,0.25,-,-,-,-,3,0.25,-,-,-,-
Akita,-,-,17,0.49,7,0.2,32,0.91,48,1.37,5,0.14,40,1.14,5,0.14,5,0.14,16,0.46,1,0.03,-,-,3,0.43,-,-,-,-,21,2.63,-,-,-,-
Yamagata,12,0.25,60,2,6,0.2,65,2.17,89,2.97,12,0.4,12,0.4,20,0.67,13,0.43,16,0.53,1,0.03,-,-,3,0.38,-,-,-,-,2,0.2,-,-,-,-
Fukushima,3,0.04,89,1.78,19,0.38,108,2.16,113,2.26,20,0.4,25,0.5,32,0.64,26,0.52,46,0.92,4,0.08,-,-,15,1.15,-,-,-,-,-,-,-,-,-,-
Ibaraki,17,0.14,77,1.03,19,0.25,126,1.68,196,2.61,27,0.36,64,0.85,12,0.16,22,0.29,48,0.64,2,0.03,-,-,22,1.29,-,-,1,0.08,4,0.31,-,-,-,-
