"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43rd week, 2018",,,,,,"Data collected as of October 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1765554,357.98,104951,33.33,57621,18.3,284105,90.22,643236,204.27,40569,12.88,104835,33.29,28016,8.9,59685,18.95,95462,30.32,20330,6.46,488,0.7,25087,36.1,412,0.86,682,1.42,4047,8.45,125,0.26,3076,6.42
Hokkaido,74863,337.22,4788,34.45,3272,23.54,20300,146.04,13098,94.23,1874,13.48,7012,50.45,178,1.28,1588,11.42,3078,22.14,445,3.2,20,0.71,636,22.71,7,0.3,15,0.65,235,10.22,-,-,179,7.78
Aomori,23005,353.92,776,18.48,409,9.74,2391,56.93,7615,181.31,381,9.07,1914,45.57,104,2.48,676,16.1,775,18.45,856,20.38,2,0.18,176,16,7,1.17,7,1.17,206,34.33,-,-,112,18.67
Iwate,26235,403.62,1230,30.75,674,16.85,4966,124.15,6221,155.53,366,9.15,1388,34.7,828,20.7,696,17.4,1019,25.48,459,11.48,-,-,359,25.64,8,0.42,4,0.21,172,9.05,7,0.37,57,3
Miyagi,34092,358.86,2182,36.98,923,15.64,6572,111.39,11166,189.25,968,16.41,2026,34.34,1407,23.85,1270,21.53,3279,55.58,195,3.31,5,0.42,151,12.58,5,0.42,3,0.25,147,12.25,1,0.08,33,2.75
Akita,19920,375.85,783,23.03,449,13.21,1426,41.94,3900,114.71,256,7.53,309,9.09,36,1.06,343,10.09,848,24.94,188,5.53,7,1,78,11.14,7,0.88,1,0.13,494,61.75,3,0.38,67,8.38
Yamagata,16236,345.45,1347,46.45,740,25.52,3910,134.83,6183,213.21,503,17.34,1265,43.62,423,14.59,731,25.21,2828,97.52,129,4.45,1,0.14,98,14,8,0.8,6,0.6,124,12.4,-,-,20,2
Fukushima,30162,402.16,2424,53.87,998,22.18,3983,88.51,6179,137.31,572,12.71,638,14.18,266,5.91,1114,24.76,2455,54.56,390,8.67,5,0.45,787,71.55,3,0.5,3,0.5,49,8.17,1,0.17,23,3.83
Ibaraki,41566,346.38,1572,20.96,1437,19.16,6789,90.52,12324,164.32,828,11.04,814,10.85,267,3.56,932,12.43,2020,26.93,232,3.09,6,0.35,907,53.35,1,0.08,6,0.46,185,14.23,-,-,19,1.46
