"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45th week, 2018",,,,,,"Data collected as of November 14, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1769550,358.28,108964,34.56,60191,19.09,298078,94.54,673970,213.76,42857,13.59,109723,34.8,31477,9.98,62378,19.78,96919,30.74,21098,6.69,504,0.72,26298,37.78,434,0.9,713,1.49,4385,9.14,129,0.27,3098,6.45
Hokkaido,74942,337.58,5049,36.32,3383,24.34,21274,153.05,13601,97.85,1992,14.33,7232,52.03,217,1.56,1665,11.98,3185,22.91,463,3.33,20,0.71,667,23.82,9,0.39,15,0.65,263,11.43,-,-,180,7.83
Aomori,23049,354.6,825,19.64,451,10.74,2459,58.55,7901,188.12,399,9.5,1990,47.38,147,3.5,706,16.81,783,18.64,873,20.79,2,0.18,181,16.45,7,1.17,8,1.33,216,36,-,-,112,18.67
Iwate,26250,403.85,1328,33.2,728,18.2,5132,128.3,6464,161.6,380,9.5,1539,38.48,897,22.43,733,18.33,1052,26.3,488,12.2,-,-,372,26.57,8,0.42,4,0.21,187,9.84,7,0.37,58,3.05
Miyagi,34156,359.54,2254,38.2,962,16.31,6924,117.36,11678,197.93,1047,17.75,2128,36.07,1872,31.73,1341,22.73,3306,56.03,200,3.39,6,0.5,156,13,5,0.42,3,0.25,155,12.92,1,0.08,33,2.75
Akita,19920,375.85,823,24.21,469,13.79,1504,44.24,4029,118.5,283,8.32,332,9.76,50,1.47,357,10.5,870,25.59,191,5.62,7,1,80,11.43,7,0.88,1,0.13,524,65.5,3,0.38,67,8.38
Yamagata,16272,346.21,1475,50.86,776,26.76,4086,140.9,6400,220.69,547,18.86,1291,44.52,457,15.76,766,26.41,2835,97.76,132,4.55,1,0.14,99,14.14,9,0.9,6,0.6,130,13,-,-,20,2
Fukushima,31426,387.98,2688,56,1073,22.35,4482,93.38,6792,141.5,697,14.52,760,15.83,337,7.02,1235,25.73,2499,52.06,426,8.88,7,0.58,858,71.5,3,0.5,4,0.67,56,9.33,2,0.33,28,4.67
Ibaraki,41644,347.03,1658,22.11,1491,19.88,7011,93.48,12799,170.65,873,11.64,892,11.89,304,4.05,967,12.89,2063,27.51,248,3.31,6,0.35,941,55.35,1,0.08,6,0.46,194,14.92,-,-,19,1.46
Tochigi,21539,283.41,1281,26.69,417,8.69,3111,64.81,5046,105.13,612,12.75,626,13.04,765,15.94,985,20.52,1300,27.08,153,3.19,1,0.08,280,23.33,6,0.86,8,1.14,79,11.29,2,0.29,23,3.29
Gunma,29614,340.39,1339,25.26,1130,21.32,5527,104.28,11335,213.87,591,11.15,2754,51.96,258,4.87,1140,21.51,2188,41.28,457,8.62,7,0.5,736,52.57,3,0.33,11,1.22,80,8.89,-,-,54,6
Saitama,98129,384.82,4446,27.61,3579,22.23,21765,135.19,40372,250.76,3466,21.53,4494,27.91,2353,14.61,3658,22.72,5042,31.32,851,5.29,56,1.4,1804,45.1,6,0.6,56,5.6,70,7,4,0.4,42,4.2
Chiba,80553,379.97,2744,20.63,3167,23.81,14325,107.71,22732,170.92,1989,14.95,3293,24.76,1693,12.73,2378,17.88,3935,29.59,679,5.11,25,0.74,1152,33.88,17,1.89,46,5.11,91,10.11,4,0.44,38,4.22
Tokyo,126860,308.66,7362,28.42,3912,15.1,26538,102.46,59902,231.28,3449,13.32,6793,26.23,7259,28.03,5950,22.97,8056,31.1,1109,4.28,14,0.38,941,25.43,28,1.12,33,1.32,153,6.12,33,1.32,106,4.24
Kanagawa,121052,354.99,4549,21.26,3066,14.33,18858,88.12,39604,185.07,3703,17.3,4306,20.12,7787,36.39,4575,21.38,5734,26.79,1351,6.31,24,0.47,4264,83.61,11,1,27,2.45,84,7.64,-,-,51,4.64
Niigata,34864,391.73,3114,55.61,2593,46.3,7926,141.54,10014,178.82,790,14.11,1058,18.89,856,15.29,1148,20.5,3814,68.11,630,11.25,35,3.5,658,65.8,11,0.85,7,0.54,108,8.31,13,1,17,1.31
Toyama,15372,320.25,1182,40.76,927,31.97,1916,66.07,6603,227.69,299,10.31,391,13.48,194,6.69,519,17.9,956,32.97,83,2.86,17,2.43,53,7.57,5,1,2,0.4,34,6.8,4,0.8,16,3.2
Ishikawa,15388,320.58,1194,41.17,737,25.41,4263,147,6460,222.76,450,15.52,419,14.45,245,8.45,554,19.1,771,26.59,100,3.45,1,0.14,101,14.43,3,0.6,12,2.4,152,30.4,-,-,10,2
Fukui,11701,354.58,844,38.36,540,24.55,3045,138.41,5307,241.23,239,10.86,565,25.68,44,2,402,18.27,388,17.64,212,9.64,-,-,22,7.33,19,3.17,4,0.67,21,3.5,6,1,85,14.17
Yamanashi,15103,368.37,552,23,256,10.67,1725,71.88,4047,168.63,195,8.13,521,21.71,238,9.92,341,14.21,778,32.42,136,5.67,9,1,352,39.11,9,0.9,12,1.2,96,9.6,4,0.4,28,2.8
Nagano,33352,387.81,1075,20.28,674,12.72,5527,104.28,11400,215.09,574,10.83,616,11.62,281,5.3,729,13.75,3421,64.55,332,6.26,15,1.5,158,15.8,13,1.18,3,0.27,111,10.09,2,0.18,86,7.82
Gifu,25837,300.43,1257,24.17,708,13.62,2326,44.73,7937,152.63,317,6.1,494,9.5,98,1.88,649,12.48,1068,20.54,249,4.79,3,0.27,158,14.36,1,0.2,10,2,51,10.2,-,-,95,19
Shizuoka,50385,365.11,2667,29.97,1403,15.76,6226,69.96,17353,194.98,736,8.27,1472,16.54,690,7.75,1399,15.72,4373,49.13,1043,11.72,10,0.48,680,32.38,6,0.67,32,3.56,47,5.22,4,0.44,17,1.89
