"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47th week, 2018",,,,,,"Data collected as of November 28, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,2572,0.52,1595,0.5,1640,0.52,7581,2.4,18951,6,1348,0.43,2059,0.65,2070,0.65,1245,0.39,460,0.15,349,0.11,3,0,569,0.82,8,0.02,8,0.02,157,0.33,1,0,16,0.03
Hokkaido,141,0.63,165,1.18,78,0.56,494,3.53,265,1.89,68,0.49,60,0.43,19,0.14,31,0.22,60,0.43,6,0.04,-,-,12,0.43,2,0.09,-,-,29,1.26,-,-,1,0.04
Aomori,77,1.18,18,0.43,12,0.29,18,0.43,161,3.83,8,0.19,31,0.74,12,0.29,15,0.36,3,0.07,7,0.17,-,-,2,0.18,-,-,-,-,14,2.33,-,-,-,-
Iwate,18,0.28,26,0.65,53,1.33,100,2.5,125,3.13,18,0.45,49,1.23,56,1.4,11,0.28,8,0.2,25,0.63,-,-,10,0.71,-,-,-,-,4,0.21,-,-,-,-
Miyagi,36,0.38,43,0.73,36,0.61,182,3.08,304,5.15,50,0.85,33,0.56,274,4.64,30,0.51,14,0.24,8,0.14,-,-,4,0.33,-,-,-,-,3,0.25,-,-,-,-
Akita,3,0.06,19,0.54,20,0.57,41,1.17,84,2.4,23,0.66,8,0.23,6,0.17,7,0.2,10,0.29,1,0.03,-,-,1,0.14,1,0.13,-,-,16,2,-,-,-,-
Yamagata,1,0.02,34,1.13,32,1.07,111,3.7,164,5.47,27,0.9,10,0.33,15,0.5,15,0.5,2,0.07,4,0.13,-,-,2,0.25,-,-,-,-,5,0.5,-,-,-,-
Fukushima,16,0.19,54,1.08,18,0.36,129,2.58,169,3.38,37,0.74,53,1.06,42,0.84,25,0.5,11,0.22,3,0.06,-,-,15,1.15,-,-,-,-,2,0.29,-,-,-,-
Ibaraki,80,0.67,30,0.4,28,0.37,120,1.6,232,3.09,41,0.55,30,0.4,19,0.25,22,0.29,17,0.23,4,0.05,-,-,24,1.41,-,-,-,-,5,0.38,-,-,-,-
Tochigi,9,0.12,35,0.73,12,0.25,97,2.02,119,2.48,4,0.08,32,0.67,32,0.67,25,0.52,6,0.13,1,0.02,-,-,11,0.92,-,-,-,-,1,0.14,-,-,-,-
Gunma,9,0.1,31,0.57,42,0.78,88,1.63,340,6.3,17,0.31,25,0.46,16,0.3,26,0.48,14,0.26,6,0.11,-,-,13,0.87,-,-,-,-,3,0.33,-,-,-,-
