"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2018",,,,,,"Data collected as of December 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,4599,0.93,1578,0.5,2068,0.66,8738,2.77,24907,7.89,1922,0.61,1987,0.63,2747,0.87,1388,0.44,357,0.11,423,0.13,9,0.01,645,0.93,15,0.03,16,0.03,209,0.44,3,0.01,20,0.04
Hokkaido,269,1.21,224,1.6,109,0.78,618,4.41,351,2.51,106,0.76,40,0.29,24,0.17,39,0.28,28,0.2,7,0.05,-,-,8,0.29,1,0.04,-,-,37,1.61,-,-,1,0.04
Aomori,111,1.71,13,0.31,14,0.33,50,1.19,179,4.26,20,0.48,16,0.38,21,0.5,18,0.43,1,0.02,8,0.19,-,-,1,0.09,-,-,2,0.33,12,2,-,-,-,-
Iwate,14,0.22,41,1.03,65,1.63,117,2.93,147,3.68,24,0.6,71,1.78,81,2.03,12,0.3,10,0.25,17,0.43,-,-,12,0.86,-,-,-,-,12,0.63,-,-,-,-
Miyagi,19,0.2,31,0.53,53,0.9,209,3.54,359,6.08,57,0.97,33,0.56,358,6.07,24,0.41,5,0.08,6,0.1,-,-,2,0.17,-,-,-,-,10,0.83,-,-,-,-
Akita,22,0.41,19,0.54,25,0.71,42,1.2,75,2.14,12,0.34,6,0.17,21,0.6,4,0.11,7,0.2,3,0.09,-,-,4,0.57,-,-,-,-,16,2,-,-,-,-
Yamagata,4,0.08,52,1.73,37,1.23,101,3.37,245,8.17,22,0.73,14,0.47,21,0.7,19,0.63,3,0.1,2,0.07,-,-,8,1,-,-,-,-,6,0.6,-,-,-,-
Fukushima,45,0.54,67,1.34,20,0.4,141,2.82,244,4.88,33,0.66,50,1,34,0.68,23,0.46,9,0.18,24,0.48,-,-,12,0.92,-,-,-,-,2,0.29,-,-,-,-
Ibaraki,100,0.83,27,0.36,36,0.48,144,1.92,289,3.85,45,0.6,40,0.53,30,0.4,24,0.32,13,0.17,3,0.04,-,-,20,1.18,-,-,-,-,2,0.15,-,-,-,-
