"Table 3. Provisional reported cumulative cases & cumulative cases per sentinel of sentinel reporting diseases by prefecture, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48th week, 2018",,,,,,"Data collected as of December 5, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,1778616,360.04,113918,36.13,65546,20.79,322104,102.16,736599,233.62,47594,15.09,116267,36.88,38224,12.12,66438,21.07,98354,31.19,22229,7.05,516,0.74,28068,40.33,468,0.98,754,1.57,4927,10.26,137,0.29,3143,6.55
Hokkaido,75432,339.78,5631,40.51,3656,26.3,22950,165.11,14509,104.38,2249,16.18,7407,53.29,278,2,1768,12.72,3331,23.96,487,3.5,20,0.71,700,25,12,0.52,15,0.65,341,14.83,-,-,182,7.91
Aomori,23267,357.95,881,20.98,493,11.74,2554,60.81,8430,200.71,456,10.86,2066,49.19,208,4.95,753,17.93,793,18.88,897,21.36,2,0.18,191,17.36,7,1.17,12,2,252,42,-,-,113,18.83
Iwate,26291,404.48,1443,36.08,887,22.18,5437,135.93,6840,171,432,10.8,1721,43.03,1077,26.93,779,19.48,1085,27.13,538,13.45,-,-,406,29,9,0.47,4,0.21,210,11.05,7,0.37,58,3.05
Miyagi,34262,360.65,2361,40.02,1077,18.25,7482,126.81,12631,214.08,1191,20.19,2235,37.88,2761,46.8,1426,24.17,3345,56.69,220,3.73,6,0.5,162,13.5,5,0.42,3,0.25,172,14.33,1,0.08,33,2.75
Akita,19945,376.32,881,25.91,525,15.44,1629,47.91,4254,125.12,323,9.5,356,10.47,80,2.35,376,11.06,900,26.47,195,5.74,7,1,85,12.14,8,1,1,0.13,578,72.25,3,0.38,70,8.75
Yamagata,16290,346.6,1618,55.79,872,30.07,4405,151.9,6949,239.62,630,21.72,1325,45.69,504,17.38,815,28.1,2847,98.17,138,4.76,1,0.14,110,15.71,10,1,6,0.6,146,14.6,-,-,20,2
Fukushima,31492,388.79,2888,60.17,1128,23.5,4879,101.65,7384,153.83,796,16.58,936,19.5,449,9.35,1309,27.27,2538,52.88,460,9.58,7,0.58,896,74.67,3,0.5,4,0.67,62,10.33,2,0.33,28,4.67
Ibaraki,41870,348.92,1745,23.27,1595,21.27,7391,98.55,13579,181.05,992,13.23,1019,13.59,372,4.96,1038,13.84,2112,28.16,262,3.49,6,0.35,998,58.71,1,0.08,6,0.46,209,16.08,-,-,19,1.46
Tochigi,21576,283.89,1382,28.79,463,9.65,3418,71.21,5469,113.94,641,13.35,744,15.5,871,18.15,1069,22.27,1322,27.54,169,3.52,3,0.25,302,25.17,6,0.86,8,1.14,86,12.29,3,0.43,23,3.29
Gunma,29690,341.26,1426,26.91,1285,24.25,5811,109.64,12578,237.32,663,12.51,2821,53.23,305,5.75,1227,23.15,2219,41.87,467,8.81,7,0.5,781,55.79,4,0.44,11,1.22,92,10.22,-,-,54,6
Saitama,98840,387.61,4757,29.55,3801,23.61,23590,146.52,43964,273.07,3746,23.27,5089,31.61,3059,19,3893,24.18,5114,31.76,899,5.58,58,1.45,1918,47.95,7,0.7,58,5.8,82,8.2,4,0.4,43,4.3
Chiba,80939,381.79,2880,21.65,3338,25.1,15433,116.04,24861,186.92,2166,16.29,3651,27.45,2060,15.49,2525,18.98,3985,29.96,709,5.33,28,0.82,1239,36.44,18,2,53,5.89,109,12.11,4,0.44,38,4.22
Tokyo,127713,310.74,7579,29.26,4228,16.32,28869,111.46,66804,257.93,3851,14.87,7765,29.98,8638,33.35,6358,24.55,8135,31.41,1170,4.52,14,0.38,990,26.76,29,1.16,33,1.32,193,7.72,37,1.48,108,4.32
Kanagawa,121627,356.68,4683,21.88,3362,15.71,20433,95.48,43974,205.49,4130,19.3,4830,22.57,8802,41.13,4856,22.69,5816,27.18,1431,6.69,24,0.47,4545,89.12,12,1.09,27,2.45,91,8.27,-,-,51,4.64
Niigata,34986,393.1,3322,59.32,2825,50.45,8455,150.98,10812,193.07,952,17,1126,20.11,1146,20.46,1248,22.29,3847,68.7,653,11.66,36,3.6,671,67.1,12,0.92,7,0.54,119,9.15,14,1.08,18,1.38
Toyama,15478,322.46,1297,44.72,1049,36.17,2080,71.72,7066,243.66,334,11.52,492,16.97,200,6.9,558,19.24,971,33.48,88,3.03,17,2.43,59,8.43,5,1,2,0.4,35,7,4,0.8,16,3.2
Ishikawa,15463,322.15,1246,42.97,800,27.59,4539,156.52,7179,247.55,508,17.52,442,15.24,281,9.69,598,20.62,782,26.97,104,3.59,1,0.14,107,15.29,3,0.6,12,2.4,167,33.4,-,-,10,2
Fukui,11761,345.91,886,40.27,605,27.5,3227,146.68,5819,264.5,279,12.68,608,27.64,54,2.45,439,19.95,391,17.77,226,10.27,-,-,33,11,22,3.67,4,0.67,28,4.67,6,1,85,14.17
Yamanashi,15125,368.9,571,23.79,263,10.96,1837,76.54,4367,181.96,229,9.54,528,22,303,12.63,366,15.25,782,32.58,151,6.29,10,1.11,370,41.11,10,1,13,1.3,106,10.6,4,0.4,30,3
Nagano,33480,389.3,1236,23.32,738,13.92,5886,111.06,12614,238,655,12.36,632,11.92,347,6.55,779,14.7,3441,64.92,348,6.57,15,1.5,166,16.6,15,1.36,4,0.36,121,11,2,0.18,86,7.82
Gifu,25975,302.03,1309,25.17,752,14.46,2512,48.31,8648,166.31,335,6.44,555,10.67,128,2.46,680,13.08,1077,20.71,253,4.87,3,0.27,174,15.82,1,0.2,10,2,59,11.8,-,-,95,19
Shizuoka,50540,366.23,2755,30.96,1621,18.21,6921,77.76,19293,216.78,793,8.91,1545,17.36,819,9.2,1475,16.57,4387,49.29,1088,12.22,10,0.48,734,34.95,7,0.78,39,4.33,52,5.78,4,0.44,17,1.89
Aichi,80635,413.51,4998,27.46,2119,11.64,14266,78.38,36152,198.64,2362,12.98,2748,15.1,697,3.83,2871,15.77,5427,29.82,913,5.02,8,0.23,1047,29.91,10,0.67,32,2.13,200,13.33,2,0.13,154,10.27
Mie,27427,386.3,2240,50.91,983,22.34,4247,96.52,10664,242.36,596,13.55,768,17.45,146,3.32,1019,23.16,2108,47.91,215,4.89,5,0.42,61,5.08,14,1.56,22,2.44,72,8,2,0.22,16,1.78
Shiga,17644,339.31,652,21.03,408,13.16,1714,55.29,6072,195.87,483,15.58,1330,42.9,78,2.52,483,15.58,1070,34.52,321,10.35,1,0.13,156,19.5,6,0.86,14,2,15,2.14,-,-,11,1.57
Kyoto,39962,319.7,1791,23.57,929,12.22,5056,66.53,16161,212.64,798,10.5,1949,25.64,213,2.8,1150,15.13,1473,19.38,261,3.43,3,0.18,329,19.35,7,1,2,0.29,42,6,-,-,52,7.43
